elapsed_sec,best_cost,improvement_pct
31.91,11507.8658,
32.01,11868.2563,
32.11,11608.8252,
32.21,11568.0782,
32.31,11559.8925,
32.41,11252.626,
32.51,11749.1386,
32.61,11676.3003,
32.72,11403.8,
32.82,11324.4224,
32.92,11239.6436,
33.02,11259.1103,
33.12,11278.753,
33.22,11233.9877,
33.32,11269.582,
33.43,11219.2848,
33.53,11355.173,
33.63,11349.4647,
33.73,11460.4447,
33.85,11428.2898,
33.95,11369.0771,
34.08,11346.5498,
34.18,11314.5299,
34.29,11295.6159,
34.39,11290.5682,
34.49,11279.9211,
34.59,11182.7067,
34.69,11263.9303,
34.8,11555.7836,
34.9,11205.0222,
35.0,11189.8002,
35.1,11233.4835,
35.2,11270.4189,
35.3,11227.6806,
35.4,11238.4063,
35.5,11241.8999,
35.61,11241.8999,
35.71,11269.8735,
35.81,11212.4038,
35.91,11231.8205,
36.02,11219.818,
36.12,11268.9631,
36.22,11266.5633,
36.32,11250.8745,
36.42,11247.3478,
36.54,11241.8743,
36.64,11175.9434,
36.74,11236.9386,
36.84,11227.3052,
36.94,11532.4418,
37.04,11532.4418,
37.14,11613.0889,
37.24,11616.6647,
37.34,11596.3941,
37.45,11519.905,
37.56,11260.5874,
37.66,11284.1386,
37.85,11279.1329,
37.95,11028.263,
38.05,11047.4358,
38.16,11066.7322,
38.26,11083.8365,
38.36,11021.3462,
38.47,11016.9801,
38.58,11320.0287,
38.68,11015.0697,
38.78,11103.8427,
38.88,11158.5597,
38.99,11070.1577,
39.09,11078.2856,
39.2,11020.0409,
39.3,11054.4528,
39.4,11060.4658,
39.5,11099.5003,
39.6,11146.436,
39.7,11106.0566,
39.81,11028.1778,
39.91,11062.6773,
40.01,11013.802,
40.11,11049.3634,
40.21,11077.4141,
40.32,11108.5495,
40.42,11181.6377,
40.52,11064.7343,
40.62,11135.4972,
40.73,11139.6629,
40.83,11077.6525,
40.93,11002.9744,
41.03,11016.0464,
41.14,11083.6408,
41.24,11029.2161,
41.34,11024.6008,
41.44,11011.3125,
41.55,11035.8437,
41.65,11052.1112,
41.75,11020.8499,
41.85,11022.9338,
41.95,11026.7972,
42.06,11015.2526,
42.16,10975.4046,
42.26,11078.9273,
42.36,11126.6456,
42.46,11034.3582,
42.57,11037.0786,
42.67,11000.1114,
42.77,10955.3376,
42.87,10992.4893,
42.97,10996.7938,
43.07,10985.8939,
43.17,10978.7003,
43.27,10989.8953,
43.38,10991.0096,
43.48,10956.8113,
43.58,11014.4717,
43.68,11068.2263,
43.78,11012.7801,
43.88,11024.3091,
43.98,11034.558,
44.08,11040.0925,
44.18,10960.6875,
44.29,10988.0527,
44.39,11052.3228,
44.49,11030.1021,
44.59,11007.2456,
44.69,11014.2689,
44.79,11011.8937,
44.9,11010.6485,
45.0,11033.6148,
45.1,11097.4157,
45.2,11126.2155,
45.3,11115.6036,
45.4,11121.3192,
45.5,11124.2269,
45.6,11073.4186,
45.7,11072.2894,
45.81,11131.5052,
45.91,11063.8857,
46.01,11060.3092,
46.11,11068.4515,
46.21,11086.2317,
46.31,11109.0295,
46.41,11075.3774,
46.51,11103.6867,
46.61,10972.2982,
46.71,10992.9664,
46.82,10966.4083,
46.92,11015.0548,
47.02,10966.8517,
47.12,10989.7511,
47.22,11004.5289,
47.33,11025.2783,
47.43,11022.5208,
47.53,11057.3738,
47.64,11064.1392,
47.74,11014.9717,
47.84,11000.7545,
47.94,11097.3449,
48.04,10995.5241,
48.15,11019.4404,
48.27,10978.5298,
48.37,11036.2227,
48.47,11021.7645,
48.57,11024.5487,
48.68,11041.5057,
48.78,11034.5348,
48.88,11050.8408,
48.98,11055.453,
49.08,11068.324,
49.19,11062.6926,
49.29,11118.022,
49.39,11032.9425,
49.49,11086.6304,
49.59,11066.6657,
49.69,11052.7718,
49.8,11059.8303,
49.9,11059.1725,
50.0,11055.7526,
50.1,11034.7635,
50.21,11046.8914,
50.31,11028.9975,
50.41,10951.9687,
50.53,10941.6249,
50.63,10946.0777,
50.73,10941.8497,
50.83,10943.6739,
50.94,10944.494,
51.05,10913.1364,
51.15,10941.3401,
51.26,10948.2268,
51.36,10916.6122,
51.46,10915.3046,
51.56,10985.0308,
51.67,10976.5807,
51.77,10967.5977,
51.87,10959.6875,
52.05,10959.6875,
52.16,10978.3511,
52.26,10978.3511,
52.36,10969.9607,
52.46,10984.4172,
52.56,10963.101,
52.66,10953.7303,
52.76,10951.082,
52.86,10969.4815,
52.96,10996.4061,
53.07,10950.5783,
53.17,10958.6283,
53.27,10960.0215,
53.37,10943.6791,
53.47,10948.5092,
53.57,10952.3357,
53.67,10937.9597,
53.77,10958.6883,
53.88,10969.1906,
53.98,10975.0335,
54.08,10964.9566,
54.18,10958.5889,
54.28,10969.017,
54.39,10957.9859,
54.49,10961.9635,
54.59,10919.0358,
54.69,10913.862,
54.79,10922.7716,
54.89,10946.6307,
55.0,10962.9432,
55.1,10938.231,
55.2,10938.9636,
55.3,10939.7624,
55.4,10923.2732,
55.5,10922.11,
55.61,10932.2382,
55.71,10945.5748,
55.81,10962.5014,
55.92,10939.6845,
56.02,10933.1393,
56.12,10932.5078,
56.23,10947.3875,
56.34,10941.6557,
56.44,10915.5966,
56.54,10928.1293,
56.65,10873.9826,
56.75,10862.3948,
56.85,10852.7705,
56.96,10876.0081,
57.06,10889.3345,
57.16,10899.2449,
57.26,10889.0288,
57.36,10873.1495,
57.46,10873.1495,
57.56,10876.3882,
57.66,10880.8894,
57.77,10833.3279,
57.87,10833.3279,
57.97,10840.3116,
58.08,10833.3279,
58.18,10846.9412,
58.29,10865.2599,
58.39,10848.7072,
58.49,10855.961,
58.59,10871.4201,
58.69,10873.0485,
58.8,10883.3789,
58.9,10875.0571,
59.0,10897.7445,
59.1,10886.2348,
59.2,10883.4594,
59.31,10885.9869,
59.41,10885.5607,
59.51,10883.0325,
59.61,10891.4509,
59.71,10897.779,
59.81,10862.911,
59.91,10862.911,
