elapsed_sec,best_cost,improvement_pct
0.11,11447.4352,
0.21,11452.1565,
0.31,11410.4044,
0.41,11435.9155,
0.51,11433.5919,
0.62,11400.231,
0.72,11391.5376,
0.82,11398.0351,
0.92,11347.3311,
1.02,11333.656,
1.12,11333.9869,
1.23,11333.9869,
1.33,11333.9869,
1.43,11323.3246,
1.53,11321.9658,
1.63,11321.9658,
1.74,11321.9658,
1.84,11303.2095,
1.94,11303.2095,
2.04,11303.2095,
2.14,11302.8786,
2.24,11302.8786,
2.34,11302.8786,
2.44,11302.8786,
2.55,11302.8786,
2.65,11297.6852,
2.75,11297.6852,
2.86,11297.6852,
2.96,11297.6852,
3.06,11297.6852,
3.27,12010.2955,
3.37,12048.7584,
3.47,12036.6364,
3.57,11965.7108,
3.67,11933.6212,
3.77,11967.9938,
3.87,11917.8683,
3.97,11937.8177,
4.07,11904.1864,
4.18,11885.3514,
4.36,11885.3514,
4.46,11868.1412,
4.56,11832.3259,
4.67,11816.4638,
4.77,11811.5287,
4.87,11802.1049,
4.97,11801.5205,
5.07,11624.6572,
5.17,11620.4278,
5.28,11608.7702,
5.38,11603.811,
5.48,11603.811,
5.58,11598.7938,
5.68,11592.7844,
5.79,11590.159,
5.89,11590.159,
5.99,11590.159,
6.09,11589.0456,
6.19,11589.0456,
6.29,11587.9591,
6.39,11587.9591,
6.49,11587.9591,
6.59,11586.7921,
6.7,11584.5837,
6.8,11584.5837,
6.9,11584.5837,
7.01,11584.5837,
7.11,11584.5837,
7.21,11584.5837,
7.32,11581.1404,
7.42,11576.4115,
7.59,12675.931,
7.69,12832.925,
7.79,12730.8743,
7.89,12688.8031,
7.99,12417.309,
8.1,12246.985,
8.2,12261.5266,
8.3,11800.3292,
8.41,11614.4144,
8.52,11600.8071,
8.62,11583.1689,
8.72,11569.2109,
8.82,11565.8836,
8.93,11565.8836,
9.03,11565.8836,
9.13,11565.8836,
9.23,11565.8836,
9.33,11521.7373,
9.43,11502.86,
9.53,11493.6022,
9.64,11489.5164,
9.74,11489.5164,
9.84,11489.5164,
9.94,11489.5164,
10.04,11303.6728,
10.14,11303.6728,
10.24,11303.6728,
10.35,11303.6728,
10.45,11303.6728,
10.55,11295.7839,
10.65,11281.6022,
10.75,11281.6022,
10.85,11281.6022,
10.95,11281.6022,
11.05,11281.6022,
11.19,11864.4646,
11.29,11352.5094,
11.39,11425.0363,
11.49,11420.7115,
11.6,11383.1399,
11.7,11394.4088,
11.8,11366.8626,
11.9,11303.5642,
12.0,11310.0724,
12.1,11273.681,
12.21,11274.5193,
12.31,11270.9182,
12.42,11255.2432,
12.52,11247.7029,
12.62,11240.4322,
12.72,11240.4322,
12.82,11228.4759,
12.92,11228.4759,
13.02,11228.4759,
13.12,11214.5983,
13.22,11208.0456,
13.32,11208.0456,
13.42,11208.0456,
13.52,11208.0456,
13.62,11208.0456,
13.72,11205.9206,
13.83,11205.9206,
13.93,11205.9206,
14.03,11205.9206,
14.13,11205.9206,
14.23,11205.9206,
14.33,11205.9206,
14.43,11205.9206,
14.53,11205.9206,
14.63,11205.9206,
14.76,12704.7069,
14.86,12749.7863,
14.96,12587.6045,
15.06,12581.6866,
15.16,12493.1931,
15.27,12477.6084,
15.37,12507.283,
15.47,12447.784,
15.57,12425.3248,
15.68,11953.8389,
15.78,11935.2159,
15.88,11490.2389,
15.98,11480.798,
16.08,11480.895,
16.19,11482.2934,
16.29,11480.7003,
16.39,11480.7003,
16.49,11480.6489,
16.59,11476.3439,
16.69,11475.8245,
16.79,11456.4553,
16.9,11456.4553,
17.0,11456.5261,
17.1,11456.5261,
17.21,11456.5261,
17.31,11453.305,
17.41,11287.4687,
17.51,11287.4687,
17.62,11287.4687,
17.81,11287.4687,
17.91,11287.4687,
18.02,11287.4687,
18.12,11280.4236,
18.22,11280.4236,
18.32,11280.4236,
18.42,11278.6309,
18.52,11278.6309,
18.62,11271.7439,
18.72,11271.7439,
18.82,11271.7439,
18.92,11271.7439,
19.03,11271.7439,
19.16,12022.1479,
19.26,12362.7594,
19.36,12148.4034,
19.46,12142.536,
19.57,12095.1343,
19.67,12092.7652,
19.77,12071.4052,
19.87,11843.4434,
19.97,11843.9479,
20.07,11845.231,
20.17,11833.3348,
20.27,11833.8242,
20.38,11824.8967,
20.48,11813.3481,
20.59,11815.8597,
20.69,11802.5598,
20.79,11797.4792,
20.9,11753.5129,
21.0,11734.8537,
21.1,11733.1591,
21.2,11714.4789,
21.3,11691.7429,
21.41,11691.7429,
21.51,11690.6706,
21.61,11686.3182,
21.71,11686.3182,
21.82,11686.3182,
21.92,11686.3182,
22.02,11680.7868,
22.13,11680.7868,
22.23,11668.3189,
22.33,11668.3189,
22.43,11668.3189,
22.54,11668.3189,
22.64,11667.284,
22.75,11667.284,
22.85,11667.284,
22.95,11667.284,
23.05,11667.284,
23.2,12850.3301,
23.3,13089.427,
23.4,12875.7001,
23.5,12894.2843,
23.61,11943.9724,
23.71,11920.7612,
23.81,11905.4159,
23.91,11880.0926,
24.01,11771.9125,
24.12,11773.0844,
24.22,11759.3783,
24.32,11759.2817,
24.42,11726.4739,
24.52,11691.5258,
24.62,11689.4279,
24.72,11688.5091,
24.82,11681.5664,
24.92,11681.3444,
25.02,11681.6561,
25.12,11679.2088,
25.23,11679.2088,
25.33,11658.578,
25.43,11644.3237,
25.53,11643.6953,
25.63,11643.656,
25.73,11637.0031,
25.84,11633.5646,
25.94,11633.5646,
26.04,11605.8348,
26.15,11605.8348,
26.25,11605.8348,
26.35,11595.0304,
26.45,11595.0304,
26.56,11592.9648,
26.66,11592.9648,
26.76,11592.9648,
26.86,11592.9648,
26.96,11592.9648,
27.16,12336.7756,
27.26,12176.3264,
27.36,12206.0432,
27.47,12284.7648,
27.57,12263.4338,
27.67,12173.0424,
27.77,12167.2283,
27.87,12165.3708,
27.98,12166.3161,
28.08,12163.2199,
28.18,12172.3853,
28.28,12161.7796,
28.38,12155.2427,
28.48,12158.0628,
28.59,12154.9666,
28.69,12156.3254,
28.79,12144.5412,
28.89,12128.3287,
28.99,12127.9468,
29.09,12127.9468,
29.2,12127.2239,
29.3,11884.3038,
29.4,11884.3038,
29.65,11884.3038,
29.75,11884.3038,
29.86,11884.3038,
29.96,11884.3038,
30.06,11884.3038,
30.16,11884.3038,
30.26,11884.3038,
30.37,11884.3038,
30.47,11884.3038,
30.57,11884.3038,
30.68,11884.3038,
30.78,11884.3038,
30.88,11884.3038,
30.98,11884.3038,
31.08,11884.3038,
31.19,11884.3038,
31.29,11884.3038,
31.4,11884.3038,
31.5,11884.3038,
31.72,12963.5532,
31.82,12974.2634,
31.92,12732.4356,
32.03,12768.7751,
32.13,12730.4147,
32.23,12709.064,
32.33,12699.1294,
32.43,12566.7475,
32.53,12589.9422,
32.63,12110.043,
32.74,12125.245,
32.84,12120.9396,
32.94,12122.6994,
33.04,12121.3654,
33.14,12105.9907,
33.24,12088.6899,
33.34,12088.6899,
33.44,12088.6899,
33.55,12087.6667,
33.65,12087.6667,
33.75,12087.6667,
33.85,12086.1542,
33.96,12086.1542,
34.06,12086.1542,
34.16,12086.1542,
34.27,12085.5856,
34.37,12074.615,
34.47,12074.615,
34.57,12074.615,
34.67,12074.615,
34.78,12074.615,
34.88,12064.6832,
34.98,12064.6832,
35.08,12064.6832,
35.18,12064.6832,
35.28,12064.6832,
35.38,12064.6832,
35.48,12064.6832,
35.59,12032.7049,
35.69,12032.7049,
35.84,12656.1601,
35.94,12801.8468,
36.05,12146.5027,
36.15,12155.5131,
36.25,11732.3689,
36.35,11801.752,
36.45,11787.681,
36.55,11718.854,
36.65,11727.6945,
36.75,11711.4155,
36.86,11635.1157,
36.96,11616.9395,
37.06,11608.7776,
37.16,11581.8125,
37.27,11581.8125,
37.37,11581.8125,
37.47,11582.3444,
37.57,11578.6732,
37.67,11578.6732,
37.77,11576.8062,
37.87,11573.9808,
37.97,11573.9808,
38.07,11573.9808,
38.17,11573.9808,
38.27,11566.5314,
38.37,11566.5314,
38.47,11566.5314,
38.58,11566.5314,
38.68,11566.5314,
38.78,11560.695,
38.89,11553.4052,
38.99,11553.4052,
39.1,11553.4052,
39.2,11553.4052,
39.4,11553.4052,
39.5,11553.4052,
