elapsed_sec,best_cost,improvement_pct
0.13,11615.5981,
0.24,11596.5713,
0.35,11597.5327,
0.46,11599.8104,
0.57,11595.1036,
0.68,11565.0496,
0.79,11565.0496,
0.9,11563.3859,
1.0,11565.4068,
1.11,11564.065,
1.21,11564.065,
1.32,11297.7399,
1.42,11292.5857,
1.53,11291.5447,
1.63,11290.6334,
1.74,11291.2686,
1.84,11287.2161,
1.95,11289.3086,
2.05,11287.1729,
2.16,11289.6242,
2.27,11289.3322,
2.37,11289.6763,
2.48,11288.6167,
2.59,11289.1938,
2.69,11289.1938,
2.8,11291.8819,
2.9,11294.3136,
3.01,11291.8819,
3.11,11293.9744,
3.22,11294.18,
3.33,11294.2179,
3.44,11290.1051,
3.54,11289.6478,
3.65,11288.6167,
3.75,11287.1729,
3.86,11289.6242,
3.97,11287.2161,
4.08,11289.6763,
4.18,11287.2161,
4.29,11289.3086,
4.4,11289.5142,
4.51,11289.5521,
4.61,11289.3322,
4.71,11289.6478,
4.82,11288.6167,
4.93,11287.1729,
5.03,11289.6242,
5.14,11287.2161,
5.24,11289.6763,
5.35,11287.2161,
5.46,11289.3086,
5.56,11289.1938,
5.67,11294.2179,
5.78,11293.998,
5.89,11294.3136,
6.0,11293.2825,
6.11,11291.8387,
6.21,11289.5142,
6.32,11287.2161,
6.43,11289.6763,
6.53,11287.2161,
6.65,11289.3086,
6.75,11289.6242,
6.86,11289.1938,
6.96,11290.1051,
7.07,11290.1051,
7.18,11289.1938,
7.28,11289.1938,
7.39,11289.1938,
7.5,11289.3322,
7.61,11289.6478,
7.72,11288.6167,
7.83,11287.1729,
7.94,11289.5142,
8.05,11287.2161,
8.16,11289.6763,
8.27,11287.2161,
8.37,11289.1938,
8.48,11295.0399,
8.58,11295.2834,
8.69,11295.0635,
8.8,11295.3791,
8.91,11294.348,
9.02,11295.3555,
9.13,11289.1938,
9.24,11287.2161,
9.35,11289.6763,
9.45,11287.2161,
9.56,11287.1729,
9.67,11289.3086,
9.78,11289.6242,
9.89,11289.3322,
9.99,11289.6478,
10.1,11288.6167,
10.21,11289.1938,
10.32,11295.2455,
10.43,11292.9474,
10.54,11295.4076,
10.65,11292.9474,
10.76,11292.9042,
10.87,11293.9744,
10.98,11294.2179,
11.1,11293.998,
11.21,11294.3136,
11.32,11293.2825,
11.42,11289.1938,
11.53,11289.5142,
11.64,11287.2161,
11.75,11289.6763,
11.85,11287.2161,
11.96,11287.1729,
12.07,11289.1938,
12.18,11295.2455,
12.29,11295.0635,
12.4,11295.3791,
12.51,11294.348,
12.61,11295.2834,
12.72,11295.0399,
12.83,11292.9474,
12.94,11290.1051,
13.05,11287.2161,
13.15,11287.1729,
13.26,11289.6242,
13.37,11289.5142,
13.48,11289.3322,
13.59,11289.6763,
13.69,11288.6167,
13.8,11289.1938,
13.91,11289.1938,
14.02,11290.1051,
14.13,11290.1051,
14.24,11289.1938,
14.34,11291.8387,
14.45,11293.9744,
14.56,11291.8819,
14.67,11294.3136,
14.77,11291.8819,
14.89,11293.2825,
15.0,11289.1938,
15.11,11289.5142,
15.22,11289.3322,
15.32,11289.6763,
15.43,11289.5521,
15.53,11287.1729,
15.64,11289.1938,
15.74,11292.9474,
15.85,11295.3791,
15.95,11292.9474,
16.05,11294.348,
16.16,11295.0399,
16.27,11289.5142,
16.38,11289.3322,
16.49,11289.6763,
16.6,11289.5521,
16.7,11287.1729,
16.81,11289.6242,
16.91,11290.1051,
17.02,11290.1051,
17.13,11289.1938,
17.23,11289.1938,
17.33,11289.1938,
17.44,11292.9474,
17.55,11295.3791,
17.65,11292.9474,
17.75,11294.348,
17.86,11295.0399,
17.97,11289.1938,
18.07,11289.3322,
18.18,11289.6763,
18.28,11289.5142,
18.39,11287.1729,
18.5,11289.5521,
18.6,11290.1051,
18.71,11294.3136,
18.81,11291.8819,
18.92,11293.2825,
19.02,11293.9744,
19.13,11291.8819,
19.24,11294.3861,
19.34,11294.3861,
19.45,11294.3861,
19.55,11289.7203,
19.65,11289.7203,
19.76,11289.7203,
19.86,11295.053,
19.99,11292.944,
20.09,11292.944,
20.19,11292.1569,
20.3,11292.944,
20.4,11294.4101,
20.5,11293.4988,
20.61,11294.134,
20.71,11293.3288,
20.81,11291.9055,
20.92,11291.9055,
21.03,11290.9942,
21.13,11291.9055,
21.24,11298.1176,
21.34,11296.2105,
21.45,11295.1292,
21.56,11287.2161,
21.66,11287.2161,
21.77,11288.0842,
21.88,11289.6763,
21.98,11294.7856,
22.08,11289.7203,
22.19,11289.7203,
22.31,11292.5857,
22.41,11296.7942,
22.51,11296.2105,
22.62,11295.2992,
22.72,11295.9344,
22.82,11293.998,
22.93,11294.1938,
23.03,11290.1051,
23.14,11287.2161,
23.24,11290.4634,
23.35,11287.2397,
23.45,11287.2397,
23.56,11287.2397,
23.66,11289.6763,
23.77,11287.2161,
23.88,11295.8572,
23.98,11300.1382,
24.1,11300.4013,
24.23,11300.1382,
24.35,11304.6812,
24.48,11298.415,
24.58,11295.2992,
24.68,11295.9108,
24.79,11297.2382,
24.89,11296.2105,
25.0,11292.5724,
25.11,11291.245,
25.21,11291.2018,
25.31,11292.5724,
25.41,11289.7203,
25.52,11289.7203,
25.64,11292.5857,
25.75,11296.2961,
25.85,11301.6637,
25.96,11297.2932,
26.06,11297.276,
26.16,11296.3647,
26.27,11291.5447,
26.37,11291.2686,
26.48,11291.2686,
26.58,11291.5447,
26.69,11291.5619,
26.79,11292.1569,
26.9,11292.5857,
27.0,11292.5857,
27.1,11300.8911,
27.21,11305.3425,
27.31,11301.2067,
27.42,11295.4067,
27.53,11296.318,
27.63,11296.318,
27.74,11287.2397,
27.85,11287.2397,
27.96,11287.2397,
28.07,11286.3284,
28.17,11287.2397,
28.28,11287.2397,
28.39,11292.0086,
28.49,11292.1284,
28.6,11290.5648,
28.71,11292.1569,
28.81,11291.8128,
28.91,11291.245,
29.02,11291.5447,
29.13,11290.4634,
29.23,11290.4634,
29.34,11287.2397,
29.45,11293.3288,
29.56,11290.0815,
29.67,11292.971,
29.78,11292.971,
29.88,11292.971,
29.98,11298.3037,
30.09,11297.2524,
30.19,11294.4101,
30.29,11292.1131,
30.4,11293.6372,
30.51,11287.2397,
30.62,11287.2397,
30.73,11287.2397,
30.84,11287.2397,
30.95,11296.3172,
31.05,11292.3934,
31.16,11292.5417,
31.27,11290.0815,
31.37,11292.5857,
31.48,11290.5648,
31.58,11291.8128,
31.69,11292.1284,
31.79,11295.9324,
31.9,11291.5619,
32.0,11290.5648,
32.11,11293.4998,
32.21,11303.4908,
32.31,11297.8904,
32.42,11295.6155,
32.52,11294.5342,
32.63,11293.7186,
32.74,11287.5569,
32.84,11288.8029,
32.95,11285.5792,
33.06,11289.0408,
33.16,11291.2714,
33.27,11291.5211,
33.37,11293.3933,
33.47,11293.8094,
33.58,11292.9733,
33.68,11293.8094,
33.79,11291.2714,
33.9,11293.3458,
34.0,11292.1827,
34.11,11288.1302,
34.22,11287.2425,
34.33,11288.8029,
34.44,11294.0672,
34.54,11291.3105,
34.65,11290.6381,
34.76,11292.9766,
34.87,11290.5685,
34.97,11292.1321,
35.08,11293.7922,
35.19,11296.8958,
35.29,11292.1321,
35.4,11288.9506,
35.5,11283.9927,
35.61,11286.281,
35.71,11285.9442,
35.82,11290.2048,
35.93,11286.4008,
36.03,11286.2212,
36.13,11288.6362,
36.24,11286.5437,
36.34,11294.0438,
36.45,11290.1051,
36.55,11292.174,
36.66,11290.0383,
36.76,11292.174,
36.87,11293.3052,
36.97,11287.2161,
37.08,11289.3086,
37.18,11294.0931,
37.31,11294.2566,
37.43,11292.1641,
37.54,11292.1641,
37.64,11301.2424,
37.74,11302.5065,
37.85,11298.3869,
37.96,11299.5181,
38.06,11298.6304,
38.16,11301.917,
38.27,11301.6106,
38.38,11299.7117,
38.48,11287.1729,
38.59,11289.5142,
38.69,11289.5521,
38.8,11287.2397,
38.91,11289.3086,
39.02,11287.1729,
39.13,11288.6167,
39.24,11287.2161,
39.34,11289.1938,
39.45,11290.0815,
39.55,11295.0399,
39.66,11293.7919,
39.77,11295.3555,
39.88,11295.2455,
39.98,11295.3555,
40.09,11290.0815,
40.19,11287.1729,
40.3,11288.6167,
40.41,11286.3284,
40.52,11289.5142,
40.62,11289.6242,
40.73,11289.3086,
40.84,11288.1531,
40.95,11284.6915,
41.06,11284.6915,
41.16,11290.7806,
41.28,11289.3573,
41.38,11289.3573,
41.49,11289.3573,
41.59,11292.796,
41.7,11295.0941,
41.81,11291.8387,
41.91,11286.3284,
42.02,11287.1729,
42.13,11286.3284,
42.24,11286.3284,
42.34,11290.3573,
42.45,11291.6611,
42.55,11292.5405,
42.65,11289.6242,
42.76,11289.1938,
42.87,11289.1938,
42.98,11292.4175,
43.08,11293.2825,
43.19,11290.9942,
43.3,11291.8819,
43.41,11294.18,
43.51,11291.8387,
43.62,11298.1193,
43.73,11298.1193,
43.83,11297.2063,
43.94,11289.1938,
