elapsed_sec,best_cost,improvement_pct
0.1,11596.5713,
0.22,12013.3006,
0.32,12240.0134,
0.42,12041.9322,
0.52,12104.8009,
0.65,11757.2092,
0.76,11861.1615,
0.86,11874.2505,
0.97,11881.2801,
1.07,11828.1469,
1.17,11837.3869,
1.27,11953.5842,
1.38,11963.5299,
1.48,12032.8347,
1.58,11947.1549,
1.68,11933.6278,
1.78,11990.773,
1.89,12012.1377,
2.0,11911.5154,
2.1,11463.1198,
2.2,11474.8022,
2.3,11439.7932,
2.41,11429.0588,
2.51,11425.7408,
2.61,11407.5637,
2.71,11966.2085,
2.81,11606.1469,
2.91,11875.5638,
3.01,11619.806,
3.12,11655.6679,
3.22,11731.23,
3.32,11758.5256,
3.42,11418.0429,
3.52,11445.9511,
3.62,11401.6517,
3.73,11422.1641,
3.83,11429.969,
3.93,11403.6529,
4.03,11401.3134,
4.13,11418.1393,
4.23,11376.1893,
4.34,11434.4594,
4.44,11423.8534,
4.54,11421.2955,
4.64,11404.819,
4.74,11433.3665,
4.85,11431.3366,
4.95,11417.515,
5.05,11369.7764,
5.15,11368.0981,
5.25,11417.6514,
5.36,11462.4918,
5.46,11448.5519,
5.57,11528.6976,
5.67,11462.0642,
5.77,11451.9887,
5.98,11464.7532,
6.09,11470.7761,
6.19,11475.8745,
6.3,11537.5309,
6.4,11537.163,
6.51,11553.9053,
6.61,11527.6926,
6.71,11536.2425,
6.81,11534.17,
6.91,11333.7906,
7.01,11340.6512,
7.11,11391.6239,
7.22,11385.1008,
7.32,11386.2751,
7.42,11358.074,
7.52,11334.7361,
7.63,11322.1949,
7.73,11038.1927,
7.83,11052.5903,
7.93,11053.636,
8.03,11007.3791,
8.13,10993.9435,
8.25,10968.4072,
8.36,11041.6919,
8.46,11035.2894,
8.56,11026.1133,
8.66,11033.3634,
8.76,11097.4493,
8.86,11061.1055,
8.96,11023.1794,
9.06,11017.4694,
9.16,11024.1396,
9.26,11024.9475,
9.36,11032.7911,
9.52,10880.2432,
9.66,10944.3685,
9.76,10926.6994,
9.87,10946.0998,
9.97,10941.2572,
10.07,10947.7031,
10.18,10944.7385,
10.28,10935.5774,
10.39,11026.3493,
10.49,10984.2658,
10.59,11026.7614,
10.69,11028.1246,
10.79,11018.0392,
10.89,11033.3816,
10.99,11302.4337,
11.09,11344.4455,
11.2,11368.3893,
11.3,11362.0174,
11.4,11382.4155,
11.51,11400.0986,
11.61,11348.3135,
11.71,11406.5838,
11.81,11428.8136,
11.91,11457.7103,
12.02,11337.6322,
12.12,11370.0785,
12.22,11107.1246,
12.32,11106.3629,
12.42,11108.9816,
12.53,11399.8367,
12.63,11144.8295,
12.73,11139.0398,
12.84,11117.2067,
12.95,11111.2919,
13.06,11053.0383,
13.16,11083.8624,
13.27,11058.7978,
13.37,11079.8889,
13.47,11097.5585,
13.57,11089.5034,
13.67,11056.9337,
13.78,11191.0664,
13.89,11037.6068,
13.99,10987.0821,
14.1,10997.7892,
14.2,10977.5216,
14.31,10982.4744,
14.41,11293.5014,
14.51,11316.0832,
14.61,11295.2895,
14.71,11030.5304,
14.81,11015.0803,
14.92,11014.735,
15.02,11051.6473,
15.12,11023.3415,
15.22,11081.6295,
15.33,11046.1075,
15.43,11065.7685,
15.53,11347.1088,
15.64,11358.5236,
15.75,11300.138,
15.85,11287.0134,
15.95,11283.4605,
16.05,11319.3938,
16.16,11280.3595,
16.26,11284.4658,
16.36,11341.5644,
16.46,11258.8698,
16.57,11254.3199,
16.67,11237.7788,
16.78,11275.9016,
16.88,11314.9473,
16.99,11354.8078,
17.09,11365.8681,
17.19,11299.7434,
17.29,11298.1405,
17.39,11388.8592,
17.5,11353.3162,
17.6,11309.9676,
17.73,11316.4777,
17.83,11076.909,
17.93,10999.7609,
18.03,11016.7913,
18.14,11035.7247,
18.24,11018.0495,
18.34,11035.2295,
18.44,11075.0829,
18.55,11064.3339,
18.65,11009.2414,
18.76,11002.1691,
18.98,10999.6309,
19.09,11014.5817,
19.19,11007.2715,
19.3,10707.2028,
19.4,10687.5535,
19.5,10727.8779,
19.69,10631.7398,
19.8,10591.5636,
19.92,10603.9304,
20.03,10627.2193,
20.13,10627.1233,
20.23,10627.1233,
20.34,10625.6741,
20.45,10769.2562,
20.55,10749.9675,
20.66,11367.0865,
20.77,11022.4507,
20.87,10956.4326,
20.97,10952.3407,
21.07,11416.8208,
21.18,11319.2055,
21.28,11248.3155,
21.38,11552.8483,
21.48,11230.3563,
21.58,11248.1986,
21.69,11262.9229,
21.79,11242.5966,
21.89,11272.6948,
21.99,11243.9142,
22.09,11840.569,
22.19,11725.9903,
22.29,11736.6831,
22.4,11651.0932,
22.5,11682.2701,
22.6,11666.1273,
22.7,11384.7421,
22.8,10764.271,
22.9,10774.8769,
23.01,10763.8578,
23.12,10765.1328,
23.22,10821.4307,
23.32,10792.9169,
23.43,10783.5339,
23.53,10831.9081,
23.63,10806.4544,
23.74,10772.8878,
23.84,10760.6594,
23.94,11092.0142,
24.04,11068.2943,
24.14,10987.3573,
24.24,11030.7657,
24.34,11024.2162,
24.44,11040.7443,
24.54,11049.6786,
24.65,11017.4977,
24.76,11033.0647,
24.86,10998.1959,
24.96,11266.4608,
25.07,11213.5871,
25.17,11260.2686,
25.27,11497.0869,
25.37,11263.303,
25.47,11250.7884,
25.58,11263.0873,
25.68,11236.0278,
25.78,11235.1083,
25.88,11266.67,
25.99,11278.5911,
26.09,11295.662,
26.19,11285.3838,
26.29,11076.2836,
26.39,11081.0022,
26.49,11046.1753,
26.59,10977.1329,
26.69,10957.3067,
26.8,11053.0743,
26.9,10980.6915,
27.0,10983.8456,
27.1,11004.0194,
27.2,11054.9125,
27.3,11033.2062,
27.4,11045.1219,
27.5,10983.6149,
27.6,10966.2953,
27.7,10991.7558,
27.8,10986.4527,
27.9,10975.6666,
28.0,10985.5233,
28.1,10973.2276,
28.21,11044.7794,
28.31,11051.4698,
28.41,11042.6166,
28.51,10998.1241,
28.61,11032.8442,
28.71,11060.8723,
28.81,11030.5319,
28.91,11036.9521,
29.01,10765.2489,
29.12,10840.2737,
29.22,10797.4819,
29.33,10726.8226,
29.43,10703.2859,
29.53,10740.9973,
29.63,10758.6736,
29.73,10737.0066,
29.83,10717.0672,
29.99,10662.2894,
30.09,10696.2837,
30.19,10736.7635,
30.3,10806.7988,
30.4,10811.8842,
30.5,10738.0134,
30.6,10726.8431,
30.71,10712.6554,
30.81,10724.2017,
30.91,10979.5515,
31.01,11300.9403,
31.11,11567.5525,
31.22,11635.8115,
31.32,11697.7264,
31.42,11433.7667,
31.52,11698.9915,
31.62,11632.4908,
31.87,11618.7154,
31.97,11632.1254,
32.07,11695.3545,
32.17,11795.8257,
32.27,11708.7315,
32.38,11758.8308,
32.48,11693.4119,
32.58,11421.6047,
32.68,11473.0644,
32.79,11497.549,
32.89,11502.0397,
32.99,11487.9767,
33.1,11577.4719,
33.2,11491.4836,
33.31,11484.1337,
33.41,11505.6566,
33.51,11249.232,
33.62,11290.0191,
33.72,11259.8519,
33.82,11272.43,
33.93,11100.9198,
34.03,11134.1807,
34.14,11098.875,
34.24,11100.4869,
34.35,11414.2609,
34.46,11110.1692,
34.58,11186.4797,
34.69,11173.3344,
34.8,11172.464,
34.9,11103.4374,
35.0,11094.0259,
35.1,11073.8764,
35.2,11102.5193,
35.3,11015.3085,
35.4,11127.299,
35.5,11124.3672,
35.6,11045.9283,
35.7,11060.274,
35.81,11099.3694,
35.91,11118.2292,
36.02,11044.8599,
36.13,11059.2229,
36.23,11006.6694,
36.34,10970.6705,
36.45,10855.5797,
36.55,10867.9941,
36.65,10888.7334,
36.75,11163.4926,
36.86,11188.414,
36.96,11154.0268,
37.06,11154.2878,
37.16,11016.2042,
37.27,10996.73,
37.37,11009.9516,
37.47,10981.6461,
37.57,10997.0696,
37.67,10940.7156,
37.78,10960.7752,
37.88,11109.6588,
37.98,11057.4,
38.08,11025.5731,
38.19,11010.3407,
38.29,10922.071,
38.4,10928.9866,
38.5,10924.1849,
38.6,10913.7166,
38.7,10949.5647,
38.81,10948.8653,
38.91,10970.7463,
39.01,10959.6187,
39.11,10950.2924,
39.22,10944.1447,
39.32,10924.9522,
39.42,10930.7285,
39.53,10912.1251,
39.63,10924.5682,
39.73,10931.7764,
39.83,10906.4592,
39.94,10893.5534,
40.04,10885.3715,
40.14,10992.2654,
40.24,11025.599,
40.34,10994.1485,
40.44,11039.2301,
40.54,10989.9874,
40.66,11019.8085,
41.09,10580.7639,
