elapsed_sec,best_cost,improvement_pct
0.1,11357.1287,
0.27,11802.3186,
0.37,11751.0692,
0.48,11801.7297,
0.58,11889.1577,
0.68,11839.1382,
0.79,11924.7074,
0.89,11840.0295,
0.99,11974.8442,
1.09,11673.7712,
1.19,11927.4727,
1.29,11902.3947,
1.39,11684.3686,
1.49,11625.4124,
1.59,11667.2154,
1.7,11691.5842,
1.8,11395.6877,
1.9,11379.5298,
2.0,11420.2355,
2.1,11552.8347,
2.2,11638.5052,
2.3,11610.1618,
2.41,11710.7893,
2.51,11796.0856,
2.61,11682.4435,
2.71,11634.4224,
2.81,11629.866,
2.91,11622.0104,
3.02,11691.5966,
3.12,11637.2647,
3.22,11678.8075,
3.32,11674.8905,
3.42,11654.4194,
3.52,11640.2273,
3.62,11678.0135,
3.72,11633.1541,
3.83,11633.5998,
3.93,11637.3561,
4.03,11634.4958,
4.13,11674.8639,
4.23,11583.087,
4.33,11510.0061,
4.43,11502.6314,
4.53,11630.6439,
4.63,11368.285,
4.73,11364.5906,
4.83,11344.9335,
4.94,11397.5699,
5.04,11378.5137,
5.14,11362.7176,
5.24,11082.9038,
5.34,11116.5625,
5.44,11120.4701,
5.55,11094.0894,
5.79,11102.2545,
5.89,11074.275,
5.99,11086.5882,
6.09,11117.8068,
6.21,11095.4186,
6.31,11083.0929,
6.41,11080.9673,
6.51,10954.3526,
6.61,11004.2663,
6.71,11012.7396,
6.81,10983.8013,
6.91,10990.6201,
7.01,11047.7448,
7.12,11074.2988,
7.22,11043.2316,
7.32,11027.3294,
7.42,11338.0471,
7.52,11312.813,
7.62,11244.7098,
7.73,10947.8568,
7.83,10959.8621,
7.93,10949.2054,
8.03,10960.7993,
8.15,10953.3952,
8.25,10950.1985,
8.35,10950.1874,
8.45,10990.7618,
8.55,11022.719,
8.65,11004.434,
8.76,10981.2016,
8.86,10955.0759,
8.96,10962.3603,
9.06,11007.4719,
9.32,10949.7493,
9.42,11021.9946,
9.52,11084.0195,
9.62,11073.3414,
9.73,11000.8269,
9.84,10971.4559,
9.95,10990.2004,
10.05,11018.2897,
10.16,11005.7395,
10.26,10942.1099,
10.37,11404.9536,
10.47,11258.8929,
10.58,11311.2351,
10.68,11687.6698,
10.78,11682.497,
10.88,11760.4974,
10.98,11567.6602,
11.08,11594.0011,
11.19,11308.7341,
11.29,11296.913,
11.39,11314.9654,
11.49,11536.3906,
11.59,11245.9683,
11.7,11244.8054,
11.81,11258.0846,
11.91,11252.7637,
12.01,11256.3303,
12.11,11273.7132,
12.21,11269.5165,
12.31,11297.279,
12.41,11300.0408,
12.52,11391.5705,
12.62,11300.5506,
12.72,11287.8695,
12.82,11398.2778,
12.92,11234.051,
13.02,11296.4449,
13.13,11235.3609,
13.23,11253.1955,
13.33,11218.0344,
13.43,11249.4573,
13.53,11239.819,
13.63,11240.4131,
13.73,11268.0007,
13.83,11260.1332,
13.93,11312.7712,
14.03,11266.4118,
14.13,11255.9192,
