elapsed_sec,best_cost,improvement_pct
0.1,11574.2802,
0.21,12056.7617,
0.31,11565.6939,
0.41,11818.4879,
0.51,11151.8173,
0.61,11463.2771,
0.71,11515.321,
0.81,11219.1237,
0.91,10915.6014,
1.01,10719.4282,
1.11,10843.099,
1.21,10928.0835,
1.31,10921.9411,
1.41,10857.7185,
1.52,10993.2173,
1.62,10896.3466,
1.72,10890.5008,
1.82,10995.2964,
1.93,10999.1862,
2.03,11133.7975,
2.13,11086.0975,
2.23,11088.1269,
2.33,11160.6878,
2.43,11652.5864,
2.53,11516.1105,
2.64,10934.2372,
2.74,11113.2638,
2.84,11216.6949,
2.94,11303.5714,
3.04,11432.3172,
3.14,11669.273,
3.24,11391.3049,
3.34,11752.8157,
3.44,11191.7429,
3.55,11438.5684,
3.65,11201.561,
3.75,11609.4522,
3.85,11277.3312,
3.96,11152.3358,
4.06,10983.4815,
4.16,10819.967,
4.26,10898.0423,
4.36,11603.2148,
4.46,11102.1759,
4.56,11317.7429,
4.66,11272.2202,
4.76,11324.3013,
4.86,11361.2657,
4.96,11521.5732,
5.07,11272.2516,
5.17,11279.5323,
5.27,10976.1538,
5.47,10987.7366,
5.57,11216.4452,
5.68,11229.0933,
5.78,11298.0548,
5.88,11372.1116,
5.98,11481.9383,
6.08,10967.0611,
6.19,10823.3739,
6.29,11151.349,
6.39,11184.2588,
6.49,10869.8875,
6.59,10694.6565,
6.69,10849.7158,
6.79,11460.9619,
6.89,10853.2703,
6.99,10987.0032,
7.09,10634.0613,
7.19,10659.5646,
7.3,10997.0315,
7.4,11182.246,
7.5,10799.7417,
7.6,10870.3674,
7.7,10934.6993,
7.8,10858.7307,
7.9,10737.6522,
8.01,11084.8449,
8.11,10874.988,
8.21,10828.2079,
8.31,11023.0246,
8.41,10883.1875,
8.51,10976.1275,
8.61,11377.4245,
8.71,11358.5698,
8.81,11408.0778,
8.91,11166.9203,
9.01,10884.5226,
9.12,10962.9548,
9.22,11314.3032,
9.32,11044.5633,
9.42,10797.7128,
9.52,10758.2908,
9.62,10802.6305,
9.72,11042.6313,
9.82,10965.6342,
9.93,11043.7355,
10.03,10864.1427,
10.13,10466.1,
10.23,10764.7503,
10.33,10665.9855,
10.44,10439.638,
10.54,10447.3661,
10.64,10605.839,
10.83,10633.4267,
