elapsed_sec,best_cost,improvement_pct
31.9,9849.4549,
32.01,10366.2638,
32.11,9969.3288,
32.21,9931.1393,
32.31,9958.123,
32.41,9961.292,
32.51,10119.3348,
32.62,10112.0874,
32.72,9977.3332,
32.83,10016.3069,
32.93,10025.6933,
33.03,10206.8173,
33.13,10166.41,
33.23,10010.9438,
33.33,10025.6347,
33.43,10096.1156,
33.53,10387.907,
33.64,10272.1384,
33.75,10289.7145,
33.85,10203.0261,
33.95,10342.0441,
34.05,10345.5338,
34.15,10457.3923,
34.25,10318.8332,
34.35,10309.5785,
34.46,10400.5298,
34.56,10397.7669,
34.66,10430.9757,
34.76,10435.2904,
34.86,10411.558,
34.96,10352.4095,
35.06,10305.1733,
35.17,10320.9868,
35.27,10301.2263,
35.38,10353.6342,
35.48,10349.3999,
35.58,10380.5893,
35.68,10373.9162,
35.78,10506.8245,
35.89,10477.7337,
35.99,10407.9348,
36.09,10328.659,
36.19,10347.4216,
36.29,10410.3835,
36.39,10294.2643,
36.49,10290.3957,
36.59,10265.315,
36.69,10293.4973,
36.79,10378.7751,
36.89,10326.3488,
36.99,10357.6478,
37.09,10405.7219,
37.19,10413.562,
37.3,10315.3105,
37.4,10353.2238,
37.5,10337.1714,
37.6,10398.3574,
37.7,10290.0996,
37.8,10303.4893,
37.9,10170.3249,
38.0,10168.812,
38.1,10152.3273,
38.21,10102.7396,
38.31,10158.7426,
38.41,10086.3033,
38.52,10085.4967,
38.62,10103.5659,
38.72,10112.1114,
38.82,10106.3426,
38.92,10089.0372,
39.02,10092.5153,
39.12,10075.8226,
39.22,10071.5107,
39.32,10126.8831,
39.43,10157.2127,
39.53,10203.7966,
39.63,10223.2867,
39.73,10172.2363,
39.83,10163.511,
39.93,10157.4366,
40.03,10190.9162,
40.13,10252.9245,
40.23,10242.2374,
40.33,10122.9595,
40.44,10238.0105,
40.54,10179.4782,
40.64,10160.9372,
40.75,10145.6675,
40.85,10193.9622,
40.95,10214.412,
41.05,10294.7152,
41.15,10318.4045,
41.26,10370.3891,
41.36,10399.0206,
41.46,10372.0062,
41.56,10301.2268,
41.66,10291.6403,
41.77,10274.024,
41.87,10205.4543,
41.97,10191.288,
42.07,10150.8124,
42.17,10151.9894,
42.27,10080.8016,
42.37,10062.8,
42.48,10070.9997,
42.58,10115.0171,
42.68,10153.7007,
42.79,10104.8129,
42.89,10095.7875,
42.99,10172.5737,
43.09,10311.3663,
43.19,10293.8834,
43.29,10285.4828,
43.4,10259.9896,
43.5,10313.5747,
43.6,10318.6292,
43.7,10283.868,
43.8,10294.7011,
43.9,10312.8311,
44.0,10227.5244,
44.11,10273.7794,
44.21,10266.0182,
44.31,10352.6394,
44.41,10351.2725,
44.51,10313.414,
44.61,10314.6468,
44.71,10264.2706,
44.82,10269.0031,
44.92,10286.3347,
45.02,10234.3886,
45.12,10200.6827,
45.22,10095.8265,
45.32,10096.2946,
45.43,10071.7874,
45.53,10012.2377,
45.63,10032.6053,
45.73,10156.3626,
45.83,10151.2413,
45.93,10175.2479,
46.04,10217.2644,
46.14,10204.2443,
46.24,10197.7195,
46.34,10142.5343,
46.44,10121.0891,
46.54,10091.8387,
46.65,10044.0136,
46.75,10032.0382,
46.85,10143.2577,
46.95,10172.6509,
47.05,10164.1169,
47.15,10136.0258,
47.33,10089.7759,
47.43,10086.1683,
47.53,10036.1902,
47.63,10050.6149,
47.74,10026.4611,
47.84,10069.5525,
47.94,10087.6818,
48.04,10072.7288,
48.14,10103.203,
48.25,10099.638,
48.35,10117.2959,
48.45,10061.4899,
48.55,10046.0339,
48.65,10053.0136,
48.75,10051.082,
48.85,10071.8432,
48.96,10049.6205,
49.06,10026.635,
49.16,9991.818,
49.27,9958.0888,
49.37,9942.0489,
49.47,9951.3897,
49.57,9948.2763,
49.67,9942.0489,
49.77,9947.0464,
49.88,9954.4954,
49.98,9935.2031,
50.08,9946.199,
50.19,9957.7533,
50.29,9956.6357,
50.39,9953.1707,
50.49,9975.0661,
50.6,9981.3819,
50.7,9964.8363,
50.8,9970.8229,
50.91,9958.8029,
51.01,9965.1147,
51.11,9960.1222,
51.21,9984.1213,
51.31,9982.8402,
51.42,9982.8402,
51.52,9977.8312,
51.62,9928.712,
51.72,9946.9359,
51.83,9964.1015,
51.93,10003.0863,
52.03,10026.398,
52.13,10021.4648,
52.23,10028.6076,
52.33,10026.1719,
52.43,10024.1393,
52.53,10020.3494,
52.64,10046.3742,
52.74,10045.4058,
52.84,9983.5449,
52.94,9983.4419,
53.04,10016.3549,
53.15,10011.0764,
53.25,10007.2865,
53.35,10008.2889,
53.45,9996.3839,
53.55,9962.5214,
53.66,9964.5454,
53.76,9943.3469,
53.87,9934.2267,
53.97,9936.26,
54.07,9940.2446,
54.17,9964.0077,
54.28,9961.2506,
54.38,9966.3009,
54.48,9992.5314,
54.58,9987.0122,
54.68,9985.8036,
54.78,9991.8504,
54.89,9988.2786,
54.99,9994.5305,
55.09,9969.2036,
55.19,9974.5766,
55.29,9930.5954,
55.4,9946.721,
55.5,9946.5162,
55.61,9942.7888,
55.71,9954.508,
55.81,9963.6318,
55.91,10012.0261,
56.01,10024.5168,
56.11,9988.1028,
56.22,9967.8811,
56.32,9954.9719,
56.42,9952.1295,
56.52,9925.8791,
56.64,9916.9811,
56.74,9942.4802,
56.84,9942.4802,
56.94,9932.6335,
57.04,9939.6803,
57.15,9939.6803,
57.25,9670.5433,
57.36,9671.8244,
57.46,9676.2272,
57.56,9671.8643,
57.67,9680.2019,
57.77,9655.4345,
57.87,9663.1974,
57.97,9653.7058,
58.07,9665.7259,
58.18,9659.3643,
58.28,9655.958,
58.39,9655.958,
58.49,9620.1644,
58.59,9605.9488,
58.69,9627.7332,
58.79,9630.8529,
58.89,9633.3025,
59.0,9610.1243,
59.1,9602.0332,
59.2,9602.0332,
59.31,9601.7636,
59.41,9602.0332,
59.51,9554.0676,
59.61,9554.0676,
59.72,9554.0676,
59.82,9554.0676,
59.92,9548.2196,
