elapsed_sec,best_cost,improvement_pct
0.11,10366.7564,
0.21,10356.4206,
0.31,10415.8016,
0.41,10442.8712,
0.51,10369.2829,
0.61,10354.6838,
0.71,10336.8398,
0.81,10371.6785,
0.92,10300.4744,
1.03,10270.5482,
1.13,10256.8065,
1.23,10230.7327,
1.33,10198.8183,
1.43,10180.347,
1.54,10137.9934,
1.65,10143.9072,
1.75,10135.3726,
1.85,10119.7595,
1.95,10112.3744,
2.05,10101.8205,
2.15,10099.8316,
2.25,10099.8316,
2.36,10099.8316,
2.46,10101.8491,
2.57,10101.8491,
2.67,10080.2038,
2.77,10080.2038,
2.87,10080.2038,
2.98,10078.2149,
3.08,10078.2149,
3.18,10071.2197,
3.28,10065.7597,
3.38,10065.7597,
3.48,10065.4887,
3.58,10065.4887,
3.69,10065.4887,
3.79,10065.4887,
3.89,10065.4887,
3.99,10063.7185,
4.09,10063.7185,
4.2,10063.7185,
4.3,10063.7471,
4.4,10063.7471,
4.51,10063.7471,
4.7,10063.7471,
4.8,10063.7185,
4.91,10063.7185,
5.01,10063.7185,
5.11,10063.7185,
5.22,10063.7185,
5.32,10063.7185,
5.42,10063.7185,
5.57,10940.8434,
5.68,10721.2051,
5.78,10512.6997,
5.88,10521.0689,
5.98,10645.3263,
6.08,10557.7758,
6.18,10535.8673,
6.28,9556.7245,
6.38,9556.7245,
6.49,9557.5737,
6.59,9553.7941,
6.69,9435.5182,
6.79,9394.815,
6.89,9355.6702,
6.99,9355.6702,
7.09,9354.5312,
7.2,9335.1119,
7.3,9321.4949,
7.4,9321.4949,
7.5,9321.4949,
7.6,9321.4949,
7.7,9321.4949,
7.8,9321.4949,
7.91,9321.4949,
8.01,9298.762,
8.11,9298.762,
8.21,9298.762,
8.31,9298.762,
8.41,9298.762,
8.51,9298.762,
8.61,9298.762,
8.71,9298.762,
8.81,9298.762,
8.91,9298.762,
9.02,9298.762,
9.12,9298.762,
9.22,9298.762,
9.32,9297.2787,
9.42,9297.2787,
9.52,9286.9994,
9.62,9286.9994,
9.72,9286.9994,
9.83,9286.9994,
9.93,9286.9994,
