elapsed_sec,best_cost,improvement_pct
0.11,9839.8517,
0.22,9808.6398,
0.34,9806.2359,
0.45,9806.5857,
0.55,9808.9809,
0.66,9807.5546,
0.77,9803.8129,
0.87,9805.654,
0.98,9803.9004,
1.08,9803.9004,
1.19,9811.2893,
1.3,9786.3906,
1.4,9786.3906,
1.51,9794.014,
1.61,9791.646,
1.72,9791.646,
1.82,9790.0448,
1.92,9791.4711,
2.03,9792.5997,
2.13,9790.8461,
2.23,9794.8648,
2.34,9791.0405,
2.44,9791.0405,
2.55,9791.8404,
2.65,9788.5242,
2.76,9794.2636,
2.87,9792.2288,
2.98,9788.5242,
3.08,9788.5242,
3.19,9788.3552,
3.3,9790.5666,
3.4,9791.8081,
3.51,9788.3552,
3.62,9795.2111,
3.72,9782.2107,
3.83,9785.3325,
3.94,9785.3325,
4.04,9785.3325,
4.14,9780.0771,
4.25,9780.0771,
4.36,9780.0771,
4.47,9785.3711,
4.58,9783.9507,
4.68,9780.0771,
4.79,9788.9086,
4.89,9792.1193,
5.0,9785.3325,
5.1,9785.3325,
5.21,9785.3325,
5.31,9787.7005,
5.42,9780.0771,
5.53,9782.2885,
5.63,9783.53,
5.75,9781.8473,
5.87,9788.6341,
5.98,9790.8632,
6.08,9783.5623,
6.19,9788.8563,
6.29,9787.4359,
6.4,9783.5623,
6.5,9783.5623,
6.6,9783.5623,
6.71,9781.8473,
6.82,9781.8473,
6.93,9781.8473,
7.03,9784.2153,
7.14,9780.2461,
7.25,9791.4921,
7.35,9781.8473,
7.46,9781.8473,
7.57,9783.5623,
7.67,9783.5623,
7.78,9783.5623,
7.88,9785.7737,
7.98,9787.4359,
8.09,9783.5623,
8.19,9783.5623,
8.29,9780.2461,
8.4,9781.8473,
8.5,9781.8473,
8.61,9781.8473,
8.72,9784.2153,
8.82,9780.2461,
8.92,9783.5623,
9.03,9787.0152,
9.13,9788.8563,
9.23,9783.5623,
9.34,9783.5623,
9.44,9783.5623,
9.54,9781.8473,
9.65,9781.8473,
9.75,9783.6009,
9.86,9785.4234,
9.96,9780.2461,
10.07,9790.8632,
10.17,9781.8473,
10.28,9781.8473,
10.38,9783.5623,
10.49,9787.7005,
10.59,9783.5623,
10.69,9785.7737,
10.8,9787.4359,
10.9,9790.6021,
11.0,9783.5931,
11.11,9783.5931,
11.21,9783.5931,
11.32,9787.046,
11.43,9783.5931,
11.53,9783.5931,
11.64,9787.7313,
11.75,9783.5931,
11.85,9788.8485,
11.95,9788.8485,
12.06,9791.2165,
12.16,9787.2473,
12.26,9788.6736,
12.37,9788.0486,
12.47,9788.0486,
12.57,9789.8022,
12.68,9791.6247,
12.78,9789.5213,
12.88,9784.1828,
12.99,9784.9738,
13.09,9782.7624,
13.19,9784.1828,
13.3,9780.2461,
13.4,9780.2461,
13.51,9780.0771,
13.62,9785.9855,
13.73,9780.2461,
13.83,9780.0771,
13.94,9780.0771,
14.05,9780.2461,
14.16,9782.2885,
14.26,9780.0771,
14.36,9782.7624,
14.47,9782.7624,
14.57,9782.7624,
14.67,9782.7624,
14.77,9786.5867,
14.88,9782.7624,
14.98,9782.7624,
15.08,9780.2461,
15.19,9780.0771,
15.29,9782.2885,
15.4,9780.0771,
15.5,9780.2461,
15.61,9782.7624,
15.71,9782.7624,
15.82,9782.7624,
15.92,9786.5867,
16.02,9782.7624,
16.13,9782.7624,
16.23,9782.7624,
16.33,9782.7624,
16.44,9784.9738,
16.54,9782.7624,
16.65,9797.19,
16.75,9787.7343,
16.86,9795.3912,
16.96,9787.8218,
17.06,9787.8218,
17.17,9784.1828,
17.29,9782.7624,
17.39,9782.7624,
17.5,9782.7624,
17.6,9786.5867,
17.7,9780.2461,
17.81,9780.0771,
17.91,9780.0771,
18.02,9780.2461,
18.13,9782.4575,
18.23,9780.2461,
18.34,9787.7005,
18.44,9785.6657,
18.54,9782.7624,
18.65,9782.7624,
18.75,9786.5867,
18.85,9782.7624,
