elapsed_sec,best_cost,improvement_pct
0.1,10492.6322,
0.2,10299.5427,
0.3,10358.5367,
0.4,10391.1771,
0.51,10385.7066,
0.62,10357.4632,
0.72,10300.4522,
0.82,10296.9616,
0.94,10366.3361,
1.04,10361.3024,
1.14,10332.0201,
1.28,10419.1529,
1.38,10391.6331,
1.48,10521.9954,
1.59,10334.7999,
1.69,10046.9789,
1.8,10091.4735,
1.91,10081.1015,
2.03,10148.1934,
2.13,10130.3216,
2.23,10046.2798,
2.33,9978.5978,
2.44,10102.9584,
2.54,10174.5574,
2.65,10070.1014,
2.75,9832.4565,
2.85,9773.2996,
2.96,9777.4495,
3.06,9836.423,
3.16,9843.6885,
3.26,9793.616,
3.38,9699.4759,
3.48,9737.0727,
3.58,9734.4335,
3.68,9681.6889,
3.79,9664.5888,
3.89,9706.0453,
4.0,9666.9977,
4.1,9638.3424,
4.2,9673.9044,
4.31,9622.266,
4.41,9697.4859,
4.52,9738.9787,
4.62,9670.0648,
4.72,9770.2856,
4.82,9758.7233,
4.92,9750.0694,
5.03,9750.5224,
5.13,9822.042,
5.24,9751.0357,
5.35,9769.2644,
5.46,9694.4702,
5.56,9729.3833,
5.66,10053.8479,
5.77,10452.5692,
5.87,10487.7549,
5.97,10862.0187,
6.07,10707.217,
6.18,10762.2051,
6.28,10773.9869,
6.39,10826.9705,
6.5,10829.2595,
6.6,10869.0172,
6.7,10601.1582,
6.8,10652.3173,
6.9,10595.4433,
7.0,10544.686,
7.1,10576.4298,
7.2,10613.0497,
7.31,10913.1978,
7.41,11002.2785,
7.51,10805.235,
7.61,10810.3966,
7.71,10708.6451,
7.81,10605.2975,
7.91,10610.6957,
8.01,10690.2543,
8.12,10613.3363,
8.22,10509.5237,
8.32,10232.2527,
8.42,10283.8045,
8.54,10335.1579,
8.64,10396.6885,
8.76,10381.4282,
8.86,10193.3437,
8.97,10139.0874,
9.07,10180.6926,
9.18,10180.0347,
9.3,10250.4028,
9.4,10151.6019,
9.5,10564.1201,
9.6,10534.3134,
9.71,10565.0012,
9.81,10504.1089,
9.91,10535.8937,
10.01,10512.4883,
10.12,10490.9819,
10.22,10451.9324,
10.34,10490.5837,
10.44,10332.1251,
10.55,10309.0044,
10.65,10329.9453,
10.75,10370.2019,
10.86,10433.8326,
10.96,10336.5751,
11.06,10310.4008,
11.17,10252.0785,
11.27,10389.6347,
11.37,10362.3595,
11.47,9989.8806,
11.59,9951.8318,
11.69,9941.7794,
11.79,9931.9973,
11.89,9932.7447,
12.0,9911.3969,
12.1,9905.5775,
12.2,9931.4892,
12.3,9926.2351,
12.41,10008.4302,
12.52,9998.8362,
12.62,10032.448,
12.73,10008.0531,
12.83,10014.5345,
12.93,10053.5505,
13.1,9994.6924,
13.21,9928.426,
13.31,9970.3022,
13.41,9961.9979,
13.51,10061.9956,
13.62,10021.6596,
13.72,9941.8198,
13.82,9948.4229,
13.92,9933.4559,
14.03,9870.5944,
14.13,9924.9045,
14.24,10073.0805,
14.34,9943.06,
14.44,10003.0815,
14.55,10032.5792,
14.65,10054.2423,
14.75,9859.7688,
14.85,9871.191,
14.96,9853.386,
15.06,9893.5869,
15.17,10003.6681,
15.27,9954.5579,
15.37,10067.4746,
15.47,9937.4949,
15.59,9937.4949,
15.69,10015.8649,
15.8,9895.0086,
15.9,9812.3773,
16.0,9897.1961,
16.11,9902.7529,
16.22,9817.0152,
16.32,9866.9534,
16.43,9985.8103,
16.53,9919.5735,
16.63,9896.0246,
16.75,9874.2926,
16.86,9901.0069,
16.96,10049.7802,
17.07,10013.9302,
17.17,9993.4526,
17.27,9993.4526,
17.39,10013.4255,
17.49,9922.4742,
17.59,10081.3716,
17.69,10048.9297,
17.79,10012.8516,
17.9,9964.9782,
18.0,9960.7031,
18.1,9871.1633,
18.22,9871.1633,
18.33,9952.5757,
18.44,9893.3135,
18.54,9941.3658,
18.65,9948.1733,
18.75,9950.7392,
18.85,9953.6713,
18.96,10374.548,
19.06,10277.3815,
19.17,10270.4407,
19.27,10304.7547,
19.37,10308.9038,
19.48,10323.9967,
19.58,10195.7331,
19.68,10273.1788,
19.79,10243.1468,
19.89,10219.3163,
19.99,10219.3163,
20.09,10223.9532,
20.19,10284.4425,
20.3,10281.6763,
20.4,10445.7156,
20.5,10428.0378,
20.6,10208.6148,
20.72,10197.6255,
20.82,10170.2913,
20.92,10251.9731,
21.02,10236.2305,
21.12,10233.2803,
21.25,10207.9488,
21.35,10289.4137,
21.45,10263.8599,
21.55,9903.0495,
21.66,9905.9641,
21.76,9912.2747,
21.86,9936.8235,
21.96,9971.0538,
22.07,9955.0525,
22.17,9950.7038,
22.27,9904.828,
22.38,9873.9713,
22.48,9844.3377,
22.59,9840.8097,
22.69,9928.5172,
22.8,9919.6788,
22.9,9966.1291,
23.01,9966.1291,
23.11,9964.9017,
23.21,9939.6599,
23.32,9935.7721,
23.42,9930.3226,
23.52,9901.1553,
23.62,9973.5385,
23.72,9834.217,
23.83,9900.8195,
23.94,9923.9048,
24.04,9838.0172,
24.14,9855.8036,
24.24,10127.0636,
24.36,10034.2836,
24.47,10153.6168,
24.59,10117.3381,
24.69,9989.627,
24.79,9975.8544,
24.89,9971.962,
25.0,9971.2595,
25.1,9915.9218,
25.2,9948.1396,
25.3,9971.5671,
25.43,9873.651,
25.53,9888.2695,
25.63,9986.335,
25.74,9945.6486,
25.84,9953.2332,
25.94,9970.8715,
26.04,9938.1661,
26.15,9946.8543,
26.26,9932.0817,
26.37,10080.7032,
26.47,10037.7843,
26.58,9944.5294,
26.7,9911.4602,
26.8,9923.7873,
26.91,10017.3459,
27.01,9903.3141,
27.12,9914.8909,
27.22,9937.4352,
27.35,9955.0099,
27.45,9930.7522,
27.56,10021.7223,
27.66,9904.5694,
27.78,9929.898,
27.88,9884.0566,
27.99,9917.4178,
28.1,9890.8067,
28.2,9886.1664,
28.3,9932.6831,
28.4,9911.4434,
28.5,9911.9195,
28.61,9906.4931,
28.72,9923.8381,
28.82,9908.1115,
28.93,9941.0312,
29.03,9968.3649,
29.13,9734.4708,
29.24,9664.2476,
29.34,9653.241,
29.45,9648.8628,
29.55,9621.3868,
29.66,9621.2881,
29.77,9624.4879,
29.87,9654.1442,
29.97,9663.08,
30.07,9655.5425,
30.18,9653.0123,
30.28,9664.6165,
30.38,9650.6282,
30.49,9553.3247,
30.6,9636.3815,
30.71,9580.1296,
30.81,9580.1296,
30.91,9544.5455,
31.01,9544.5455,
31.12,9585.764,
31.22,9591.6244,
31.32,9579.1374,
31.42,9579.1374,
31.52,9578.2882,
31.62,9553.0817,
31.72,9555.0993,
31.83,9520.6144,
31.93,9514.7894,
32.04,9580.7324,
32.14,9533.1214,
32.24,9523.0294,
32.35,9519.0197,
32.45,9574.2058,
32.55,9677.9893,
32.66,9625.4949,
32.76,9625.4949,
32.86,9612.5279,
32.96,9612.5279,
33.06,9643.3376,
33.17,9607.7326,
33.27,9610.2808,
33.38,9600.8289,
33.48,9570.1389,
33.58,9598.3765,
33.69,9641.988,
33.79,9641.988,
33.89,9662.1966,
34.0,9573.2012,
34.1,9605.6372,
34.22,9602.3361,
34.32,9586.0008,
34.43,9635.9413,
34.53,9633.8999,
34.63,9589.2875,
34.73,9643.2851,
34.84,9621.0523,
34.95,9632.8147,
35.05,9615.593,
35.16,9635.815,
35.26,9604.7473,
35.38,9679.7615,
35.48,9679.7615,
35.58,9668.3614,
35.69,9668.3614,
35.79,9629.3839,
35.89,9607.4053,
35.99,9663.2894,
36.09,9668.3376,
36.21,9663.2482,
36.31,9679.4551,
36.42,9701.9666,
36.53,9714.8909,
36.64,9719.5808,
36.74,9704.2101,
36.84,9696.8989,
36.95,9614.8544,
37.05,9694.0623,
37.15,9632.6798,
37.25,9620.7541,
37.35,9616.1482,
37.45,9624.4051,
37.56,9624.3126,
37.66,9624.6301,
37.76,9642.4269,
37.87,9633.6578,
37.97,9633.7244,
38.08,9637.0101,
38.18,9716.9127,
38.28,9707.5808,
38.39,9650.6747,
38.49,9596.8913,
38.59,9617.0393,
38.69,9573.5544,
38.79,9569.7222,
38.89,9565.4351,
38.99,9563.755,
39.1,9560.0869,
39.2,9568.3248,
39.3,9557.6684,
39.41,9573.2634,
39.51,9572.973,
39.63,9565.6463,
39.73,9567.9223,
39.83,9580.2879,
39.95,9583.6173,
40.05,9580.2879,
40.16,9611.3706,
40.26,9613.6603,
40.36,9577.9303,
40.46,9573.4014,
40.57,9573.4014,
40.67,9575.503,
40.78,9627.4876,
40.88,9627.4876,
40.99,9608.7869,
41.1,9608.0877,
41.2,9606.9049,
