elapsed_sec,best_cost,improvement_pct
0.1,8758.534,
0.21,8750.8205,
0.33,8701.8217,
0.47,8701.8217,
0.57,8705.4731,
0.68,8707.4184,
0.78,8705.189,
0.89,8699.8629,
0.99,8699.8629,
1.1,8699.8629,
1.21,8699.8629,
1.31,8699.8629,
1.42,8703.6952,
1.53,8717.1625,
1.63,8726.7416,
1.73,8798.1751,
1.84,8878.7387,
1.95,8883.0641,
2.05,8930.2876,
2.16,8944.6186,
2.26,8946.3831,
2.36,8946.6951,
2.46,8951.3139,
2.57,8882.6673,
2.68,8864.2431,
2.79,8851.8536,
2.9,8853.0084,
3.0,8873.4927,
3.11,8873.6668,
3.22,8864.5637,
3.33,8864.5637,
3.43,8864.5637,
3.54,8864.5637,
3.65,8864.5637,
3.75,8916.6168,
3.86,8872.1594,
3.96,8875.6765,
4.07,8831.076,
4.17,8820.9492,
4.28,8874.1104,
4.39,8825.375,
4.5,8825.375,
4.6,8825.375,
4.71,8825.375,
4.82,8825.375,
4.92,8825.375,
5.03,8825.375,
5.14,8825.375,
5.24,8817.8383,
5.35,8824.457,
5.45,8858.0729,
5.56,8914.0657,
5.67,8918.1263,
5.77,8923.191,
5.88,8895.805,
5.98,8924.3687,
6.08,8878.5132,
6.19,8878.5132,
6.29,8878.5132,
6.39,8871.7108,
6.5,8871.819,
6.6,8833.888,
6.7,8833.888,
6.81,8855.9477,
6.91,8856.8496,
7.01,8858.1296,
7.12,8859.0946,
7.22,8861.1314,
7.32,8863.3841,
7.42,8847.3713,
7.53,8845.1665,
7.63,8797.8972,
7.73,8797.8972,
7.84,8792.487,
7.94,8750.2168,
8.04,8750.2168,
8.14,8750.2168,
8.25,8750.2168,
8.35,8792.6591,
8.45,8799.7582,
8.56,8805.5677,
8.66,8807.775,
8.77,8808.5306,
8.87,8800.9372,
8.97,8834.9142,
9.08,8824.6059,
9.18,8808.863,
9.29,8713.2112,
9.4,8712.1372,
9.5,8713.2112,
9.61,8724.5316,
9.72,8755.7771,
9.82,8741.4592,
9.93,8741.4592,
10.04,8741.4592,
10.15,8741.4592,
10.25,8850.9304,
10.36,8775.6765,
10.46,8730.2268,
10.58,8730.2268,
10.68,8730.2268,
10.79,8738.2703,
10.89,8739.5779,
11.0,8746.0865,
11.11,8747.0856,
11.21,8750.9299,
11.32,8752.8281,
11.42,8775.6765,
11.52,8739.5779,
11.63,8740.2798,
11.73,8740.2798,
11.84,8740.2798,
11.95,8738.4788,
12.09,8736.0686,
12.19,8737.5019,
12.3,8738.4788,
12.4,8738.4788,
12.51,8738.4788,
12.62,8738.4788,
12.73,8738.4788,
12.84,8722.5937,
12.94,8724.4919,
13.05,8747.3403,
13.15,8701.8906,
13.26,8699.9372,
13.36,8660.166,
13.47,8660.166,
13.58,8660.166,
13.69,8660.166,
13.79,8660.166,
13.9,8660.166,
14.0,8660.166,
14.11,8660.166,
14.22,8660.166,
14.32,8660.166,
14.43,8660.166,
14.54,8660.166,
14.65,8660.166,
14.75,8709.491,
14.85,8709.491,
14.95,8766.6024,
15.06,8771.3108,
15.16,8773.2004,
15.26,8778.2651,
15.37,8750.8791,
15.47,8779.4428,
15.57,8790.3783,
15.68,8792.45,
15.78,8792.8723,
15.88,8707.0435,
15.98,8738.2984,
16.09,8738.2984,
16.19,8732.2659,
16.3,8732.2659,
16.41,8734.0936,
16.51,8741.0413,
16.62,8737.2121,
16.72,8737.2121,
16.83,8737.2121,
16.93,8737.2121,
17.04,8737.2121,
17.14,8737.2121,
17.25,8745.057,
17.35,8745.057,
17.46,8758.4707,
17.56,8785.3782,
17.67,8791.7215,
17.78,8738.118,
17.88,8738.118,
17.99,8738.118,
18.09,8738.118,
18.2,8738.118,
18.3,8738.118,
18.41,8738.118,
18.51,8738.118,
18.62,8738.118,
18.72,8742.8937,
18.83,8742.8937,
18.94,8740.525,
19.04,8741.2511,
19.15,8742.7341,
19.26,8741.3787,
19.37,8744.6033,
19.47,8744.6033,
19.58,8746.1918,
19.68,8746.1918,
19.79,8747.9997,
19.9,8711.1438,
20.01,8709.7884,
20.11,8709.6608,
20.22,8707.107,
20.32,8709.6608,
20.43,8709.6608,
20.54,8707.107,
20.64,8707.107,
20.74,8718.1672,
20.84,8702.6634,
20.95,8704.8725,
21.05,8706.7417,
21.16,8708.3302,
21.26,8711.0317,
21.37,8711.1357,
21.48,8712.2156,
21.58,8713.7157,
21.69,8717.0452,
21.8,8742.0922,
21.91,8714.1087,
22.02,8741.5912,
22.12,8741.5912,
22.23,8739.7635,
22.34,8740.7957,
22.44,8747.0173,
22.55,8743.5075,
22.65,8744.4844,
22.76,8743.1881,
22.86,8743.1881,
22.96,8743.1881,
23.07,8720.8693,
23.17,8704.2603,
23.27,8704.2603,
23.37,8704.2603,
23.48,8752.1633,
23.58,8758.5066,
23.7,8715.1149,
23.8,8716.0918,
23.91,8713.2785,
24.01,8714.5951,
24.11,8715.8667,
24.22,8711.739,
24.33,8711.739,
24.43,8714.5951,
24.54,8715.8667,
24.65,8704.2603,
24.75,8704.2603,
24.86,8703.7031,
24.96,8703.7031,
25.07,8703.7031,
25.18,8703.7031,
25.29,8775.1475,
25.4,8739.5414,
25.5,8739.5414,
25.61,8739.5414,
25.71,8739.5414,
25.82,8739.5414,
25.92,8817.5146,
26.03,8744.9757,
26.13,8745.9735,
26.24,8746.2539,
26.35,8822.8762,
26.45,8740.1536,
26.56,8786.3513,
26.66,8788.8112,
26.76,8811.1325,
26.87,8816.1972,
26.97,8744.9756,
27.08,8744.9756,
27.19,8744.9756,
27.29,8744.9756,
27.4,8744.9756,
27.51,8818.1731,
27.62,8737.6847,
27.72,8737.6847,
27.83,8737.6847,
27.93,8737.6847,
28.04,8737.6847,
28.14,8737.6847,
28.25,8737.6847,
28.35,8737.6847,
28.45,8744.1168,
28.56,8741.2158,
28.67,8741.2158,
28.77,8747.8495,
28.88,8762.6814,
28.99,8765.1413,
29.09,8787.4626,
29.2,8792.5273,
29.31,8793.705,
29.42,8726.74,
29.52,8799.2789,
29.63,8727.7378,
29.74,8728.0182,
29.85,8804.6405,
29.95,8805.0203,
30.06,8720.8178,
30.17,8720.8178,
30.28,8788.154,
30.38,8751.6628,
30.49,8741.8655,
30.6,8741.8655,
30.7,8748.1559,
30.8,8748.1559,
30.9,8743.6242,
31.01,8746.7128,
31.12,8744.6525,
31.22,8746.7128,
31.33,8746.7128,
31.43,8747.2543,
31.54,8747.2543,
