elapsed_sec,best_cost,improvement_pct
0.1,11268.2354,
0.2,11259.1021,
0.3,11257.6268,
0.4,11257.6268,
0.5,11257.6268,
0.61,11257.6268,
0.71,11257.6268,
0.81,11257.6268,
0.91,11257.6268,
1.01,11257.6268,
1.12,11257.6268,
1.22,11257.6268,
1.32,11257.6268,
1.42,11257.6268,
1.52,11257.6268,
1.62,11257.6268,
1.72,11257.6268,
1.83,11257.6268,
1.93,11257.6268,
2.03,11257.6268,
2.13,11257.6268,
2.23,11257.6268,
2.49,11257.6268,
2.59,11257.6268,
2.69,11257.6268,
2.79,11257.6268,
2.9,11257.6268,
3.0,11257.6268,
3.1,11257.6268,
3.2,11257.6268,
3.3,11257.6268,
3.41,11257.6268,
3.51,11257.6268,
3.61,11257.6268,
3.71,11257.6268,
3.81,11257.6268,
3.91,11257.6268,
4.01,11257.6268,
4.11,11257.6268,
4.21,11257.6268,
4.31,11257.6268,
4.42,11257.6268,
4.52,11257.6268,
4.62,11257.6268,
4.72,11257.6268,
4.82,11257.6268,
4.92,11257.6268,
5.02,11257.6268,
5.13,11257.6268,
5.23,11257.6268,
5.33,11257.6268,
5.43,11257.6268,
5.53,11257.6268,
5.63,11257.6268,
5.73,11257.6268,
5.83,11257.6268,
5.93,11257.6268,
6.03,11257.6268,
6.13,11257.6268,
6.24,11257.6268,
6.34,11257.6268,
6.45,11257.6268,
6.55,11257.6268,
6.65,11257.6268,
6.75,11257.6268,
6.85,11257.6268,
6.96,11257.6268,
7.06,11257.6268,
7.16,11257.6268,
7.26,11257.6268,
7.36,11257.6268,
7.47,11257.6268,
7.57,11257.6268,
7.67,11257.6268,
7.77,11257.6268,
7.88,11257.6268,
7.98,11257.6268,
8.08,11257.6268,
8.18,11257.6268,
8.28,11257.6268,
8.39,11257.6268,
8.49,11257.6268,
8.59,11257.6268,
8.69,11257.6268,
8.79,11257.6268,
8.89,11257.6268,
8.99,11257.6268,
9.1,11257.6268,
9.2,11257.6268,
9.3,11257.6268,
9.4,11257.6268,
9.5,11257.6268,
9.6,11257.6268,
9.7,11257.6268,
9.8,11257.6268,
9.9,11257.6268,
10.0,11257.6268,
10.11,11257.6268,
10.21,11257.6268,
10.31,11257.6268,
10.41,11257.6268,
10.51,11257.6268,
10.61,11257.6268,
10.71,11257.6268,
10.81,11257.6268,
10.91,11257.6268,
11.01,11257.6268,
11.11,11257.6268,
11.21,11257.6268,
11.32,11257.6268,
11.42,11257.6268,
11.52,11257.6268,
11.62,11257.6268,
11.73,11257.6268,
11.83,11257.6268,
11.93,11257.6268,
