elapsed_sec,best_cost,improvement_pct
0.11,11472.0875,
0.22,11584.6323,
0.33,11774.9254,
0.43,11807.2545,
0.54,11723.7458,
0.64,11731.4991,
0.75,11710.657,
0.85,11662.5427,
0.96,11748.9495,
1.06,11862.1758,
1.16,11857.3079,
1.27,11854.7981,
1.37,11430.9308,
1.48,11450.4629,
1.58,11392.465,
1.7,11385.3808,
1.8,11391.5988,
1.9,11383.7958,
2.01,11366.2576,
2.11,11372.3958,
2.21,11330.5275,
2.31,11347.6112,
2.42,11289.6543,
2.52,11240.8757,
2.62,11238.9237,
2.72,11252.9291,
2.83,11250.8903,
2.93,11222.9162,
3.03,11231.1729,
3.14,11211.257,
3.24,11212.8206,
3.34,11214.7361,
3.44,11191.8816,
3.55,11186.4513,
3.65,11189.9164,
3.75,11186.5773,
3.85,11184.608,
3.95,11186.2684,
4.06,11187.376,
4.16,11198.1644,
4.26,11201.8546,
4.37,11194.2034,
4.47,11172.8772,
4.57,11168.9638,
4.68,11141.7355,
4.78,11144.9588,
4.89,11079.0197,
5.0,11078.8013,
5.1,11075.1938,
5.2,11075.1938,
5.3,11029.4186,
5.41,11033.3282,
5.52,11025.2491,
5.63,11025.2491,
5.74,11016.6116,
5.86,11016.6116,
5.98,11016.6116,
6.08,11016.6116,
6.18,11016.6116,
6.28,11016.6116,
6.39,11016.6116,
6.49,11016.6116,
6.6,11016.3932,
6.7,11016.3932,
6.8,11016.3932,
6.9,11016.3932,
7.02,11016.3932,
7.13,11016.3932,
7.25,11016.3932,
7.35,11016.3932,
7.45,11016.3932,
7.56,11016.3932,
7.66,11016.3932,
7.76,11016.3932,
7.88,11016.3932,
7.99,11016.3932,
8.11,11016.3932,
8.21,11016.3932,
8.31,11016.3932,
8.41,11016.3932,
8.51,11016.3932,
8.62,11016.3932,
8.72,11016.3932,
8.84,11016.3932,
8.94,11013.8386,
9.05,11013.8386,
9.15,11013.8386,
9.26,11013.8386,
9.36,11013.8386,
9.46,11013.8386,
9.56,11013.8386,
9.67,11013.8386,
9.77,11013.8386,
9.87,11013.8386,
9.97,11013.8386,
10.07,11013.8386,
10.17,11013.8386,
10.27,11013.8386,
10.37,11013.8386,
10.48,11013.8386,
10.58,11013.8386,
10.68,11013.8386,
10.78,11013.8386,
10.88,11013.8386,
10.98,11013.8386,
11.09,11013.8386,
11.2,11013.8386,
11.3,11013.8386,
11.4,11013.8386,
11.5,11013.8386,
11.61,11013.8386,
11.71,11013.8386,
11.81,11013.8386,
11.91,11013.8386,
12.01,11013.8386,
12.12,11013.8386,
12.23,11013.8386,
12.33,11013.8386,
12.43,11013.8386,
12.54,11013.8386,
12.64,11013.8386,
12.74,11013.8386,
12.85,11013.8386,
12.95,11013.8386,
13.05,11013.8386,
13.15,10991.9197,
13.25,10991.9197,
13.36,10991.9197,
13.47,10991.9197,
13.57,10991.9197,
13.7,11524.3782,
13.8,11539.7537,
13.9,11564.2543,
14.0,11600.9981,
14.1,11605.3469,
14.21,11611.3204,
14.31,11618.5542,
14.42,11136.1837,
14.52,11105.9939,
14.62,11105.9939,
14.73,11081.6998,
14.84,11042.6046,
14.95,11046.8099,
15.05,11212.4889,
15.15,11214.748,
15.26,11214.748,
15.36,11229.39,
15.46,11221.2343,
15.56,11233.0254,
15.68,11231.5463,
15.79,11208.8486,
15.89,11208.8486,
15.99,11190.1499,
16.09,11113.9653,
16.2,11103.5338,
16.3,11101.6333,
16.41,11103.1341,
16.51,11110.6069,
16.62,11110.3219,
16.72,11117.2144,
16.83,11117.2144,
16.93,11111.874,
17.04,11130.3683,
17.14,11132.215,
17.24,11139.7025,
17.35,11111.3353,
17.45,11106.4322,
17.55,11114.5411,
17.65,11109.2447,
17.75,11099.3989,
17.85,11105.4665,
17.96,11100.1708,
18.07,11067.6486,
18.18,11067.3986,
18.29,11063.7823,
18.39,11063.7823,
18.49,11066.484,
18.61,11043.0775,
18.71,11039.0598,
18.81,11039.0598,
18.91,11038.4773,
19.01,11032.1481,
19.12,11032.1481,
19.23,11032.1481,
19.34,11033.9105,
19.45,11037.7059,
19.56,11033.9105,
19.67,11031.2088,
19.77,11025.1021,
19.87,11025.1021,
19.98,11025.1021,
20.08,11025.1021,
20.18,11025.1021,
20.28,10975.5369,
20.38,10975.5369,
20.49,10975.5369,
20.59,10972.8622,
20.69,10961.9558,
20.79,10961.9558,
20.9,10961.9558,
21.0,10941.5053,
21.11,10941.5053,
21.21,10941.2869,
21.32,10931.2406,
21.43,10931.2406,
21.53,10931.5702,
21.63,10931.5702,
21.73,10931.5702,
21.83,10931.5702,
21.94,10931.2406,
22.04,10931.2406,
22.15,10931.2406,
22.26,10931.2406,
22.51,10931.2406,
22.62,10931.2406,
22.73,10931.2406,
22.83,10931.2406,
22.93,10931.2406,
23.04,10931.2406,
23.14,10931.2406,
23.24,10931.2406,
23.35,10931.2406,
23.45,10931.2406,
23.56,10931.2406,
23.66,10931.2406,
23.76,10931.2406,
23.86,10931.2406,
23.97,10931.2406,
24.07,10931.2406,
