elapsed_sec,best_cost,improvement_pct
0.1,11608.5799,
0.21,11867.2081,
0.31,11843.0863,
0.42,11853.107,
0.52,11943.1745,
0.63,11884.5747,
0.73,11848.3457,
0.83,11920.8272,
0.93,11831.6486,
1.04,12017.9501,
1.14,11882.7494,
1.24,11921.3827,
1.35,11975.7102,
1.45,11837.0717,
1.56,11633.1488,
1.66,11300.9109,
1.76,11276.4025,
1.86,11347.267,
1.97,11257.5899,
2.07,11418.1938,
2.17,11572.3168,
2.27,11911.3524,
2.38,11837.1966,
2.49,11845.248,
2.59,11502.2149,
2.7,11505.0997,
2.8,11422.7072,
2.9,11460.4464,
3.01,11463.9376,
3.11,11407.9556,
3.22,11319.7912,
3.33,11637.2424,
3.43,11617.8968,
3.53,11567.8362,
3.63,11628.3899,
3.73,11790.0691,
3.84,11245.4368,
3.94,11224.8774,
4.04,11231.1622,
4.15,11331.8332,
4.25,11314.5671,
4.36,11376.8853,
4.47,11443.4104,
4.57,11449.1378,
4.67,11876.739,
4.77,11807.178,
4.88,11797.3047,
4.99,11779.3094,
5.09,12073.2079,
5.19,12204.6719,
5.3,12150.6086,
5.42,11744.9631,
5.52,11746.6662,
5.62,11588.2479,
5.72,11515.8842,
5.83,11699.0529,
5.94,11702.1199,
6.05,11618.5599,
6.15,11678.3371,
6.25,12027.2061,
6.35,12155.8671,
6.45,12125.132,
6.56,12173.029,
6.66,12174.2135,
6.77,12118.1768,
6.87,12129.8461,
6.97,12222.9646,
7.08,12110.6931,
7.18,11802.8297,
7.29,12103.0672,
7.39,11747.6621,
7.51,12103.2746,
7.61,12051.2259,
7.71,11865.7304,
7.81,11918.3826,
7.91,11586.3345,
8.02,11670.9675,
8.12,11585.2918,
8.23,11557.5498,
8.33,11608.8768,
8.44,11617.8976,
8.54,11614.8401,
8.65,11619.5068,
8.76,11657.8873,
8.86,11384.5429,
8.98,11369.0075,
9.08,11394.5378,
9.18,11453.5203,
9.3,11460.0804,
9.53,11400.2543,
9.63,11437.9876,
9.74,11389.6841,
9.84,11840.8738,
9.95,11375.4908,
10.07,11325.3434,
10.19,11210.6607,
10.29,11210.4334,
10.4,11375.4331,
10.5,11403.9827,
10.61,11434.2644,
10.71,11461.6631,
10.81,11440.2384,
10.92,11472.7842,
11.02,11483.267,
11.13,11523.6264,
11.23,11509.1745,
11.33,11530.0945,
11.43,11507.235,
11.54,11545.6821,
11.64,11525.5621,
11.75,11490.4739,
11.86,11488.129,
11.97,11488.2077,
12.08,11405.4632,
12.18,11112.0969,
12.31,11230.2327,
12.41,11199.5003,
