elapsed_sec,best_cost,improvement_pct
0.23,11560.505,
0.33,11617.7511,
0.43,11613.0765,
0.53,11537.3223,
0.65,11640.7941,
0.76,11695.1441,
0.86,11720.9525,
0.97,11786.9654,
1.07,12132.4862,
1.17,12025.7024,
1.27,12021.7839,
1.37,12027.6845,
1.47,12031.6271,
1.58,12059.0628,
1.68,12069.3488,
1.78,11941.8151,
1.88,11405.7174,
1.99,11413.234,
2.09,11751.1159,
2.2,11697.3542,
2.3,11644.6048,
2.41,11684.1653,
2.52,11649.7154,
2.63,11551.7029,
2.73,11556.7557,
2.83,11533.5755,
2.95,11539.0912,
3.05,11494.9539,
3.15,11520.7611,
3.26,11514.1361,
3.36,11513.4329,
3.47,11576.9607,
3.57,11660.4166,
3.77,11368.0864,
3.88,11340.8148,
3.99,11274.7449,
4.1,11277.9755,
4.2,11280.8214,
4.3,11249.2151,
4.42,11210.5722,
4.52,11205.5666,
4.62,11214.6313,
4.72,11209.2473,
4.83,11211.5289,
4.93,11198.9082,
5.04,11263.0812,
5.14,11239.7932,
5.26,11233.6265,
5.36,11229.3954,
5.47,11238.9162,
5.57,11257.9593,
5.67,11224.9492,
5.77,11319.0631,
5.88,11293.1398,
5.99,11280.2191,
6.09,11379.8686,
6.2,11353.0658,
6.3,11346.5931,
6.4,11356.8758,
6.5,11047.778,
6.61,11048.9015,
6.71,11056.9144,
6.81,11056.9144,
6.91,11347.6299,
7.02,11344.5895,
7.12,11341.2666,
7.24,11342.4901,
7.36,11331.2671,
7.46,11435.6539,
7.57,11468.7457,
7.69,11489.1953,
7.8,11488.7596,
7.9,11465.6025,
8.01,11466.8789,
8.12,11461.9449,
8.22,11453.0968,
8.33,11520.8303,
8.43,11540.8459,
8.53,11500.9968,
8.64,11498.9637,
8.75,11490.4853,
8.87,11437.6283,
8.98,11446.6629,
9.08,11501.5678,
9.19,11523.921,
9.31,11442.737,
9.41,11466.3432,
9.52,11467.3324,
9.65,11399.9348,
9.76,11369.9124,
9.86,11511.3918,
9.96,11502.8402,
10.07,11505.2592,
10.17,11145.8299,
10.27,11142.9135,
10.37,11074.1586,
10.48,11077.9429,
10.61,11143.2522,
10.71,11198.3543,
10.81,11171.8877,
10.93,11166.8282,
11.04,11165.418,
11.14,11157.779,
11.26,11198.1309,
11.37,11274.4924,
11.48,11284.38,
11.58,11387.2454,
11.68,11379.5187,
11.78,11282.4626,
11.88,11343.2682,
11.99,11340.9257,
12.1,11358.0371,
12.2,11449.0676,
12.3,11456.3384,
12.41,11378.4691,
12.51,11364.0903,
12.61,11383.8459,
12.71,11383.8459,
12.81,11444.0752,
12.92,11428.3323,
13.02,11416.8428,
13.13,11341.2074,
13.23,11348.0251,
13.33,11325.4476,
13.44,11332.1996,
13.56,11349.5217,
13.66,11359.0434,
13.76,11393.4259,
13.87,11383.2535,
13.98,11381.0097,
14.08,11332.3221,
14.19,11330.2244,
14.29,11139.4486,
14.4,11200.6595,
14.5,11213.1459,
14.62,11213.1459,
14.73,11193.7187,
14.84,11220.7015,
14.94,11092.449,
15.05,11033.1348,
15.15,11058.3027,
15.25,11047.4353,
15.35,11030.2332,
15.46,11083.0064,
15.56,11058.597,
15.68,11059.1558,
15.78,11042.5788,
15.88,11033.4444,
15.99,11050.3635,
16.09,11042.2091,
16.19,11044.4933,
16.3,11045.1772,
16.41,11044.2708,
16.52,11049.9806,
16.63,11058.7252,
16.73,11045.9843,
16.83,11039.0172,
16.93,11039.0627,
17.04,11080.495,
17.14,10993.28,
