elapsed_sec,best_cost,improvement_pct
0.15,11292.3747,
0.29,11271.409,
0.43,11268.8512,
0.61,11325.5568,
0.71,11460.1342,
0.82,11485.3871,
0.92,11448.7782,
1.04,11502.8549,
1.14,11528.328,
1.24,11601.1464,
1.34,11602.6295,
1.46,11647.0242,
1.56,11724.5265,
1.68,11684.0077,
1.78,11695.9503,
1.88,11665.231,
1.98,11679.5717,
2.09,11682.8794,
2.19,11743.5513,
2.3,11825.5201,
2.4,11830.4142,
2.5,11807.8451,
2.61,11770.085,
2.71,11791.9529,
2.81,11759.5159,
2.91,11675.8019,
3.03,11755.496,
3.13,11757.7086,
3.23,11787.9283,
3.34,11777.6953,
3.44,11833.4276,
3.55,11761.148,
3.65,11758.2323,
3.75,11794.4774,
3.86,11888.3612,
3.96,11841.2825,
4.06,11957.1763,
4.16,11914.3087,
4.26,11930.6061,
4.36,12184.7776,
4.47,12185.4458,
4.57,12268.2718,
4.68,12111.3653,
4.79,12135.0266,
4.9,12082.9915,
5.01,12147.2287,
5.11,12134.6162,
5.22,11753.0447,
5.32,11754.0769,
5.44,11754.1181,
5.54,11754.7828,
5.64,11965.0522,
5.75,11887.222,
5.88,11903.9615,
5.98,11880.8892,
6.09,11872.6787,
6.19,11864.3799,
6.29,11819.4391,
6.4,11802.5657,
6.51,12061.3023,
6.61,11745.6759,
6.71,11708.7946,
6.81,11618.8947,
6.91,11661.7616,
7.01,11655.8982,
7.12,11688.548,
7.22,11689.6305,
7.32,11755.9486,
7.42,12203.5436,
7.53,12205.5213,
7.64,11970.5991,
7.74,11976.9719,
7.85,11893.255,
7.95,11895.5556,
8.05,11908.0822,
8.15,11256.1038,
8.25,11213.9835,
8.35,11156.446,
8.46,11115.0153,
8.56,11116.4892,
8.69,11117.6881,
8.8,11187.3917,
8.91,11249.9285,
9.02,11227.9098,
9.13,11208.99,
9.24,11202.5904,
9.36,11153.3819,
9.47,11184.4161,
9.57,11228.6084,
9.67,11198.0146,
9.79,11203.3351,
9.91,11203.3391,
10.01,11196.2138,
10.12,11201.1826,
10.23,11219.7274,
10.33,11181.3277,
10.44,11181.609,
10.54,11244.0169,
10.64,11072.8459,
10.75,11049.8459,
10.85,11041.9477,
10.95,11053.8427,
11.05,11053.8427,
11.16,11043.1816,
11.27,11043.1816,
11.37,11037.1218,
11.48,11030.4093,
11.58,11019.242,
11.69,11143.5488,
11.79,11142.7516,
11.89,11111.1127,
12.0,11099.8461,
12.1,11111.2174,
12.21,11142.8563,
12.31,11144.895,
12.41,11151.5276,
12.52,11105.1641,
12.62,11180.0693,
12.72,11169.494,
12.82,11228.7111,
12.93,11228.7111,
13.04,11139.7912,
13.16,11139.592,
13.27,11138.093,
13.38,11101.6444,
13.48,11169.957,
13.59,11162.0323,
13.69,11143.0006,
13.8,11164.2213,
13.92,11160.3558,
14.02,11198.9624,
14.14,11188.3745,
14.24,11191.7845,
14.34,11131.9353,
14.44,11125.8099,
14.54,11157.7234,
14.65,11157.7234,
14.75,11126.7926,
14.85,11277.8054,
14.95,11253.1888,
15.05,11336.0116,
15.25,11336.0116,
15.36,11325.7682,
15.46,11333.1478,
15.56,11317.8329,
15.67,11301.898,
15.77,11273.2212,
15.89,11274.649,
15.99,11264.3683,
16.1,11254.0637,
16.2,11283.7646,
16.3,11287.1027,
16.41,11287.1027,
16.51,11292.3989,
16.61,11298.1315,
16.72,11300.7553,
16.82,11323.0505,
16.93,11323.0505,
17.05,11331.0744,
17.16,11316.0565,
17.28,11312.8405,
17.39,11318.406,
17.49,11310.563,
17.6,11319.9621,
17.7,11319.0493,
17.8,11289.1108,
17.94,11298.0586,
18.04,11298.0586,
18.14,11295.3106,
18.24,11290.5607,
18.35,11300.7242,
18.47,11319.7447,
18.57,11300.8951,
18.68,11305.6943,
18.78,11246.6707,
18.88,11252.9756,
18.98,11237.0503,
19.09,11279.1941,
19.2,11312.6757,
19.3,11265.3152,
19.41,11258.2628,
19.52,11308.8044,
19.62,11309.0848,
19.72,11375.6115,
19.83,11385.3049,
19.93,11312.4576,
20.03,11318.5594,
20.13,11323.7513,
20.23,11322.6487,
20.35,11322.0161,
20.45,11322.2954,
20.57,11391.913,
20.68,11366.2035,
20.79,11374.1764,
20.89,11385.1717,
20.99,11223.3856,
21.09,11179.0816,
21.2,11242.1516,
21.3,11260.1047,
21.41,11245.0048,
21.52,11228.0659,
21.62,11239.9174,
21.72,11228.5282,
21.83,11334.1305,
21.94,11326.9963,
22.05,11320.9402,
22.15,11336.4706,
22.25,11328.0408,
22.36,11334.2708,
22.46,11334.2708,
22.56,11223.4483,
22.67,11241.6882,
22.78,11235.9089,
22.89,11233.5343,
22.99,11174.3107,
23.11,11149.9955,
23.21,11146.3287,
23.31,11138.7956,
23.42,11096.0145,
23.53,11106.9112,
23.64,11107.1032,
23.74,11107.1032,
23.84,11145.0548,
23.95,11147.3404,
24.06,11101.3344,
24.16,11103.9493,
24.26,11085.0967,
24.37,11076.5065,
