elapsed_sec,best_cost,improvement_pct
0.16,11786.8626,
0.31,11749.0281,
0.49,11740.4764,
0.64,11691.3071,
0.79,11686.4577,
0.93,11683.1552,
1.13,11681.9558,
1.3,11669.8077,
1.45,11669.0909,
1.61,11669.1755,
1.77,11669.0909,
1.93,11669.1945,
2.08,11668.7619,
2.23,11668.7619,
2.38,11668.7619,
2.57,11669.1945,
2.71,11669.0909,
2.86,11669.5104,
3.01,11669.0909,
3.19,11669.7419,
3.34,11669.0909,
3.48,11670.6414,
3.63,11669.0909,
3.77,11671.1401,
3.93,11669.0909,
4.08,11671.5265,
4.24,11669.0909,
4.41,11671.8331,
4.6,11669.0909,
4.77,11671.9074,
4.95,11669.0909,
5.14,11669.1755,
5.3,11669.0909,
5.45,11669.1945,
5.62,11668.7619,
5.76,11669.2791,
5.93,11668.7619,
6.08,11669.1945,
6.23,11669.0909,
6.38,11669.5104,
6.53,11669.0909,
6.67,11669.7419,
6.83,11669.0909,
7.0,11670.6414,
7.15,11669.0909,
7.31,11669.8077,
7.46,11671.8569,
7.61,11669.8077,
7.76,11669.2563,
7.93,11670.4975,
8.17,11670.913,
8.38,11666.4943,
8.6,11660.0405,
8.8,11660.1251,
9.09,11660.0405,
9.28,11660.1441,
9.45,11659.7115,
9.63,11660.2287,
9.85,11659.7115,
10.04,11660.1441,
10.22,11660.0405,
10.41,11660.46,
10.61,11660.0405,
10.77,11660.6915,
10.96,11660.0405,
11.17,11661.2967,
11.39,11660.0405,
11.56,11661.591,
11.74,11660.0405,
11.93,11660.5919,
12.12,11662.4998,
12.32,11660.5919,
12.6,11662.6411,
12.86,11660.5919,
13.04,11660.6765,
13.21,11660.5919,
13.38,11660.6955,
13.58,11659.9787,
13.75,11659.5461,
13.94,11660.0633,
14.12,11659.5461,
14.29,11659.9787,
14.45,11659.8751,
14.64,11660.2946,
14.81,11659.8751,
15.02,11660.5261,
15.24,11659.8751,
15.43,11661.1313,
15.66,11659.8751,
15.87,11661.4256,
16.11,11659.8751,
16.29,11661.783,
16.45,11659.8751,
16.7,11661.9243,
16.97,11659.8751,
17.21,11659.9597,
17.45,11659.8751,
17.71,11659.9787,
17.95,11660.5261,
18.23,11659.9787,
18.44,11659.5461,
18.62,11660.0633,
18.77,11659.5461,
18.96,11659.9787,
19.15,11659.8751,
19.33,11660.2946,
19.49,11659.8751,
19.64,11660.5261,
19.82,11659.8751,
19.98,11661.1313,
20.13,11659.8751,
20.28,11661.4256,
20.44,11659.8751,
20.6,11660.5919,
20.76,11662.4998,
20.95,11660.5919,
21.11,11660.6765,
21.28,11660.5919,
21.45,11660.6955,
21.59,11661.2429,
21.75,11660.6955,
21.96,11660.2629,
22.12,11660.7801,
22.29,11660.2629,
22.46,11660.6955,
22.61,11660.1441,
22.77,11660.0405,
22.92,11660.46,
23.06,11660.0405,
23.24,11660.6915,
23.42,11660.0405,
23.59,11661.2967,
23.77,11660.0405,
23.92,11661.591,
24.08,11660.0405,
24.25,11661.9484,
24.44,11660.0405,
24.65,11660.1251,
24.8,11660.0405,
24.98,11660.1441,
25.27,11660.6915,
25.48,11660.1441,
25.63,11659.7115,
25.82,11660.2287,
25.97,11659.7115,
26.11,11660.1441,
26.26,11661.9484,
26.47,11660.1441,
26.63,11660.0405,
26.83,11660.46,
27.01,11660.0405,
27.17,11660.5919,
27.31,11661.2429,
27.46,11660.5919,
27.6,11661.8481,
27.77,11660.5919,
27.95,11662.1424,
28.09,11660.5919,
28.25,11660.6765,
28.4,11660.5919,
28.54,11660.6955,
28.68,11661.2429,
28.88,11660.6955,
29.03,11660.2629,
29.18,11660.7801,
29.32,11660.2629,
29.47,11659.5461,
29.62,11659.9787,
29.77,11661.783,
29.92,11659.8751,
30.07,11660.2946,
30.21,11659.8751,
