elapsed_sec,best_cost,improvement_pct
0.13,12844.674,
0.23,12844.674,
0.38,12844.674,
0.51,12844.674,
0.64,12844.674,
0.76,13093.8558,
0.88,13085.6756,
1.01,13047.718,
1.11,13047.718,
1.35,13127.8423,
1.55,13127.8423,
1.69,13175.5446,
1.81,12906.1289,
1.91,12908.1611,
2.02,12909.614,
2.12,12891.1069,
2.26,12890.4062,
2.37,12472.3912,
2.48,12485.9625,
2.58,12485.9625,
2.75,12471.7038,
2.85,12478.6554,
2.96,12466.9326,
3.06,12483.9316,
3.16,12491.2538,
3.26,12456.4777,
3.39,12456.4777,
3.49,12456.4777,
3.63,12456.4777,
3.76,12456.4777,
3.87,12456.4777,
4.0,12471.4341,
4.1,12453.1218,
4.2,12448.3557,
4.3,12316.6192,
4.4,12321.6353,
4.5,12321.6353,
4.63,12317.0697,
4.77,12317.0697,
4.89,12314.5931,
5.01,12314.5931,
5.12,12314.5931,
5.23,12314.5931,
5.33,12300.5219,
5.44,12300.5219,
5.54,12298.6904,
5.67,12275.7951,
5.77,12075.2175,
5.88,12061.9565,
6.05,12061.9565,
6.15,12061.9565,
6.26,12061.9565,
6.39,12061.9565,
6.5,12061.9565,
6.6,12061.9565,
6.7,12061.9565,
6.83,12061.9565,
6.94,12061.9565,
7.07,12061.9565,
7.17,12053.4472,
7.27,12053.4472,
7.38,12053.4472,
7.48,12053.4472,
7.59,12053.4472,
7.71,12053.4472,
7.81,12053.4472,
7.94,12053.4472,
8.04,12053.4472,
8.16,12053.4472,
8.28,12053.4472,
8.38,12049.2901,
8.5,12049.2901,
8.61,12049.2901,
8.71,12049.2901,
8.81,12049.2901,
8.94,12049.2901,
9.04,12049.2901,
9.14,12049.2901,
9.24,12049.2901,
9.34,12049.2901,
9.44,12049.2901,
9.56,12049.2901,
9.66,12049.2901,
9.8,12049.2901,
9.91,12049.2901,
10.03,12049.2901,
10.18,12049.2901,
10.28,12049.2901,
10.4,12049.2901,
10.5,12049.2901,
10.6,12049.2901,
10.71,12049.2901,
10.81,12049.2901,
10.92,12043.0959,
11.02,12043.0959,
11.14,12043.0959,
11.24,12043.0959,
11.38,12043.0959,
11.5,12043.0959,
11.61,12043.0959,
11.71,12043.0959,
11.86,12043.0959,
11.96,12043.0959,
12.08,12043.0959,
12.19,12043.0959,
12.29,12043.0959,
12.39,12043.0959,
12.52,12043.0959,
12.64,12036.2483,
12.78,12036.2483,
12.92,12030.7185,
13.03,12030.7185,
13.17,12030.7185,
13.27,12030.7185,
13.39,12030.7185,
13.51,12030.7185,
13.63,12030.7185,
13.74,12030.7185,
13.85,12030.7185,
13.96,12030.7185,
14.06,12030.7185,
14.16,12030.7185,
14.26,12030.7185,
14.37,12030.7185,
14.47,12030.7185,
14.57,12030.7185,
14.67,12030.7185,
14.78,12030.7185,
14.88,12030.7185,
14.99,12030.7185,
15.09,12030.7185,
15.19,12030.7185,
15.33,12030.7185,
15.43,12030.7185,
15.54,12030.7185,
15.65,12030.7185,
15.76,12030.7185,
15.86,12030.7185,
15.96,12030.7185,
16.09,12030.7185,
16.19,12030.7185,
16.29,12030.7185,
16.42,12030.7185,
16.52,12030.7185,
16.63,12030.7185,
16.81,12482.4644,
16.93,12470.6726,
17.03,12492.9124,
17.13,12514.0258,
17.24,12487.9791,
17.35,12487.9791,
17.45,12476.147,
17.61,12477.8248,
17.75,12477.8248,
17.86,12459.0701,
17.96,12470.8619,
18.07,12472.192,
18.2,12468.6851,
18.31,12482.0295,
18.42,12491.0933,
18.52,12486.7956,
18.62,12486.7956,
18.74,12479.5146,
18.84,12455.0595,
18.96,12455.0595,
19.1,12455.0595,
19.2,12480.5912,
19.3,12550.0776,
19.4,12552.3277,
19.51,12556.4014,
19.61,12556.4014,
19.72,12556.4014,
19.82,12556.4014,
19.92,12495.1057,
20.02,12474.5673,
20.15,12456.7299,
20.27,12443.0415,
20.38,12445.4155,
20.51,12445.4155,
20.61,12256.9145,
20.71,12247.2138,
20.82,12247.2138,
20.92,12247.2138,
21.04,12183.2932,
21.14,12196.1442,
21.25,12196.1442,
21.39,12196.1442,
21.51,12196.1442,
21.63,12196.1442,
21.73,12198.7695,
21.9,12213.9455,
22.01,12214.4173,
22.11,12179.1004,
22.21,12179.1004,
22.33,12183.3981,
22.43,12183.3981,
22.53,12199.1293,
22.63,12197.5629,
22.76,12197.5629,
22.86,12197.5629,
23.01,12187.5899,
23.11,12187.5899,
23.21,12187.5899,
23.31,12187.5899,
23.41,12187.5899,
23.51,12187.5899,
23.62,12187.5899,
23.74,12187.5899,
23.84,12187.5899,
23.98,12187.5899,
24.08,12157.9434,
24.2,12157.9434,
24.33,12157.9434,
24.43,12157.9434,
24.54,12157.9434,
24.64,12157.9434,
24.74,12157.9434,
24.94,12157.9434,
25.04,12157.9434,
25.15,12157.9434,
25.25,12157.9434,
25.36,12157.9434,
25.47,12157.9434,
25.57,12129.1093,
25.69,12129.1093,
25.82,12129.1093,
25.92,12113.3781,
26.06,12113.3781,
26.17,12113.3781,
26.28,12113.3781,
26.39,12113.3781,
26.49,12113.3781,
26.59,12113.3781,
26.71,12113.3781,
26.81,12113.3781,
26.91,12113.3781,
27.03,12113.3781,
27.14,12113.3781,
27.24,12113.3781,
27.34,12113.3781,
27.45,12113.3781,
27.57,12113.3781,
27.67,12113.3781,
27.77,12113.3781,
27.87,12113.3781,
27.97,12113.3781,
28.07,12113.3781,
28.18,12113.3781,
28.3,12113.3781,
28.41,12113.3781,
28.51,12113.3781,
28.63,12113.3781,
28.73,12113.3781,
28.83,12113.3781,
28.93,12113.3781,
29.06,12113.3781,
29.17,12113.3781,
29.29,12113.3781,
29.39,12113.3781,
29.49,12113.3781,
29.59,12113.3781,
29.71,12113.3781,
29.81,12113.3781,
29.92,12113.3781,
30.04,12113.3781,
30.14,12113.3781,
30.25,12113.3781,
30.37,12113.3781,
30.48,12113.3781,
30.58,12113.3781,
30.69,12113.3781,
30.79,12113.3781,
30.89,12107.7024,
31.02,12107.7024,
31.14,12107.7024,
31.24,12107.7024,
31.35,12107.7024,
31.49,12107.7024,
31.6,12107.7024,
31.7,12107.7024,
31.82,12107.7024,
31.95,12107.7024,
32.06,12107.7024,
32.2,12107.7024,
32.3,12107.7024,
32.4,12107.7024,
32.5,12107.7024,
32.63,12107.7024,
32.73,12107.6792,
32.84,12107.6792,
32.94,12107.6792,
33.06,12107.6792,
33.27,12107.6792,
33.38,12107.6792,
33.5,12107.6792,
33.67,12761.9815,
33.77,12796.8345,
33.87,12790.9925,
33.97,12768.1777,
34.07,12766.6496,
34.19,12773.4972,
34.34,12838.7123,
34.44,12838.7123,
