elapsed_sec,best_cost,improvement_pct
0.13,12739.4655,
0.24,12715.5838,
0.39,12773.2674,
0.49,12794.608,
0.6,12743.9144,
0.74,12779.698,
0.85,12783.7193,
0.95,12588.9875,
1.05,12505.4374,
1.18,12772.8408,
1.32,12759.7935,
1.42,12782.4799,
1.56,13047.0227,
1.67,13064.1528,
1.78,12889.437,
1.88,12862.8666,
1.98,13046.8127,
2.08,12871.2488,
2.18,12837.5128,
2.31,12741.4685,
2.41,12741.4685,
2.55,12941.9076,
2.65,12924.9065,
2.75,12709.7853,
2.88,12733.4431,
3.02,12807.8124,
3.15,13242.1357,
3.25,13225.839,
3.36,13315.1171,
3.52,13110.7674,
3.64,12487.8019,
3.74,12381.6534,
3.84,12381.6534,
3.94,12319.1442,
4.04,12461.8507,
4.15,12835.4932,
4.26,12846.2833,
4.37,12692.4698,
4.52,12705.5005,
4.62,13166.277,
4.78,12492.0467,
4.91,12492.0467,
5.02,12522.1613,
5.14,12522.1613,
5.25,12624.7857,
5.38,12547.2084,
5.51,12406.7888,
5.62,12425.8363,
5.78,12148.1001,
5.93,12287.215,
6.03,12342.1464,
6.15,12341.6232,
6.25,12384.2705,
6.38,12321.553,
6.52,12125.0376,
6.62,12197.4893,
6.75,12205.746,
6.85,12321.3215,
7.0,12329.1264,
7.1,12337.5433,
7.21,12156.923,
7.35,12035.1533,
7.45,12035.1533,
7.6,12007.8718,
7.74,12008.3164,
7.87,12038.431,
7.98,12027.7541,
8.09,11988.0214,
8.26,12042.2895,
8.36,12042.2895,
8.5,12018.8582,
8.6,11872.6534,
8.7,12106.6361,
8.85,11635.7431,
8.95,11749.7349,
9.14,11729.9276,
9.25,11729.9276,
9.4,11710.6801,
9.5,11726.8459,
9.6,11721.4154,
9.7,11856.6835,
9.81,11933.0004,
9.93,11933.0004,
10.08,12099.6762,
10.18,12105.5352,
10.29,12053.7202,
10.39,11854.6851,
10.5,11958.5053,
10.6,12141.4783,
10.72,12175.5143,
10.82,12140.4905,
10.93,12140.4905,
11.03,12370.5871,
11.14,12370.5871,
11.24,12049.4294,
11.34,12049.4294,
11.46,12049.4294,
11.59,12084.1688,
11.7,12144.4739,
11.8,12184.0067,
11.99,12187.7196,
12.14,12273.3076,
12.27,12141.6939,
12.37,12142.8139,
12.47,11933.3095,
12.58,11933.3095,
12.68,11933.3095,
12.83,11942.3223,
12.97,11970.7902,
13.07,12155.5492,
13.18,12165.4594,
13.31,12155.2043,
13.43,12261.7973,
13.54,12315.1195,
13.69,12261.9498,
13.79,12269.2748,
13.9,12256.3392,
14.0,12228.9363,
14.11,12237.009,
14.22,12130.1826,
14.32,12092.2896,
14.42,12096.1471,
14.53,12046.1686,
14.67,12087.4926,
14.8,12087.4926,
14.91,12097.2135,
15.01,12056.6831,
15.14,12017.3472,
15.26,11718.5047,
15.36,11740.7419,
15.46,11824.252,
15.58,11824.252,
15.73,11831.7385,
15.83,11794.1058,
15.94,11915.9859,
16.04,11921.1453,
16.14,11929.4713,
16.25,11942.8601,
16.37,11844.8491,
16.49,12066.9438,
16.65,12068.5552,
16.75,12041.9279,
16.85,12040.4094,
16.97,12048.2053,
17.08,11990.469,
17.2,11764.6557,
17.36,11830.9593,
17.46,11778.1756,
17.57,11787.3691,
17.68,11718.3552,
17.82,11718.3552,
17.92,11725.4415,
18.04,11730.0434,
18.14,11738.6363,
18.25,11922.6939,
18.35,11913.8866,
18.45,11727.9376,
18.57,11710.9365,
18.68,11780.2006,
18.82,11780.2006,
18.92,11780.2006,
19.05,11854.5892,
19.15,11833.7099,
19.26,11932.3427,
19.42,11900.5873,
19.54,12021.6345,
19.65,11936.732,
19.75,11914.1393,
19.87,11967.0965,
19.97,11819.6304,
20.08,11857.8516,
20.19,11857.8516,
20.32,11891.6816,
20.43,11889.7675,
20.53,11903.5122,
20.63,11880.5873,
20.78,11868.3258,
20.88,11851.3086,
20.98,11844.2717,
21.1,11861.2889,
21.2,12068.4575,
21.33,12390.9504,
21.43,12328.5107,
21.57,12261.3888,
21.68,12239.8366,
21.79,12239.8366,
21.9,12239.8366,
22.0,12090.2493,
22.12,12106.687,
22.22,12269.7797,
22.32,12018.9121,
22.46,11772.543,
22.69,11581.1474,
22.82,11609.5873,
22.95,11611.8704,
23.08,11603.9976,
23.19,11572.0891,
23.3,11556.6872,
23.4,11561.4899,
