elapsed_sec,best_cost,improvement_pct
0.1,11299.0711,
0.21,11299.0711,
0.32,11163.7399,
0.47,11163.5616,
0.58,11163.5616,
0.68,11163.5616,
0.79,11163.5616,
0.89,11163.5616,
1.0,11163.5616,
1.11,11163.5616,
1.21,11163.5616,
1.33,11163.5616,
1.45,11162.8697,
1.56,11162.8697,
1.67,11162.8697,
1.78,11162.8697,
1.88,11162.8697,
1.99,11162.8697,
2.1,11162.8697,
2.2,11162.8697,
2.3,11162.8697,
2.4,11162.8697,
2.51,11162.8697,
2.61,11162.8697,
2.72,11162.8697,
2.84,11162.8697,
2.97,11162.8697,
3.07,11162.8697,
3.19,11162.8697,
3.31,11162.8697,
3.42,11162.8697,
3.53,11162.8697,
3.63,11162.8697,
3.74,11162.8697,
3.84,11162.8697,
3.95,11162.8697,
4.05,11162.8697,
4.17,11162.8697,
4.27,11162.8697,
4.39,11162.8697,
4.51,11162.8697,
4.63,11162.8697,
4.75,11162.8697,
4.85,11162.8697,
4.96,11162.8697,
5.07,11162.8697,
5.19,11162.8697,
5.31,11162.8697,
5.43,11162.8697,
5.55,11162.8697,
5.66,11162.8697,
5.77,11162.8697,
5.88,11162.8697,
5.99,11162.8697,
6.09,11162.8697,
6.19,11162.8697,
6.31,11162.8697,
6.42,11162.8697,
6.53,11162.8697,
6.64,11162.8697,
6.75,11162.8697,
6.88,11162.8697,
6.99,11162.8697,
7.1,11162.8697,
7.21,11162.8697,
7.31,11162.8697,
7.41,11162.8697,
7.51,11162.8697,
7.61,11162.8697,
7.74,11162.8697,
7.84,11162.8697,
7.94,11162.8697,
8.04,11162.8697,
8.15,11162.8697,
8.27,11162.8697,
8.38,11162.8697,
8.49,11162.8697,
8.59,11162.8697,
8.71,11162.8697,
8.81,11162.8697,
8.93,11162.8697,
9.03,11162.8697,
9.15,11162.8697,
9.27,11162.8697,
9.37,11162.8697,
9.48,11162.8697,
9.6,11162.8697,
9.7,11162.8697,
9.8,11162.8697,
9.9,11162.8697,
10.01,11162.8697,
10.12,11162.8697,
