elapsed_sec,best_cost,improvement_pct
30.44,11931.5912,
30.55,11996.5033,
30.85,11933.0373,
30.95,12840.9846,
31.05,13095.2761,
31.16,13167.0648,
31.26,13161.8765,
31.36,13132.0575,
31.46,12689.7684,
31.56,12707.3691,
31.66,12240.2232,
31.76,12058.9645,
31.86,12321.8793,
31.97,12328.793,
32.07,12527.3773,
32.17,12942.3725,
32.28,12876.8476,
32.38,12842.0712,
32.48,12394.8603,
32.58,12381.1502,
32.68,12382.3794,
32.78,12479.0809,
32.88,12409.4118,
32.99,12422.7052,
33.09,12302.9693,
33.19,12236.0318,
33.29,12286.8311,
33.39,12167.2217,
33.49,12388.7411,
33.59,12155.1833,
33.7,12221.6599,
33.8,12189.4937,
33.9,12224.9075,
34.0,12280.7444,
34.1,12248.1774,
34.21,12221.2548,
34.31,12244.0593,
34.42,12540.8495,
34.53,12538.7847,
34.63,12561.404,
34.73,12376.4772,
34.83,12524.7099,
34.93,12373.0936,
35.04,12149.9423,
35.14,11875.6368,
35.24,11789.5862,
35.35,11850.2078,
35.45,11799.5894,
35.55,11840.197,
35.65,11788.8746,
35.75,11858.724,
35.85,11849.4459,
35.96,11819.5596,
36.06,11809.6927,
36.16,11849.0112,
36.27,11837.0966,
36.37,11859.0036,
36.47,11854.6703,
36.57,12229.5309,
36.68,12054.7387,
36.78,12144.5815,
36.88,12190.006,
36.98,12183.3169,
37.08,12116.9715,
37.19,11968.2586,
37.29,11941.848,
37.39,11932.3091,
37.49,12187.9619,
37.6,12180.238,
37.7,12204.6858,
37.8,12184.0615,
37.9,12098.8373,
38.0,11909.5171,
38.1,11934.0723,
38.2,11901.8463,
38.3,12246.1246,
38.4,11969.9846,
38.51,11933.512,
38.61,12010.1858,
38.71,12163.5918,
38.81,12207.8693,
38.91,12166.464,
39.01,12062.5632,
39.11,12079.2909,
39.21,12063.987,
39.32,12041.3559,
39.42,12116.7537,
39.52,12075.9727,
39.62,12089.2755,
39.72,12136.5916,
39.82,12336.5926,
39.93,12132.0098,
40.03,11915.5958,
40.13,11869.3692,
40.4,11874.6902,
40.5,11804.351,
40.6,11835.1369,
40.7,11854.3419,
40.81,12078.28,
40.91,12318.4581,
41.01,11904.1719,
41.11,11810.6236,
41.21,11837.0483,
41.31,11904.4964,
41.41,11835.7355,
41.52,11841.2219,
41.62,11877.4225,
41.72,11886.6187,
41.82,11878.154,
41.92,11887.5378,
42.02,11877.9978,
42.12,11864.5689,
42.22,11872.8239,
42.33,11868.5996,
42.43,11870.2685,
42.53,11866.781,
42.63,11907.5405,
42.73,11874.6955,
42.83,11859.0418,
42.93,11871.5376,
43.04,11882.816,
43.14,11885.3731,
43.24,11878.8642,
43.34,11915.1653,
43.44,11871.3655,
43.55,11849.9607,
43.65,11876.9813,
43.75,11854.9138,
43.85,11888.9519,
43.95,11845.5545,
44.05,11873.7646,
44.16,11883.74,
44.26,11870.7782,
44.36,12008.5325,
44.46,11928.1792,
44.57,11889.4322,
44.67,11919.4736,
44.77,11922.2537,
44.87,11865.8197,
44.97,11806.9244,
45.08,11842.0315,
45.18,11889.3115,
45.28,11853.2152,
45.38,11873.2123,
45.49,11863.0211,
45.59,11915.7565,
45.69,11812.1896,
45.8,11862.556,
45.9,11828.5384,
46.0,11862.5002,
46.11,11888.5914,
46.21,11811.1775,
46.31,11826.2846,
46.41,11847.6614,
46.51,11876.5146,
46.61,11905.3201,
46.71,11893.5648,
46.82,11898.0951,
46.92,11874.2954,
47.02,11835.5656,
47.13,11859.2988,
47.23,11880.3382,
47.33,11836.0984,
47.43,11854.7229,
47.53,11866.107,
47.63,11868.6008,
47.73,11860.0262,
47.83,11829.5848,
47.94,11864.7709,
48.04,11894.6774,
48.14,11937.7295,
48.25,11912.1162,
48.35,11914.5635,
48.45,11893.5821,
48.57,11860.7955,
48.67,11793.1867,
48.78,11890.8993,
48.88,11877.5727,
48.98,11861.8903,
49.1,11862.3349,
49.2,11864.3154,
49.3,11914.8033,
49.4,11887.7427,
49.51,11885.6077,
49.61,11868.7063,
49.71,11626.6099,
49.81,11658.5532,
49.92,11675.234,
50.23,11730.3606,
50.34,11742.1826,
50.44,11652.2581,
50.55,11619.5686,
50.65,11407.6879,
50.75,11418.5947,
50.85,11385.9052,
50.96,11367.9417,
51.06,11411.1486,
51.17,11408.2614,
51.27,11419.9481,
51.37,11369.6937,
51.47,11379.1361,
51.57,11379.1361,
51.68,11380.7072,
51.78,11394.998,
51.88,11434.99,
51.98,11375.7497,
52.09,11389.3833,
52.19,11375.3148,
52.29,11400.4039,
52.39,11417.2623,
52.49,11380.5953,
52.6,11384.088,
52.7,11407.8936,
52.8,11400.8022,
52.9,11393.6673,
53.0,11403.1558,
53.11,11375.3878,
53.22,11370.7463,
53.32,11362.4553,
53.42,11386.1276,
53.52,11433.0428,
53.62,11372.9459,
53.72,11386.4823,
53.82,11396.9924,
53.92,11373.8886,
54.02,11403.5411,
54.12,11379.8928,
54.22,11348.1053,
