elapsed_sec,best_cost,improvement_pct
0.22,12584.9472,
0.32,12982.7894,
0.42,12580.9572,
0.53,12688.2404,
0.63,12494.8423,
0.73,12693.906,
0.83,12589.8847,
0.94,12212.5351,
1.04,12302.4025,
1.14,12477.2156,
1.26,12170.0239,
1.37,12186.1037,
1.47,11964.7224,
1.59,11941.3661,
1.72,11941.3661,
1.82,11990.6212,
1.92,11999.1022,
2.03,11984.6463,
2.14,12304.9117,
2.27,12297.9198,
2.38,12302.2154,
2.49,12451.0373,
2.59,12417.6675,
2.69,12478.7814,
2.79,12509.3549,
2.9,12395.0407,
3.0,12458.3607,
3.1,12340.7562,
3.2,12350.4141,
3.3,12425.0387,
3.41,12393.2087,
3.51,12407.7132,
3.61,12428.1288,
3.71,12340.5095,
3.81,12297.3221,
3.91,12309.535,
4.01,12292.227,
4.12,12275.5697,
4.23,12265.8062,
4.33,12253.3233,
4.43,12348.8468,
4.54,12299.3558,
4.64,12251.0784,
4.75,12388.5814,
4.85,12331.6851,
4.96,12308.9526,
5.06,12261.2581,
5.16,12216.3621,
5.26,12124.6886,
5.36,12123.4477,
5.47,12076.2607,
5.57,12063.1223,
5.67,12031.7811,
5.78,12096.6766,
5.88,12163.3542,
5.98,12155.239,
6.08,11959.9199,
6.18,11961.6719,
6.28,11958.8843,
6.38,11979.6492,
6.5,11970.2424,
6.6,11949.9693,
6.7,11960.898,
6.8,12060.9943,
7.03,11849.4816,
7.13,12215.1955,
7.24,12224.5423,
7.35,12615.9977,
7.45,12258.9345,
7.55,12254.4821,
7.65,12237.2442,
7.75,12267.0914,
7.86,12211.5414,
7.96,12149.5725,
8.06,12206.2565,
8.16,12191.9485,
8.26,12191.1696,
8.36,12161.308,
8.47,12304.7532,
8.57,12300.8611,
8.68,12290.9755,
8.78,12544.4275,
8.88,12639.6103,
8.98,12553.838,
9.08,12407.985,
9.18,12372.7081,
9.28,12425.1104,
9.4,12346.0518,
9.5,12559.5451,
9.61,12570.877,
9.77,12585.1678,
9.87,12575.6782,
10.0,12615.6843,
10.1,12690.0409,
10.21,12619.6281,
10.31,12546.8293,
10.41,12362.505,
10.51,11939.8523,
10.64,11911.2801,
10.74,11739.7476,
10.84,11624.9382,
10.94,11590.9657,
11.04,11633.4338,
11.14,11623.4737,
11.25,11878.6769,
11.35,11902.3935,
11.45,11806.929,
11.55,11805.4743,
11.66,11766.1006,
12.03,11815.0802,
12.13,11815.1951,
12.24,11829.7932,
12.34,11826.2442,
12.44,11826.2442,
12.54,11789.5468,
12.64,11847.7754,
12.74,11863.5947,
12.85,11891.3979,
12.95,11895.6971,
13.05,11878.7517,
13.16,11878.7517,
13.26,11844.0153,
13.37,11804.2312,
13.47,11785.987,
13.57,11840.3168,
13.67,11851.6406,
13.83,11618.7462,
13.93,11679.4207,
14.04,11594.6034,
14.14,11579.5977,
14.24,11775.8338,
14.34,11874.2723,
14.45,12096.0109,
14.55,12306.1216,
14.65,12040.0109,
14.75,12051.486,
14.85,12298.7121,
14.95,12331.994,
15.05,12427.4171,
15.15,12373.6651,
15.27,12339.0506,
15.37,12445.9037,
15.47,12439.6815,
15.58,12609.4343,
15.68,12583.0682,
15.78,12799.7415,
15.88,12572.1261,
15.99,12857.5519,
16.09,12456.3956,
16.22,12540.0803,
16.32,12369.712,
16.42,11993.7786,
16.52,12273.243,
16.62,12512.7363,
16.73,12488.3151,
16.83,12506.2718,
16.93,12735.7117,
17.03,12747.8525,
17.13,12564.112,
17.23,12562.886,
17.33,12595.8574,
17.45,12650.5852,
17.55,12427.8203,
17.65,12321.4325,
17.75,12337.1118,
17.86,12267.8272,
17.96,12241.2518,
18.06,12236.9734,
18.16,12040.3811,
18.26,12030.8407,
18.36,12041.0155,
18.48,12048.0477,
18.59,12042.0515,
18.69,12024.0037,
18.79,12021.2258,
19.27,11500.881,
