elapsed_sec,best_cost,improvement_pct
0.13,15072.346,
0.46,15072.346,
0.81,15072.346,
0.92,15060.6382,
1.27,15056.8677,
1.38,15056.8677,
1.54,15056.8677,
1.65,15056.8677,
1.85,15056.8677,
2.13,15052.4984,
2.3,15052.4984,
2.42,15052.4984,
2.55,15049.9164,
2.65,15049.9164,
2.81,15049.9164,
2.93,15049.9164,
3.09,15049.9164,
3.19,15049.9164,
3.3,15049.9164,
3.4,15049.9164,
3.59,15049.9164,
3.75,15049.9164,
3.85,15049.9164,
4.1,15049.9164,
4.44,15049.9164,
4.56,15049.9164,
4.66,15049.9164,
4.97,15049.9164,
5.3,15049.9164,
5.4,15049.9164,
5.61,15049.9164,
5.86,15049.9164,
6.04,15049.9164,
6.15,15049.9164,
6.25,15049.9164,
6.49,15049.9164,
6.62,15049.9164,
6.72,15049.094,
7.61,15049.094,
7.73,15049.094,
7.85,15049.094,
8.04,15049.094,
8.17,15049.094,
8.28,15049.094,
8.38,15049.094,
8.61,15048.1084,
8.74,15048.1084,
8.87,15048.1084,
8.98,15048.1084,
9.08,15048.1084,
9.2,15048.1084,
9.33,15048.1084,
9.46,15048.1084,
9.57,15048.1084,
9.71,15048.1084,
9.82,15048.1084,
9.97,15048.1084,
10.09,15048.1084,
10.22,15048.1084,
10.36,15048.1084,
10.46,15048.1084,
10.75,15046.8159,
11.01,15046.8159,
11.12,15046.8159,
11.23,15046.8159,
11.45,15046.8159,
11.63,15046.8159,
11.74,15046.8159,
11.9,15046.8159,
12.0,15046.8159,
12.1,15046.8159,
12.21,15046.8159,
12.51,15046.8159,
12.62,15046.8159,
12.72,15046.8159,
12.86,15046.8159,
13.04,15046.8159,
13.32,15046.8159,
13.44,15046.8159,
13.59,15046.8159,
13.69,15046.8159,
13.84,15046.8159,
13.95,15046.8159,
14.06,15046.8159,
14.17,15046.8159,
14.34,15046.8159,
14.48,15046.8159,
14.58,15046.8159,
14.74,15046.8159,
14.84,15046.8159,
14.94,15046.8159,
15.09,15046.8159,
15.21,15046.8159,
15.32,15046.8159,
15.43,15046.8159,
15.59,15046.8159,
15.83,15046.8159,
15.94,15046.8159,
16.08,15046.8159,
16.19,15046.8159,
16.29,15046.8159,
16.4,15046.8159,
16.69,15046.8159,
16.79,15046.8159,
16.96,15046.8159,
17.07,15046.8159,
17.18,15046.8159,
17.33,15046.8159,
17.44,15046.8159,
17.55,15046.8159,
17.7,15046.8159,
17.82,15046.8159,
17.94,15046.8159,
18.11,15046.8159,
18.27,15046.8159,
18.43,15046.8159,
18.53,15046.8159,
18.67,15046.8159,
18.9,15046.8159,
19.07,15046.8159,
19.19,15046.8159,
19.33,15046.8159,
19.45,15046.8159,
19.55,15046.8159,
19.7,15046.8159,
19.96,15046.8159,
20.1,15046.8159,
20.2,15046.8159,
20.3,15046.8159,
20.47,15046.8159,
20.62,15046.8159,
20.74,15046.8159,
20.88,15046.8159,
20.99,15046.8159,
21.13,15046.8159,
21.33,15046.8159,
21.43,15046.8159,
21.56,15046.8159,
21.68,15046.8159,
21.79,15046.8159,
21.98,15046.8159,
22.11,15046.8159,
22.22,15046.8159,
22.32,15046.8159,
22.42,15046.8159,
22.6,15046.8159,
22.7,15046.8159,
22.8,15046.8159,
22.94,15046.8159,
23.06,15046.8159,
23.18,15046.8159,
23.4,15046.8159,
23.51,15046.8159,
23.65,15046.8159,
23.92,15046.8159,
24.09,15046.8159,
24.29,15046.8159,
24.42,15046.8159,
24.59,15046.8159,
24.83,15046.8159,
24.94,15046.8159,
25.04,15046.8159,
25.15,15046.8159,
25.25,15046.8159,
25.41,15046.8159,
25.65,15046.8159,
25.83,15046.8159,
26.04,15046.8159,
26.16,15046.8159,
26.37,15046.8159,
26.55,15046.8159,
26.66,15046.8159,
26.78,15046.8159,
26.89,15046.8159,
27.04,15046.8159,
27.17,15046.8159,
27.3,15046.8159,
27.4,15046.8159,
27.62,15046.8159,
27.83,15046.8159,
27.93,15046.8159,
28.04,15046.8159,
28.14,15046.8159,
28.34,15046.8159,
28.47,15046.8159,
28.61,15046.8159,
28.73,15046.8159,
28.98,15046.8159,
29.19,15046.8159,
29.29,15046.8159,
29.41,15046.8159,
29.63,15046.8159,
29.83,15046.8159,
30.03,15046.8159,
30.19,15046.8159,
30.3,15046.8159,
30.47,15046.8159,
30.57,15046.8159,
30.75,15046.8159,
30.87,15046.8159,
30.98,15046.8159,
31.15,15046.8159,
31.28,15046.8159,
31.38,15046.8159,
31.48,15046.8159,
31.62,15046.8159,
31.72,15046.8159,
31.82,15046.8159,
31.99,15046.8159,
32.1,15046.8159,
32.2,15046.8159,
32.3,15046.8159,
32.49,15046.8159,
32.69,15046.8159,
32.83,15046.8159,
32.94,15046.8159,
33.21,15046.8159,
33.33,15046.8159,
33.51,15046.8159,
33.74,15046.8159,
33.93,15046.8159,
34.06,15046.8159,
34.2,15046.8159,
34.47,15046.8159,
34.61,15046.8159,
34.71,15046.8159,
34.82,15046.8159,
34.92,15046.8159,
35.09,15046.8159,
35.32,15046.8159,
35.44,15046.8159,
35.57,15046.8159,
35.75,15046.8159,
35.88,15046.8159,
36.09,15046.8159,
36.2,15046.8159,
36.34,15046.8159,
36.64,15046.8159,
36.8,15046.8159,
36.96,15046.8159,
37.07,15046.8159,
37.17,15046.8159,
37.27,15046.8159,
37.39,15046.8159,
37.49,15046.8159,
37.65,15046.8159,
37.76,15046.8159,
37.86,15046.8159,
37.97,15046.8159,
38.09,15046.8159,
38.32,15046.8159,
38.44,15046.8159,
38.6,15046.8159,
38.7,15046.8159,
38.8,15046.8159,
38.96,15046.8159,
39.08,15046.8159,
39.19,15046.8159,
39.31,15046.8159,
39.42,15046.8159,
39.52,15046.8159,
39.62,15046.8159,
39.82,15046.8159,
40.03,15046.8159,
40.13,15046.8159,
40.25,15046.8159,
40.4,15046.8159,
40.52,15046.8159,
40.62,15046.8159,
40.81,15046.8159,
40.91,15046.8159,
41.03,15046.8159,
41.13,15046.8159,
41.23,15046.8159,
41.46,15046.8159,
41.57,15046.8159,
41.68,15046.8159,
41.79,15046.8159,
41.92,15046.8159,
42.09,15046.8159,
42.28,15046.8159,
42.45,15046.8159,
42.55,15046.8159,
42.73,15046.8159,
42.84,15046.8159,
43.13,15046.8159,
43.26,15046.8159,
43.36,15046.8159,
43.53,15046.8159,
43.63,15046.8159,
43.74,15046.8159,
43.92,15046.8159,
44.02,15046.8159,
44.14,15046.8159,
44.38,15046.8159,
44.49,15046.8159,
44.61,15046.8159,
44.81,15046.8159,
44.93,15046.8159,
45.06,15046.8159,
45.27,15046.8159,
45.49,15046.8159,
45.62,15046.8159,
45.72,15046.8159,
45.83,15046.8159,
45.94,15046.8159,
46.25,15046.8159,
46.36,15046.8159,
46.48,15046.8159,
46.65,15046.8159,
46.79,15046.8159,
47.08,15046.8159,
47.21,15046.8159,
47.38,15046.8159,
47.49,15046.8159,
47.6,15046.8159,
47.7,15046.8159,
47.88,15046.8159,
48.03,15046.8159,
48.13,15046.8159,
48.33,15046.8159,
48.52,15046.8159,
48.69,15046.8159,
48.79,15046.8159,
48.89,15046.8159,
49.01,15046.8159,
49.11,15046.8159,
49.21,15046.8159,
49.31,15046.8159,
49.48,15046.8159,
49.58,15046.8159,
49.71,15046.8159,
49.81,15046.8159,
49.95,15046.8159,
50.1,15046.8159,
50.26,15046.8159,
50.37,15046.8159,
50.48,15046.8159,
50.63,15046.8159,
50.83,15046.8159,
50.97,15046.8159,
51.1,15046.8159,
51.22,15046.8159,
51.94,15046.8159,
52.22,15046.8159,
52.34,15046.8159,
52.46,15046.8159,
52.6,15046.8159,
52.7,15046.8159,
52.85,15046.8159,
52.95,15046.8159,
53.1,15046.8159,
53.2,15046.8159,
53.36,15046.8159,
53.59,15046.8159,
53.69,15046.8159,
53.89,15046.8159,
54.09,15046.8159,
54.31,15046.8159,
54.46,15046.8159,
54.56,15046.8159,
54.71,15046.8159,
54.85,15046.8159,
54.96,15046.8159,
55.08,15046.8159,
55.19,15046.8159,
55.36,15046.8159,
55.46,15046.8159,
55.57,15046.8159,
55.76,15046.8159,
55.95,15046.8159,
56.1,15046.8159,
56.22,15046.8159,
56.36,15046.8159,
56.59,15046.8159,
56.69,15046.8159,
56.86,15046.8159,
56.97,15046.8159,
57.18,15046.8159,
57.28,15046.8159,
