elapsed_sec,best_cost,improvement_pct
0.11,12014.3534,
0.33,12021.0656,
0.44,12197.9698,
0.54,12680.4925,
0.72,12750.0272,
0.9,12752.1551,
1.0,12419.9033,
1.11,12419.9033,
1.21,12451.5812,
1.31,12470.9776,
1.42,12318.4994,
1.52,12124.5699,
1.64,12210.3774,
1.75,12228.0213,
1.85,12104.4283,
2.09,12107.6942,
2.21,12132.3993,
2.31,12130.6049,
2.42,12184.4265,
2.53,12161.1797,
2.63,12120.7124,
2.75,12119.0297,
2.86,12119.0297,
2.97,12038.4566,
3.07,12150.2279,
3.17,12161.6454,
3.28,12229.4089,
3.39,12254.9374,
3.5,12230.1352,
3.61,12248.0261,
3.71,11946.7826,
3.82,11961.8478,
3.98,11971.528,
4.19,12022.0468,
4.34,12022.0468,
4.44,12007.0157,
4.57,11989.6145,
4.7,11982.952,
4.88,11982.952,
4.99,12028.2108,
5.22,12007.2017,
5.35,12049.7299,
5.57,12043.3928,
5.71,12044.6097,
5.82,12071.4505,
5.92,12067.4511,
6.03,12099.2611,
6.15,12102.1907,
6.35,12087.9476,
6.45,12107.1096,
6.62,12112.0929,
6.79,12134.6478,
6.9,12154.3571,
7.05,12053.6825,
7.24,12053.6825,
7.36,12080.6459,
7.48,12023.1236,
7.58,11945.0811,
7.68,11944.3596,
7.81,11944.3596,
7.91,11942.0334,
8.02,11976.2708,
8.12,11976.2708,
8.24,11994.7164,
8.35,11991.8799,
8.49,11994.6811,
8.6,11990.2043,
8.71,11888.1905,
8.81,11910.8844,
8.92,11853.9729,
9.02,11871.1738,
9.13,11624.6443,
9.23,11624.6443,
9.36,11630.7748,
9.48,11631.1954,
9.59,11627.3793,
9.73,11628.2264,
9.87,11611.6755,
9.97,11595.7856,
10.08,11595.7856,
10.18,11595.2335,
10.29,11604.9758,
10.39,11563.8952,
10.5,11599.7599,
10.62,11615.474,
10.74,11560.1201,
10.84,11560.1201,
10.94,11572.36,
11.11,11572.36,
11.24,11596.7866,
11.39,11547.0132,
11.52,11549.023,
11.64,11559.4226,
11.9,11576.9544,
12.0,11571.128,
12.1,11691.9878,
12.33,11691.9878,
12.43,11697.6933,
12.54,11717.4812,
12.67,11657.8679,
12.77,11657.3741,
12.88,11657.3741,
13.01,11620.8722,
13.15,11621.1693,
13.25,11521.105,
13.41,11521.105,
13.51,11529.9087,
13.63,11525.3705,
13.73,11537.2175,
13.84,11542.8551,
13.94,11546.8128,
14.05,11543.7233,
14.24,11526.9408,
14.35,11529.3132,
14.53,11531.7878,
14.76,11531.7878,
14.87,11525.4819,
14.97,11529.7078,
15.12,11541.2789,
15.24,11539.181,
15.39,11544.2904,
15.56,11546.269,
15.78,11542.3344,
15.88,11534.3903,
16.0,11534.3903,
16.13,11529.3168,
16.23,11529.3168,
16.35,11529.3168,
16.46,11525.4317,
16.56,11536.9708,
16.69,11536.9708,
16.79,11536.3182,
16.9,11536.3182,
17.0,11519.3613,
17.17,11521.5612,
17.41,11522.5991,
17.51,11509.9992,
17.63,11510.9489,
17.86,11506.7107,
18.09,11514.1867,
18.2,11514.1867,
18.3,11502.6978,
18.41,11502.6978,
18.51,11488.9873,
18.61,11488.9873,
18.72,11488.9992,
18.82,11488.9992,
19.03,11490.609,
19.16,11466.4781,
19.27,11466.8452,
19.48,11466.8452,
19.58,11448.8718,
19.72,11453.8283,
19.82,11453.8283,
19.95,11453.8283,
20.06,11456.9593,
20.17,11456.9593,
20.32,11456.9593,
20.52,11464.9735,
20.63,11446.9494,
20.73,11443.9874,
20.83,11444.9383,
21.0,11418.398,
21.1,11414.6898,
21.21,11414.6898,
21.33,11419.2025,
21.53,11419.2025,
21.64,11422.9015,
21.79,11422.9015,
21.9,11419.7986,
22.04,11414.59,
22.14,11420.1483,
22.24,11420.1483,
22.36,11419.4957,
22.56,11420.4082,
22.68,11414.6615,
22.78,11414.6615,
22.89,11420.4102,
22.99,11426.552,
23.11,11426.552,
23.21,11431.5291,
23.33,11420.1403,
23.43,11416.6269,
23.6,11416.2284,
23.7,11427.3709,
23.94,11426.4253,
24.04,11426.4253,
24.22,11423.203,
24.32,11423.2036,
24.43,11418.5418,
24.55,11418.5418,
24.75,11418.5418,
24.86,11418.5418,
24.97,11417.434,
25.08,11417.434,
25.21,11415.2941,
25.31,11418.1014,
25.45,11423.8891,
25.55,11423.2013,
25.65,11423.8117,
25.84,11423.8117,
25.97,11423.8117,
26.13,11423.8117,
26.27,11420.4339,
26.41,11424.5055,
26.51,11415.8195,
26.69,11415.8195,
26.8,11415.8195,
26.95,11415.8195,
27.05,11415.8195,
27.17,11415.358,
27.27,11415.358,
27.38,11415.358,
27.48,11415.1811,
27.59,11414.3722,
27.69,11414.3722,
27.81,11414.3722,
27.92,11415.0248,
28.02,11414.9028,
28.17,11414.9028,
28.27,11414.9028,
28.38,11414.9028,
28.48,11414.9028,
28.6,11414.9028,
60.53,11397.2416,
