elapsed_sec,best_cost,improvement_pct
34.55,14180.5592,
34.67,14228.863,
34.79,14176.8352,
34.91,14176.8352,
35.01,14176.8352,
35.11,14172.259,
35.22,14170.9566,
35.33,14170.9566,
35.43,14197.5821,
35.55,14197.5821,
35.69,14197.5821,
35.79,14243.2005,
35.9,14247.4704,
36.01,14231.936,
36.11,14275.2825,
36.21,14277.0452,
36.32,14277.0452,
36.44,14263.806,
36.54,14236.9482,
36.64,14270.3519,
36.76,14290.0736,
36.87,14250.2675,
36.97,14240.9235,
37.11,14243.0448,
37.22,14241.7424,
37.32,14227.7665,
37.43,14227.7665,
37.53,14227.7665,
37.63,14227.7665,
37.75,14250.0624,
37.85,14250.0624,
37.95,14250.0624,
38.05,14251.8981,
38.16,14251.8981,
38.26,14250.6221,
38.36,14250.6221,
38.51,14251.9245,
38.62,14251.9245,
38.77,14254.6626,
38.9,14257.8651,
39.02,14257.8651,
39.12,14311.4241,
39.22,14309.2176,
39.34,14310.52,
39.46,14310.52,
39.56,14310.52,
39.66,14292.4297,
39.76,14292.4297,
39.87,14292.4297,
39.99,14285.8855,
40.09,14274.073,
40.21,14274.073,
40.32,14274.073,
40.42,14300.9308,
40.54,14300.9308,
40.65,14305.4994,
40.77,14305.4994,
40.89,14305.4994,
40.99,14308.7611,
41.1,14308.7611,
41.21,14305.5036,
41.32,14305.5036,
41.44,14302.3011,
41.54,14302.3011,
41.66,14302.3011,
41.76,14302.3011,
41.89,14302.3011,
42.02,14302.3011,
42.12,14300.1798,
42.25,14300.1798,
42.36,14293.7755,
42.49,14305.588,
42.59,14292.9766,
42.69,14292.9766,
42.79,14281.1641,
42.91,14265.4995,
43.01,14265.4995,
43.12,14265.4995,
43.25,14272.6492,
43.35,14261.2828,
43.45,14261.2828,
43.57,14261.2828,
43.68,14261.2828,
43.78,14261.2828,
43.88,14261.2828,
43.99,14261.4872,
44.09,14266.3094,
44.2,14266.3094,
44.3,14266.3094,
44.41,14266.3094,
44.52,14266.3094,
44.63,14278.1219,
44.74,14251.2641,
44.85,14248.9601,
44.95,14248.9601,
45.07,14248.9601,
45.17,14199.966,
45.27,14199.966,
45.39,14203.2277,
45.53,14203.2277,
45.64,14203.2277,
45.75,14203.2277,
45.86,14203.2277,
45.98,14203.2277,
46.08,14203.2277,
46.2,14203.2277,
46.31,14193.6826,
46.44,14193.6826,
46.54,14193.6826,
46.69,14193.6826,
46.8,14193.6826,
46.9,14193.6826,
47.0,14193.6826,
47.11,14189.8154,
47.21,14189.8154,
47.32,14189.8154,
47.44,14189.8154,
47.54,14189.8154,
47.65,14189.8154,
47.75,14189.8154,
47.86,14189.8154,
47.96,14191.1178,
48.07,14191.1178,
48.19,14191.1178,
48.29,14189.8154,
48.39,14189.8154,
48.49,14189.8154,
48.65,14189.8154,
48.77,14186.3885,
48.87,14186.3885,
48.98,14186.3885,
49.1,14186.3885,
49.21,14186.3885,
49.31,14186.3885,
49.41,14186.3885,
49.52,14183.3122,
49.62,14183.3122,
49.72,14183.3122,
49.83,14183.3122,
49.93,14183.3122,
50.03,14180.0505,
50.13,14180.0505,
50.25,14180.0505,
50.39,14180.0505,
50.5,14180.0505,
50.6,14180.0505,
50.72,14180.0505,
50.82,14180.0505,
50.96,14180.0505,
51.08,14180.0505,
51.18,14180.0505,
51.29,14180.0505,
51.42,14180.0505,
51.55,14180.0505,
51.65,14180.0505,
51.76,14180.0505,
51.9,14180.0505,
52.0,14180.0505,
52.11,14180.0505,
52.21,14180.0505,
52.31,14180.0505,
52.43,14180.0505,
52.53,14180.0505,
52.63,14178.4191,
52.74,14178.4191,
52.85,14178.4191,
52.97,14178.4191,
53.07,14178.4191,
53.17,14178.4191,
53.29,14178.4191,
53.4,14178.4191,
53.51,14178.4191,
53.63,14178.4191,
53.73,14178.4191,
53.83,14178.4191,
53.94,14178.4191,
54.04,14178.4191,
54.16,14178.4191,
54.26,14178.4191,
54.37,14178.4191,
54.47,14178.4191,
54.57,14178.4191,
54.68,14178.4191,
54.8,14178.4191,
54.9,14178.4191,
55.03,14178.4191,
55.14,14178.4191,
55.25,14178.4191,
55.36,14178.4191,
55.48,14178.4191,
55.61,14178.4191,
55.71,14178.4191,
55.81,14178.4191,
55.91,14178.4191,
56.01,14178.4191,
56.13,14178.4191,
56.24,14178.4191,
56.36,14178.4191,
56.46,14178.4191,
56.57,14178.4191,
56.67,14178.4191,
56.78,14178.4191,
56.88,14178.4191,
57.01,14178.4191,
57.13,14178.4191,
57.25,14178.4191,
57.36,14178.4191,
57.46,14178.4191,
57.56,14178.4191,
57.68,14178.4191,
57.79,14178.4191,
57.9,14178.4191,
58.0,14178.4191,
58.11,14178.4191,
58.23,14178.4191,
58.34,14178.4191,
58.47,14178.4191,
58.58,14178.4191,
58.69,14178.4191,
58.81,14178.4191,
58.91,14178.4191,
59.03,14178.4191,
59.13,14178.4191,
59.24,14178.4191,
59.35,14178.4191,
59.47,14178.4191,
59.57,14178.4191,
59.67,14178.4191,
59.77,14178.4191,
59.87,14178.4191,
59.98,14178.4191,
