elapsed_sec,best_cost,improvement_pct
0.14,14354.4482,
0.27,14335.7283,
0.44,14061.1994,
0.58,13998.8598,
0.78,13995.9536,
0.95,13994.8387,
1.28,13989.5504,
1.38,13988.4587,
1.51,13988.4587,
1.62,13988.4587,
1.74,14341.6121,
1.85,14338.263,
1.96,14338.263,
2.07,14432.3709,
2.17,14489.2622,
2.28,14052.9431,
2.38,14047.6908,
2.5,14089.9522,
2.6,14234.1233,
2.72,14248.5459,
2.86,14248.5459,
2.96,14241.469,
3.08,14200.0557,
3.18,14209.6646,
3.29,14212.3365,
3.39,14246.4659,
3.49,14258.4968,
3.6,14250.3815,
3.7,14242.2661,
3.8,14237.2319,
3.9,14246.2862,
4.01,14140.5673,
4.12,14178.7083,
4.26,14178.7083,
4.41,14199.2655,
4.51,14206.6655,
4.65,14614.1287,
4.75,14614.1287,
4.85,14652.1163,
4.96,15021.0836,
5.06,14321.912,
5.19,14321.912,
5.29,14337.8521,
5.4,14407.0533,
5.51,14374.7337,
5.63,14363.3876,
5.77,14363.3876,
5.93,14358.6753,
6.03,14339.6301,
6.14,14320.3992,
6.26,14259.269,
6.36,14302.3066,
6.49,14302.3066,
6.59,14421.2303,
6.71,14416.0599,
6.83,14416.0599,
6.93,14431.0024,
7.06,14408.5721,
7.17,14408.5721,
7.27,14363.1783,
7.37,14359.6418,
7.48,14356.8647,
7.58,14359.5738,
7.68,14356.3974,
7.79,14356.3974,
7.9,14356.9452,
8.0,14410.3275,
8.12,14410.3275,
8.22,14322.4945,
8.32,14313.0521,
8.44,14313.0521,
8.55,14318.5979,
8.65,14322.3951,
8.78,14322.3951,
8.89,14279.793,
9.0,14265.5784,
9.1,14265.5784,
9.2,14293.5437,
9.3,14293.5437,
9.41,14306.7374,
9.54,14315.6677,
9.65,14311.2869,
9.75,14385.2911,
9.86,14385.2911,
9.98,14385.2911,
10.12,14375.986,
10.22,14372.8175,
10.33,14362.5751,
10.45,14366.3351,
10.55,14364.3804,
10.7,14364.3804,
10.8,14369.9202,
10.9,14369.9202,
11.01,14369.9202,
11.15,14365.4105,
11.27,14365.4105,
11.37,14372.0384,
11.5,14336.3833,
11.6,14362.5881,
11.71,14367.4377,
11.84,14367.4377,
11.94,14367.4377,
12.04,14362.5881,
12.14,14355.0421,
12.26,14378.5134,
12.39,14378.4502,
12.49,14378.4502,
12.6,14378.4502,
12.7,14381.7119,
12.8,14315.6739,
12.91,14322.4705,
13.02,14268.6948,
13.13,14216.053,
13.23,14200.093,
13.34,14210.995,
13.45,14210.995,
13.56,14210.995,
13.66,14210.995,
13.77,14252.6028,
13.87,14253.3914,
13.97,14293.4428,
14.11,14295.1231,
14.21,14311.8681,
14.31,14651.3193,
14.43,14650.0166,
14.55,14646.488,
14.65,14646.488,
14.76,14263.6339,
14.88,14238.4073,
15.01,14238.4073,
15.14,14237.518,
15.25,14237.518,
15.37,14237.518,
15.52,14237.518,
15.65,14227.8234,
15.78,14227.8234,
15.88,14235.5208,
15.98,14322.3831,
16.1,14322.3831,
16.2,14322.3831,
16.32,14318.147,
16.42,14288.5317,
16.54,14288.5317,
16.65,14285.0031,
16.76,14286.3977,
16.94,14281.5046,
17.08,14281.5046,
17.19,14378.3689,
17.29,14378.3689,
17.39,14375.5801,
17.49,14088.2694,
17.59,14095.5882,
17.73,14095.5882,
17.84,14092.8238,
17.94,14092.8238,
18.05,14092.8238,
18.17,14082.9962,
18.29,14055.6509,
18.4,14058.9224,
18.57,14058.9224,
18.67,14065.3719,
18.78,14069.4004,
18.91,14071.7626,
19.05,14060.2684,
19.15,14060.2684,
19.26,14060.2684,
19.36,14059.3356,
19.46,14056.4549,
19.58,14052.3649,
