elapsed_sec,best_cost,improvement_pct
0.11,15300.1964,
0.24,15534.3173,
0.36,15650.5966,
0.46,15645.7648,
0.56,15643.2978,
0.69,15643.2978,
0.79,15643.2978,
0.9,15647.8001,
1.06,15647.8001,
1.16,15644.72,
1.27,15653.6053,
1.37,15642.68,
1.48,15413.0722,
1.6,15413.0722,
1.7,15332.0505,
1.83,15393.1646,
1.93,15393.1646,
2.04,15411.9568,
2.14,15411.9568,
2.26,15387.9027,
2.37,15387.9027,
2.5,15387.9027,
2.62,15387.9027,
2.75,15387.9027,
2.85,15403.7111,
2.96,15431.7534,
3.08,15423.599,
3.18,15426.008,
3.28,15410.1996,
3.4,15427.066,
3.5,15426.3081,
3.6,15427.48,
3.71,15416.5102,
3.82,15437.4578,
3.94,15431.7124,
4.04,15422.6814,
4.19,15422.6814,
4.29,15422.6814,
4.39,15422.6814,
4.5,15424.3129,
4.61,15425.8971,
4.73,15427.49,
4.84,15425.9296,
4.96,15360.9847,
5.06,15362.5451,
5.16,15358.1225,
5.27,15358.1225,
5.38,15358.1225,
5.48,15358.1225,
5.58,15358.1225,
5.68,15358.1225,
5.78,15297.8891,
5.88,15300.2981,
5.98,15300.2981,
6.1,15291.0974,
6.2,15288.9878,
6.32,15288.9878,
6.42,15288.4342,
6.52,15281.0605,
6.62,15276.9287,
6.72,15230.698,
6.82,15218.5148,
6.93,15218.5148,
7.04,15218.5148,
7.14,15190.3034,
7.26,15190.3034,
7.38,15190.3034,
7.48,15190.3034,
7.6,15182.1035,
7.71,15182.1035,
7.82,15182.1035,
7.95,15182.1035,
8.06,15182.1035,
8.16,15182.0193,
8.26,15182.0193,
8.38,15182.0193,
8.48,15182.0193,
8.58,15182.0193,
8.69,15182.0193,
8.79,15182.0193,
8.9,15182.0193,
9.01,15182.0193,
9.12,15182.1035,
9.23,15182.1035,
9.33,15182.1035,
9.46,15182.1035,
9.57,15182.1035,
9.69,15182.1035,
9.79,15182.1035,
9.9,15182.1035,
10.0,15182.1035,
10.11,15182.1035,
10.23,15182.1035,
10.33,15182.1035,
10.45,15182.1035,
10.56,15182.1035,
10.66,15182.1035,
10.76,15182.1035,
10.86,15182.1035,
10.96,15182.1035,
11.07,14953.642,
11.18,14953.642,
11.29,14953.642,
11.39,14953.642,
11.5,14953.642,
11.6,14953.642,
11.71,14953.642,
11.81,14953.642,
11.92,14953.642,
12.03,14953.642,
12.13,14953.642,
12.23,14953.642,
12.33,14953.642,
12.45,14953.642,
12.55,14953.642,
12.65,14953.642,
12.77,14953.642,
12.88,14953.642,
12.99,14953.642,
13.09,14953.642,
13.21,14953.642,
13.31,14953.642,
13.42,14953.642,
13.52,14953.642,
13.64,14953.642,
13.74,14953.642,
13.85,14953.642,
13.95,14953.642,
14.05,14953.642,
14.16,14953.642,
14.26,14953.642,
14.37,14953.642,
14.47,14953.642,
14.57,14953.642,
14.67,14953.642,
14.77,14953.642,
14.87,14948.5893,
14.97,14948.5893,
15.17,15694.7392,
15.28,15694.7392,
15.38,15696.7459,
15.48,15696.7459,
15.59,15681.0383,
15.7,15690.8125,
15.81,15665.8736,
15.95,15720.6751,
16.06,15417.1555,
16.2,15414.2311,
16.3,15402.1493,
16.41,15402.1493,
16.53,15401.4708,
16.64,15386.8727,
16.76,15379.8388,
16.86,15386.0902,
17.01,15386.0902,
17.13,15386.0902,
17.23,15386.0902,
17.34,15388.9189,
17.45,15388.9189,
17.58,15407.3394,
17.68,15408.5991,
17.8,15441.961,
17.9,15441.961,
18.03,15441.2825,
18.13,15483.0403,
18.23,15483.0403,
18.36,15495.011,
18.46,15480.611,
18.61,15480.611,
18.76,15480.611,
18.87,15483.0737,
18.97,15499.7509,
19.07,15444.6459,
19.19,15444.6459,
19.29,15442.8127,
19.39,15432.4653,
19.51,15431.7942,
19.62,15401.238,
19.73,15398.9863,
19.84,15400.7683,
19.96,15392.6139,
20.1,15392.6139,
20.21,15392.6139,
20.32,15390.3622,
20.43,15387.9819,
20.56,15388.4516,
20.66,15388.4516,
20.76,15387.9819,
20.87,15384.0558,
20.97,15384.0558,
21.07,15384.0558,
21.18,15344.9001,
21.34,15344.9001,
21.44,15344.9001,
21.55,15282.7754,
21.65,15282.7754,
21.76,15277.2772,
21.86,15277.2772,
21.98,15277.2772,
22.1,15277.2772,
22.2,15277.2772,
22.31,15277.2772,
22.42,15277.2772,
22.52,15277.2772,
22.64,15277.2772,
22.74,15277.2772,
22.84,15277.2772,
22.95,15072.5623,
23.05,15072.5623,
23.19,15072.5623,
23.31,15072.5623,
23.43,15072.5623,
23.53,15034.0563,
23.63,15034.0563,
23.75,15034.0563,
23.86,15034.0563,
23.96,15034.0563,
24.06,15034.0563,
24.18,15034.0563,
24.29,15034.0563,
24.39,15034.0563,
24.5,15034.0563,
24.6,15034.0563,
24.7,15034.0563,
24.8,15034.0563,
24.9,15022.1226,
25.0,15022.1226,
25.1,15022.1226,
25.2,15022.1226,
25.32,15022.1226,
25.42,15022.1226,
25.53,15022.1226,
25.64,15022.1226,
25.74,15022.1226,
25.84,15022.1226,
25.95,15022.1226,
26.06,15022.1226,
26.2,15022.1226,
26.31,15022.1226,
