elapsed_sec,best_cost,improvement_pct
0.14,10735.1959,
0.26,10718.1907,
0.39,10708.7191,
0.57,10698.4147,
0.72,10657.979,
0.88,10661.4971,
1.04,10662.9757,
1.21,10664.8531,
1.38,10665.2381,
1.55,10587.9924,
1.72,10590.8386,
1.89,10590.8386,
2.05,10590.8386,
2.23,10591.1887,
2.4,10592.0058,
2.57,10589.2911,
2.74,10589.2911,
2.91,10589.2911,
3.07,10589.2911,
3.23,10589.2911,
3.4,10589.2911,
3.56,10606.1392,
3.73,10608.52,
3.9,10589.2911,
4.06,10589.2911,
4.23,10589.2911,
4.41,10589.2911,
4.53,10581.367,
4.71,10581.367,
4.88,10581.367,
5.05,10581.367,
5.23,10581.367,
5.4,10598.2151,
5.57,10600.5959,
5.73,10581.367,
5.9,10581.367,
6.06,10581.367,
6.23,10581.367,
6.39,10581.367,
6.55,10581.367,
6.73,10581.367,
6.9,10581.367,
7.07,10581.367,
7.23,10598.7627,
7.4,10598.7627,
7.56,10599.0484,
7.73,10599.1128,
7.89,10599.9299,
8.06,10601.141,
8.23,10591.2302,
8.39,10592.7088,
8.56,10594.5862,
8.77,10595.9165,
8.88,10589.2911,
9.05,10589.2911,
9.22,10606.1392,
9.4,10589.2911,
9.57,10591.1243,
9.74,10591.1887,
9.9,10592.0058,
10.08,10583.3061,
10.24,10584.7847,
10.41,10586.6621,
10.58,10587.9924,
10.74,10593.2169,
10.9,10590.8386,
11.06,10590.8386,
11.22,10593.5848,
11.39,10591.1243,
11.55,10591.1887,
11.71,10592.0058,
11.87,10583.3061,
12.04,10581.367,
12.21,10581.367,
12.4,10581.367,
12.56,10581.367,
12.73,10581.367,
12.91,10598.2151,
13.04,10590.8386,
13.21,10593.5848,
13.37,10591.1243,
13.54,10589.2911,
13.7,10589.2911,
13.88,10589.2911,
14.06,10589.2911,
14.23,10589.2911,
14.4,10589.2911,
14.57,10589.2911,
14.73,10606.1392,
14.9,10589.2911,
15.06,10589.2911,
15.24,10589.2911,
15.4,10589.2911,
15.58,10589.2911,
15.75,10583.3061,
15.94,10584.7847,
16.1,10586.6621,
16.27,10587.9924,
16.44,10590.8386,
16.61,10590.8386,
16.77,10592.0058,
16.94,10591.1243,
17.12,10593.2169,
17.28,10591.1887,
17.45,10593.5848,
17.63,10583.3061,
17.79,10584.7847,
17.97,10586.6621,
18.14,10587.9924,
18.3,10589.2911,
18.47,10589.2911,
18.64,10589.2911,
18.81,10589.2911,
18.98,10589.2911,
19.16,10589.2911,
19.32,10589.2911,
19.5,10589.2911,
19.67,10589.2911,
19.84,10589.2911,
20.01,10589.2911,
20.18,10590.8386,
20.35,10592.0058,
20.53,10591.1243,
20.7,10593.2169,
20.87,10591.1887,
