elapsed_sec,best_cost,improvement_pct
0.1,3617.0623,
0.2,3617.0623,
0.3,3617.0623,
0.4,3617.0623,
0.5,3617.0623,
0.6,3617.0623,
0.7,3617.0623,
0.8,3617.0623,
0.9,3617.0623,
1.0,3617.0623,
1.1,3617.0623,
1.2,3617.0623,
1.3,3617.0623,
1.4,3617.0623,
1.5,3617.0623,
1.6,3617.0623,
1.7,3617.0623,
1.8,3617.0623,
1.9,3617.0623,
2.0,3617.0623,
2.1,3617.0623,
2.2,3617.0623,
2.3,3617.0623,
2.4,3617.0623,
2.5,3617.0623,
2.6,3617.0623,
2.7,3617.0623,
2.8,3617.0623,
2.9,3617.0623,
3.0,3617.0623,
3.11,3617.0623,
3.21,3617.0623,
3.31,3617.0623,
3.41,3617.0623,
3.51,3617.0623,
3.61,3617.0623,
3.71,3617.0623,
3.81,3617.0623,
3.91,3617.0623,
4.01,3617.0623,
4.11,3617.0623,
4.21,3617.0623,
4.31,3617.0623,
4.41,3617.0623,
4.51,3617.0623,
4.61,3617.0623,
4.71,3617.0623,
4.81,3617.0623,
4.91,3617.0623,
5.01,3617.0623,
5.11,3617.0623,
5.21,3617.0623,
5.31,3617.0623,
5.41,3617.0623,
5.51,3617.0623,
5.61,3617.0623,
5.71,3617.0623,
5.81,3617.0623,
5.91,3617.0623,
6.01,3617.0623,
6.11,3617.0623,
6.21,3617.0623,
6.31,3617.0623,
6.41,3617.0623,
6.51,3617.0623,
6.61,3617.0623,
6.71,3617.0623,
6.81,3617.0623,
6.91,3617.0623,
7.01,3617.0623,
7.11,3617.0623,
7.21,3617.0623,
7.31,3617.0623,
7.41,3617.0623,
7.51,3617.0623,
7.61,3617.0623,
7.71,3617.0623,
7.81,3617.0623,
7.91,3617.0623,
8.01,3617.0623,
8.11,3617.0623,
8.21,3617.0623,
8.31,3617.0623,
8.41,3617.0623,
8.51,3617.0623,
8.61,3617.0623,
8.71,3617.0623,
8.81,3617.0623,
8.91,3617.0623,
9.01,3617.0623,
9.11,3617.0623,
9.21,3617.0623,
9.31,3617.0623,
9.41,3617.0623,
9.51,3617.0623,
9.61,3617.0623,
9.71,3617.0623,
9.81,3617.0623,
9.91,3617.0623,
10.01,3617.0623,
10.11,3617.0623,
10.21,3617.0623,
10.32,3617.0623,
10.42,3617.0623,
10.52,3617.0623,
10.62,3617.0623,
10.72,3617.0623,
10.82,3617.0623,
10.92,3617.0623,
11.02,3617.0623,
11.12,3617.0623,
11.22,3617.0623,
11.32,3617.0623,
11.42,3617.0623,
11.52,3617.0623,
11.62,3617.0623,
11.72,3617.0623,
11.82,3617.0623,
11.92,3617.0623,
12.02,3617.0623,
12.12,3617.0623,
12.22,3617.0623,
12.32,3617.0623,
12.42,3617.0623,
12.52,3617.0623,
12.62,3617.0623,
12.72,3617.0623,
12.82,3617.0623,
12.92,3617.0623,
13.02,3617.0623,
13.12,3617.0623,
13.22,3617.0623,
13.32,3617.0623,
13.42,3617.0623,
13.52,3617.0623,
13.62,3617.0623,
13.72,3617.0623,
13.82,3617.0623,
13.92,3617.0623,
14.02,3617.0623,
14.12,3617.0623,
14.22,3617.0623,
14.32,3617.0623,
14.42,3617.0623,
14.52,3617.0623,
14.62,3617.0623,
14.72,3617.0623,
14.82,3617.0623,
14.92,3617.0623,
15.02,3617.0623,
15.12,3617.0623,
15.22,3617.0623,
15.32,3617.0623,
15.43,3617.0623,
15.53,3617.0623,
15.63,3617.0623,
15.73,3617.0623,
15.83,3617.0623,
15.93,3617.0623,
16.03,3617.0623,
16.13,3617.0623,
16.23,3617.0623,
16.33,3617.0623,
16.43,3617.0623,
16.53,3617.0623,
16.63,3617.0623,
16.73,3617.0623,
16.83,3617.0623,
16.93,3617.0623,
17.03,3617.0623,
17.13,3617.0623,
17.23,3617.0623,
17.33,3617.0623,
17.43,3617.0623,
17.53,3617.0623,
17.63,3617.0623,
17.73,3617.0623,
17.83,3617.0623,
17.93,3617.0623,
18.03,3617.0623,
18.13,3617.0623,
18.23,3617.0623,
18.33,3617.0623,
18.43,3617.0623,
18.53,3617.0623,
18.63,3617.0623,
18.73,3617.0623,
18.84,3617.0623,
18.94,3617.0623,
19.04,3617.0623,
19.14,3617.0623,
19.24,3617.0623,
19.34,3617.0623,
19.44,3617.0623,
19.54,3617.0623,
19.64,3617.0623,
19.74,3617.0623,
19.84,3617.0623,
19.94,3617.0623,
20.04,3617.0623,
20.14,3617.0623,
20.24,3617.0623,
20.34,3617.0623,
20.44,3617.0623,
20.54,3617.0623,
20.64,3617.0623,
20.74,3617.0623,
20.84,3617.0623,
20.94,3617.0623,
21.04,3617.0623,
21.14,3617.0623,
21.24,3617.0623,
21.34,3617.0623,
21.44,3617.0623,
21.54,3617.0623,
21.64,3617.0623,
21.74,3617.0623,
21.84,3617.0623,
21.94,3617.0623,
22.04,3617.0623,
22.14,3617.0623,
22.24,3617.0623,
22.34,3617.0623,
22.44,3617.0623,
22.54,3617.0623,
22.64,3617.0623,
22.74,3617.0623,
22.84,3617.0623,
22.94,3617.0623,
23.04,3617.0623,
23.14,3617.0623,
23.24,3617.0623,
23.34,3617.0623,
23.44,3617.0623,
23.54,3617.0623,
23.64,3617.0623,
23.74,3617.0623,
23.84,3617.0623,
23.94,3617.0623,
24.04,3617.0623,
24.14,3617.0623,
24.24,3617.0623,
24.35,3617.0623,
24.45,3617.0623,
24.55,3617.0623,
24.65,3617.0623,
24.75,3617.0623,
24.85,3617.0623,
24.95,3617.0623,
25.05,3617.0623,
25.15,3617.0623,
25.25,3617.0623,
25.35,3617.0623,
25.45,3617.0623,
25.55,3617.0623,
25.65,3617.0623,
25.75,3617.0623,
25.85,3617.0623,
25.95,3617.0623,
26.05,3617.0623,
26.15,3617.0623,
26.25,3617.0623,
26.35,3617.0623,
26.45,3617.0623,
26.55,3617.0623,
26.65,3617.0623,
26.75,3617.0623,
26.85,3617.0623,
26.95,3617.0623,
27.05,3617.0623,
27.15,3617.0623,
27.25,3617.0623,
27.35,3617.0623,
27.45,3617.0623,
27.55,3617.0623,
27.65,3617.0623,
27.75,3617.0623,
27.85,3617.0623,
27.95,3617.0623,
28.05,3617.0623,
28.15,3617.0623,
28.25,3617.0623,
28.35,3617.0623,
28.45,3617.0623,
28.55,3617.0623,
28.65,3617.0623,
28.75,3617.0623,
28.85,3617.0623,
28.95,3617.0623,
29.05,3617.0623,
29.15,3617.0623,
29.25,3617.0623,
29.35,3617.0623,
29.45,3617.0623,
29.55,3617.0623,
29.65,3617.0623,
29.75,3617.0623,
29.85,3617.0623,
29.95,3617.0623,
30.05,3617.0623,
30.15,3617.0623,
30.25,3617.0623,
30.36,3617.0623,
30.46,3617.0623,
30.56,3617.0623,
30.66,3617.0623,
30.76,3617.0623,
30.86,3617.0623,
30.96,3617.0623,
31.06,3617.0623,
31.16,3617.0623,
31.26,3617.0623,
31.36,3617.0623,
31.46,3617.0623,
31.56,3617.0623,
31.66,3617.0623,
31.76,3617.0623,
31.86,3617.0623,
31.96,3617.0623,
32.06,3617.0623,
32.16,3617.0623,
32.26,3617.0623,
32.36,3617.0623,
32.46,3617.0623,
32.56,3617.0623,
32.66,3617.0623,
32.76,3617.0623,
32.86,3617.0623,
32.96,3617.0623,
