elapsed_sec,best_cost,improvement_pct
32.51,3625.1587,
32.61,3655.1031,
32.71,3802.8454,
32.81,3740.9544,
32.91,3746.4544,
33.01,3500.2603,
33.11,3505.6834,
33.21,3973.0273,
33.31,3908.8392,
33.41,3965.1054,
33.51,4130.1001,
33.61,3600.586,
33.71,3630.6882,
33.81,3650.083,
33.92,3963.3304,
34.02,3799.5653,
34.12,3855.7221,
34.22,3891.5701,
34.32,4151.9764,
34.42,4470.7588,
34.52,4399.2814,
34.62,4086.6003,
34.72,3880.1667,
34.82,3843.0757,
34.92,3845.432,
35.02,3619.9994,
35.12,3812.2419,
35.22,3866.2962,
35.32,4210.9988,
35.42,4354.8087,
35.52,3875.8219,
35.62,3548.2007,
35.72,3698.0956,
35.83,3765.5868,
35.93,3515.9415,
36.03,3660.6203,
36.13,3575.1613,
36.23,3631.097,
36.33,3732.842,
36.43,3706.7581,
36.53,3558.3171,
36.63,3781.3035,
36.73,3684.0482,
36.83,3750.4031,
36.93,3694.6996,
37.03,3694.2241,
37.13,3791.01,
37.24,4071.6305,
37.34,3808.7704,
37.44,3815.6135,
37.54,3708.0107,
37.64,3783.317,
37.74,3716.5298,
37.84,3960.306,
37.94,3740.2277,
38.04,3662.3712,
38.14,3662.3712,
38.25,3641.3745,
38.35,3858.5906,
38.45,3676.6161,
38.55,3769.7572,
38.65,3810.2263,
38.75,3802.8184,
38.85,3918.2139,
38.95,3771.55,
39.05,3780.8716,
39.15,3783.6293,
39.25,3546.6167,
39.35,3612.8821,
39.45,3540.2611,
39.55,3568.1473,
39.65,3582.8094,
39.76,3548.395,
39.86,3540.4408,
39.96,3597.2933,
40.06,3543.7258,
40.16,3539.3538,
40.26,3531.7058,
40.36,3532.4965,
40.46,3543.1908,
40.56,3618.7296,
40.66,3538.2168,
40.76,3510.2901,
40.86,3491.6605,
40.96,3596.0038,
41.06,3538.1174,
41.16,3497.0255,
41.26,3551.74,
41.36,3496.8899,
41.46,3584.6649,
41.56,3477.4018,
41.66,3451.6864,
41.76,3446.744,
41.86,3490.295,
41.96,3590.6342,
42.07,3494.9279,
42.17,3486.5936,
42.27,3545.4862,
42.37,3481.5815,
42.47,3491.2544,
42.57,3491.4853,
42.67,3537.1333,
42.77,3496.9656,
42.87,3510.9468,
42.97,3552.0433,
43.07,3485.1842,
43.17,3507.0047,
43.27,3501.1806,
43.37,3501.3479,
43.47,3484.393,
43.57,3484.8087,
43.67,3504.392,
43.77,3437.3042,
43.87,3478.1581,
43.97,3448.0996,
44.07,3502.1436,
44.17,3496.8602,
44.27,3533.3723,
44.37,3471.2302,
44.47,3452.0161,
44.58,3539.4268,
44.68,3530.2852,
44.78,3486.3187,
44.88,3550.5748,
44.98,3539.3891,
45.08,3533.8581,
45.18,3555.1249,
45.28,3532.053,
45.38,3457.4223,
45.48,3424.3774,
45.58,3390.6721,
45.68,3397.2961,
45.79,3402.7269,
45.89,3390.6721,
45.99,3403.5421,
46.09,3426.8022,
46.19,3423.2585,
46.29,3395.4491,
46.39,3392.6647,
46.49,3384.0406,
46.59,3380.3755,
46.7,3383.7753,
46.81,3372.6983,
46.91,3434.0419,
47.01,3476.4553,
47.11,3440.7801,
47.21,3445.2946,
47.31,3471.6406,
47.41,3498.61,
47.52,3443.171,
47.62,3443.171,
47.72,3443.171,
47.82,3450.2772,
47.92,3443.2051,
48.02,3445.1801,
48.12,3522.8807,
48.22,3464.4729,
48.32,3372.6983,
48.44,3372.6983,
48.54,3372.6983,
48.64,3419.6361,
48.74,3372.6983,
48.84,3372.6983,
48.94,3372.6983,
49.04,3372.6983,
49.14,3351.0478,
49.24,3351.0478,
49.34,3351.0478,
49.44,3351.0478,
49.54,3413.021,
49.64,3474.6223,
49.74,3427.6845,
49.84,3438.3916,
49.94,3496.9811,
50.04,3475.526,
50.14,3373.8877,
50.24,3403.5372,
50.34,3411.3882,
50.44,3368.5511,
50.55,3346.1842,
50.65,3346.1133,
50.75,3346.1133,
50.85,3346.1133,
50.95,3367.7638,
51.05,3382.2434,
51.15,3382.2434,
51.25,3382.2434,
51.35,3382.2434,
