elapsed_sec,best_cost,improvement_pct
0.1,3025.4804,
0.2,3001.3931,
0.3,2952.1611,
0.4,2765.4487,
0.5,2776.7784,
0.6,2760.0027,
0.71,2761.0367,
0.81,2775.1851,
0.91,2780.2383,
1.01,2771.665,
1.11,2755.938,
1.21,2755.938,
1.31,2755.938,
1.42,2755.938,
1.52,2755.938,
1.62,2755.938,
1.72,2755.938,
1.82,2755.938,
1.92,2755.938,
2.02,2755.938,
2.12,2755.938,
2.23,2755.938,
2.33,2755.938,
2.43,2755.938,
2.54,2755.938,
2.64,2755.938,
2.74,2755.938,
2.84,2755.938,
2.99,3153.9152,
3.1,2789.5277,
3.2,2831.7465,
3.31,2777.1515,
3.41,2794.4133,
3.51,2779.7085,
3.61,2789.9876,
3.71,2782.2502,
3.81,2779.7085,
3.91,2777.1515,
4.01,2777.1515,
4.11,2777.1515,
4.21,2777.1515,
4.32,2777.1515,
4.42,2777.1515,
4.52,2777.1515,
4.62,2777.1515,
4.72,2777.1515,
4.82,2777.1515,
4.92,2777.1515,
5.02,2777.1515,
5.12,2777.1515,
5.22,2777.1515,
5.43,3067.9687,
5.53,3069.4529,
5.63,3060.934,
5.73,2930.3186,
5.83,2913.8606,
5.93,2912.634,
6.03,2912.7924,
6.13,2911.3744,
6.23,2911.3744,
6.33,2911.3744,
6.43,2911.3744,
6.53,2904.5667,
6.63,2904.5667,
6.74,2904.5667,
6.84,2904.5667,
6.94,2904.5667,
7.04,2904.5667,
7.14,2904.5667,
7.24,2904.5667,
7.34,2904.5667,
7.44,2904.5667,
7.56,3396.151,
7.66,3156.2003,
7.76,3135.509,
7.86,3122.8325,
7.96,3095.0437,
8.06,3093.0688,
8.16,3058.9262,
8.26,3058.9262,
8.37,2895.7001,
8.47,2895.7001,
8.57,2895.7001,
8.67,2895.7001,
8.77,2895.7001,
8.87,2895.7001,
8.98,2895.7001,
9.08,2895.7001,
9.18,2895.7001,
9.28,2895.7001,
9.38,2895.7001,
9.48,2895.7001,
9.58,2895.7001,
9.75,3368.4641,
9.85,3458.5029,
9.96,3344.11,
10.06,3328.1977,
10.16,3335.9785,
10.26,3327.5629,
10.36,3308.3785,
10.46,3304.2175,
10.56,3295.7702,
10.66,3295.7702,
10.76,3295.7702,
10.87,3295.7702,
10.97,3158.1486,
11.07,3158.1486,
11.17,3154.1455,
11.27,3154.1455,
11.37,3154.1455,
11.47,3154.1455,
11.57,3154.1455,
11.67,3154.1455,
11.79,3592.3238,
11.89,3364.1484,
11.99,2992.9564,
12.09,2966.6713,
12.19,2957.3572,
12.29,2949.8247,
12.39,2951.6403,
12.49,2949.9354,
12.59,2950.4621,
12.7,2950.4621,
12.8,2951.6403,
12.9,2945.6307,
13.0,2945.6307,
13.1,2945.104,
13.2,2944.6375,
13.3,2944.6375,
13.4,2944.6375,
13.51,2944.6375,
13.61,2944.6375,
13.71,2944.6375,
13.81,2944.6375,
13.91,2944.6375,
14.01,2944.6375,
14.11,2944.6375,
14.21,2944.6375,
14.39,3627.6622,
14.49,3472.2819,
14.59,3570.311,
14.7,3497.5103,
14.8,3510.7783,
14.9,3447.3447,
15.0,3440.2817,
15.1,3440.2817,
15.2,3440.2817,
15.3,3440.2817,
15.41,3440.2817,
15.51,3440.2817,
15.61,3440.2817,
15.71,3440.2817,
15.81,3440.2817,
