elapsed_sec,best_cost,improvement_pct
0.11,3023.8528,
0.21,3113.6412,
0.31,3023.6056,
0.41,3003.4213,
0.51,2834.7522,
0.61,2802.41,
0.71,2820.7263,
0.82,2824.1088,
0.92,2838.6967,
1.02,3128.275,
1.12,2791.0491,
1.22,2759.0966,
1.32,2857.2262,
1.42,2837.8474,
1.52,2952.3503,
1.62,3136.3757,
1.72,2844.4543,
1.82,2836.0905,
1.92,2764.6759,
2.02,2794.5305,
2.13,2745.1436,
2.23,2763.2789,
2.34,2752.1892,
2.44,2749.083,
2.54,2742.6774,
2.64,2840.2455,
2.75,2838.2217,
2.85,2769.2483,
2.95,2743.0493,
3.05,2786.9278,
3.16,2849.0937,
3.26,2838.1289,
3.36,2846.1447,
3.47,2842.1237,
3.57,2828.0261,
3.67,2821.6871,
3.77,2832.9051,
3.87,2833.0223,
3.97,2831.5868,
4.07,2808.3819,
4.18,2836.9394,
4.28,2838.099,
4.38,2822.221,
4.49,2841.4584,
4.59,2841.4584,
4.69,2777.9798,
4.8,2757.9377,
4.9,2772.9833,
5.0,2764.7067,
5.1,2784.8077,
5.2,2858.1638,
5.3,2817.206,
5.4,2719.8284,
5.5,2741.9163,
5.61,2748.9903,
5.71,2734.7944,
5.81,2737.6924,
5.91,2788.3099,
6.01,2781.4936,
6.11,2779.2192,
6.21,2756.1782,
6.31,2750.7317,
6.41,2833.7108,
6.51,2849.5806,
6.61,2834.5199,
6.71,2756.3448,
6.81,2719.6697,
6.91,2711.1389,
7.04,2825.9891,
7.14,2767.1632,
7.24,2780.3847,
7.34,2843.1777,
7.45,2771.4916,
7.55,2782.1457,
7.61,2711.1389,
