elapsed_sec,best_cost,improvement_pct
0.1,6374.9039,
0.2,6438.3166,
0.3,6392.7776,
0.41,5980.939,
0.51,5942.7898,
0.63,5948.9602,
0.73,5951.03,
0.83,5949.8998,
0.93,5886.5795,
1.04,5887.9437,
1.14,5888.5684,
1.26,5881.533,
1.37,5881.533,
1.47,5881.533,
1.57,5879.3483,
1.68,5878.5374,
1.78,5779.4478,
1.88,5779.4478,
1.99,5779.4478,
2.09,5779.4478,
2.19,5779.4478,
2.31,5779.4478,
2.41,5779.4478,
2.51,5779.4478,
2.62,5779.4478,
2.72,5779.4478,
2.83,5779.4478,
2.94,5779.4478,
3.04,5779.4478,
3.14,5779.4478,
3.26,5779.4478,
3.36,5779.4478,
3.46,5779.4478,
3.66,5904.152,
3.76,5557.3922,
3.86,5567.262,
3.96,5543.8316,
4.06,5546.126,
4.18,5507.3555,
4.29,5497.8845,
4.39,5511.207,
4.49,5494.0566,
4.59,5496.3731,
4.69,5496.3731,
4.79,5496.3731,
4.89,5494.4202,
5.01,5493.1218,
5.12,5494.0566,
5.22,5493.1218,
5.32,5493.1218,
5.42,5493.1218,
5.52,5493.4387,
5.62,5493.1218,
5.72,5493.1218,
5.82,5493.1218,
5.92,5493.1218,
6.02,5493.1218,
6.12,5493.1218,
6.23,5493.1218,
6.34,5493.1218,
6.44,5493.1218,
6.54,5493.1218,
6.64,5493.1218,
6.74,5493.1218,
6.94,5551.4183,
7.05,5758.942,
7.15,5598.6957,
7.25,5516.1836,
7.35,5517.4281,
7.45,5504.3465,
7.56,5509.7649,
7.66,5492.299,
7.76,5498.8687,
7.87,5498.0774,
7.97,5474.6378,
8.07,5474.6378,
8.19,5474.6378,
8.3,5474.6378,
8.41,5474.6378,
8.51,5474.6378,
8.61,5474.6378,
8.71,5474.6378,
8.82,5474.6378,
8.92,5474.6378,
9.02,5474.6378,
9.12,5474.6378,
9.22,5474.6378,
9.35,5474.6378,
9.45,5474.6378,
9.55,5474.6378,
9.65,5474.6378,
9.75,5474.6378,
9.85,5474.6378,
9.95,5474.6378,
10.05,5474.6378,
10.16,5474.6378,
10.3,6400.1635,
10.4,5930.2109,
10.51,5886.2029,
10.61,5826.9713,
10.71,5828.0169,
10.81,5801.5208,
10.91,5727.6319,
11.01,5745.0993,
11.12,5740.8003,
11.22,5721.5216,
11.32,5720.5401,
11.42,5717.8706,
11.53,5717.8706,
11.63,5575.5559,
11.73,5575.5559,
11.83,5575.5559,
11.94,5575.5559,
12.04,5575.5559,
12.14,5575.5559,
12.25,5575.5559,
12.35,5575.5559,
12.45,5553.9763,
12.55,5553.9763,
12.65,5553.9763,
12.75,5552.4735,
12.85,5552.4735,
12.96,5552.4735,
13.06,5552.4735,
13.17,5552.4735,
13.27,5552.4735,
13.38,5552.4735,
13.48,5552.4735,
13.58,5552.4735,
13.68,5552.4735,
13.79,5552.4735,
13.89,5552.4735,
13.99,5552.4735,
14.13,5507.8192,
14.23,5593.3783,
14.33,5571.0115,
14.44,5572.6857,
14.55,5590.7928,
14.66,5576.4977,
14.77,5576.8821,
14.88,5572.8078,
14.98,5573.3098,
15.08,5563.0369,
15.18,5567.3913,
15.28,5565.4406,
15.38,5563.2071,
15.48,5556.7698,
15.59,5546.8716,
15.69,5530.9223,
15.81,5530.9223,
15.91,5492.6324,
16.01,5492.6324,
16.12,5492.6324,
16.22,5492.6324,
16.32,5492.6324,
16.42,5492.6324,
16.52,5492.6324,
16.62,5492.6324,
16.72,5492.6324,
16.82,5492.6324,
16.92,5492.6324,
17.02,5492.6324,
17.14,5492.6324,
17.24,5492.6324,
17.34,5492.6324,
17.44,5492.6324,
17.55,5492.6324,
17.65,5492.6324,
17.75,5492.6324,
17.93,6006.2012,
18.03,5933.5876,
18.15,5540.3408,
18.25,5544.2044,
18.35,5541.3116,
18.45,5521.9996,
18.55,5560.7494,
18.66,5552.8695,
18.76,5546.048,
18.86,5505.3594,
18.96,5498.892,
19.06,5498.892,
19.18,5498.892,
19.29,5498.892,
19.39,5498.892,
19.49,5498.892,
19.59,5498.892,
19.69,5498.892,
19.79,5498.892,
19.89,5498.892,
19.99,5498.892,
20.09,5498.892,
20.2,5498.892,
20.3,5498.892,
20.4,5498.892,
20.51,5498.892,
20.61,5498.892,
20.71,5498.892,
20.81,5498.892,
20.92,5498.892,
21.03,5498.892,
21.13,5498.892,
21.26,6556.7163,
21.36,6381.215,
21.46,5764.0149,
21.56,5653.2298,
21.66,5693.103,
21.76,5635.7611,
21.86,5620.2513,
21.97,5613.0347,
22.07,5612.6138,
22.17,5606.487,
22.27,5594.3711,
22.37,5589.1851,
22.48,5589.1851,
22.58,5589.1851,
22.69,5589.1851,
22.8,5589.1851,
22.9,5589.1851,
23.0,5589.1851,
23.1,5587.7545,
23.2,5587.7545,
23.31,5587.7545,
23.42,5587.3997,
23.52,5587.3997,
23.62,5587.3997,
23.72,5587.3997,
23.82,5587.3997,
23.94,5587.3997,
24.04,5587.3997,
24.15,5587.3997,
24.25,5587.3997,
24.36,5587.3997,
24.46,5587.3997,
24.6,5909.6356,
24.71,5975.0773,
24.81,5989.3358,
24.91,5546.2935,
25.02,5518.7915,
25.13,5517.789,
25.23,5526.2653,
25.33,5467.5666,
25.43,5456.7846,
25.54,5457.9187,
25.64,5460.2901,
25.74,5448.5797,
25.84,5448.5797,
25.94,5448.5797,
26.06,5448.5797,
26.16,5448.5797,
26.26,5448.5797,
26.36,5448.5797,
26.47,5448.5797,
26.57,5448.5797,
26.68,5448.5797,
26.79,5448.5797,
26.89,5448.5797,
27.0,5448.5797,
27.1,5448.5797,
27.21,5448.5797,
27.32,5448.5797,
27.44,5448.5797,
27.54,5448.5797,
27.64,5448.5797,
27.75,5448.5797,
27.86,5448.5797,
27.96,5569.016,
28.06,5599.8444,
28.16,5552.9943,
28.27,5555.6997,
28.37,5570.9789,
28.47,5592.7963,
28.57,5599.6253,
28.68,5563.2676,
28.79,5529.7448,
28.89,5524.1432,
28.99,5524.1432,
29.09,5524.1432,
29.19,5491.51,
29.29,5491.51,
29.39,5491.51,
29.49,5491.51,
29.59,5491.51,
29.73,5491.51,
29.83,5491.51,
29.93,5491.51,
30.03,5491.51,
30.13,5491.51,
30.23,5491.51,
30.33,5491.51,
30.43,5491.51,
30.53,5491.51,
30.63,5491.51,
30.73,5491.51,
30.83,5491.51,
30.93,5491.51,
31.04,5491.51,
31.15,5491.51,
31.36,5853.2088,
31.46,5700.3675,
31.57,5211.428,
31.67,5223.8497,
31.77,5154.9796,
31.87,5145.511,
31.98,5139.0436,
32.08,5139.0436,
32.18,5124.7522,
32.29,5124.7522,
32.39,5124.7522,
32.49,5124.7522,
32.59,5124.7522,
32.69,5124.7522,
32.79,5124.7522,
32.89,5124.7522,
32.99,5124.7522,
33.09,5124.7522,
33.19,5124.7522,
33.29,5124.7522,
33.39,5124.7522,
33.5,5124.7522,
33.6,5124.7522,
33.7,5124.7522,
33.8,5124.7522,
33.91,5124.7522,
34.01,5124.7522,
34.11,5124.7522,
34.21,5124.7522,
34.31,5124.7522,
34.41,5124.7522,
34.53,5124.7522,
34.63,5124.7522,
34.73,5124.7522,
34.87,5535.9318,
34.97,5562.12,
35.07,5555.4696,
35.17,5602.064,
35.28,5570.1979,
35.38,5573.1024,
35.48,5559.6851,
35.58,5553.7802,
35.68,5564.4221,
35.79,5564.7674,
35.9,5565.7872,
36.03,5505.1366,
36.13,5500.2002,
36.24,5492.4939,
36.34,5492.4774,
36.44,5492.4774,
36.54,5492.4939,
36.65,5492.4774,
36.75,5492.4774,
36.85,5492.4774,
36.95,5492.4774,
37.05,5492.4774,
37.15,5492.4774,
37.25,5492.4939,
37.36,5492.4774,
37.46,5491.8588,
37.56,5491.8588,
37.66,5491.8588,
37.77,5491.8588,
37.87,5491.8588,
37.97,5491.8588,
38.14,6107.1881,
38.24,5992.3905,
38.35,5770.836,
38.45,5770.2081,
38.55,5764.446,
38.66,5738.8425,
38.76,5740.9598,
38.87,5726.6467,
38.97,5750.1384,
39.07,5742.6739,
39.18,5742.6739,
39.3,5742.1525,
39.41,5729.3654,
39.51,5727.7044,
39.62,5725.475,
39.72,5725.475,
39.82,5715.5768,
39.92,5715.5768,
40.03,5715.5768,
40.13,5715.5768,
40.23,5715.5768,
40.33,5699.5212,
40.43,5699.5212,
40.53,5699.5212,
40.65,5699.5212,
40.75,5699.5212,
40.85,5699.5212,
40.95,5699.5212,
41.05,5699.5212,
41.15,5699.5212,
41.25,5699.5212,
41.36,5699.5212,
41.46,5699.5212,
41.58,5699.5212,
41.68,5699.5212,
41.78,5699.5212,
41.94,6246.2549,
42.04,6286.672,
42.14,5620.8859,
42.24,5581.1455,
42.34,5597.6088,
42.44,5581.8876,
42.54,5523.8811,
42.65,5540.0398,
42.75,5535.1226,
42.85,5489.779,
42.95,5486.1801,
43.05,5460.9736,
43.15,5454.8607,
43.25,5454.8607,
43.36,5454.8607,
43.46,5454.8607,
43.56,5454.8607,
43.66,5454.8607,
43.76,5454.8607,
43.86,5454.8607,
43.96,5454.8607,
44.06,5454.8607,
44.16,5454.8607,
44.27,5454.8607,
44.37,5454.8607,
44.47,5454.8607,
44.58,5454.8607,
44.75,7010.9372,
44.85,6475.7241,
44.95,6045.5337,
45.05,6008.1213,
45.15,6015.4946,
45.25,5786.0308,
45.35,5743.9294,
45.45,5726.6912,
45.55,5722.2364,
45.65,5701.9459,
45.76,5691.2467,
45.86,5682.9879,
45.96,5684.4321,
46.06,5684.4321,
46.16,5682.9879,
46.27,5682.9879,
46.37,5682.9879,
46.47,5682.9879,
46.57,5682.9879,
46.67,5682.9879,
46.78,5682.9879,
46.88,5682.9879,
46.98,5682.9879,
47.08,5682.9879,
47.18,5682.9879,
47.29,5682.9879,
47.4,5682.9879,
47.5,5682.5924,
47.6,5682.5924,
47.7,5682.5924,
47.8,5682.5924,
47.94,5141.938,
48.04,5120.3871,
48.14,5133.8183,
48.24,5133.8183,
48.34,5133.8183,
48.45,5144.835,
48.55,5133.8183,
48.65,5133.8183,
48.75,5133.8183,
48.85,5141.3201,
48.95,5120.3871,
49.05,5120.3871,
49.15,5120.3871,
49.25,5120.3871,
49.35,5120.3871,
49.45,5120.3871,
49.56,5120.3871,
49.66,5120.3871,
49.76,5120.3871,
49.87,5120.3871,
49.97,5120.3871,
50.07,5120.3871,
50.17,5120.3871,
50.27,5120.3871,
50.37,5120.3871,
50.47,5120.3871,
50.59,5120.3871,
50.69,5120.3871,
50.79,5120.3871,
50.89,5120.3871,
50.99,5120.3871,
51.09,5120.3871,
51.21,5120.3871,
51.31,5120.3871,
51.41,5120.3871,
51.51,5120.3871,
51.64,5563.4213,
51.75,5545.5049,
51.85,5572.7609,
51.95,5540.8158,
52.05,5532.266,
52.15,5520.2045,
52.26,5520.3281,
52.36,5535.6536,
52.47,5535.6536,
52.57,5504.625,
52.68,5504.625,
52.79,5504.625,
52.89,5503.9598,
53.0,5503.9598,
53.1,5503.9598,
53.2,5503.9598,
53.3,5503.9598,
53.4,5503.9598,
53.51,5503.9598,
53.61,5503.9598,
53.71,5503.9598,
53.81,5503.9598,
53.92,5503.9598,
54.02,5503.9598,
54.12,5503.9598,
54.24,5503.9598,
54.34,5503.9598,
54.44,5503.9598,
54.55,5503.9598,
54.65,5503.9598,
54.75,5503.9598,
54.85,5503.9598,
54.96,5503.9598,
55.06,5503.9598,
55.17,5503.9598,
55.33,5163.4043,
55.44,5145.9342,
55.54,5145.9342,
55.64,5144.2763,
55.74,5144.2763,
55.84,5120.3871,
55.94,5130.2853,
56.06,5133.1906,
56.16,5130.2853,
56.26,5130.2853,
56.36,5130.2853,
56.46,5120.3871,
56.56,5120.3871,
56.66,5120.3871,
56.76,5120.3871,
56.87,5120.3871,
56.97,5120.3871,
57.07,5120.3871,
57.17,5120.3871,
57.27,5120.3871,
57.38,5120.3871,
57.48,5120.3871,
57.58,5120.3871,
57.68,5120.3871,
57.78,5120.3871,
57.88,5120.3871,
57.98,5120.3871,
58.08,5120.3871,
58.19,5120.3871,
58.3,5120.3871,
58.4,5120.3871,
58.5,5120.3871,
58.6,5120.3871,
58.79,6360.8259,
58.89,6330.4688,
58.99,6386.7401,
59.09,5960.5234,
59.19,5939.8954,
59.29,5861.5071,
59.39,5856.455,
59.49,5866.7719,
59.61,5862.5441,
59.71,5854.2503,
59.81,5850.6785,
60.01,5120.3871,
