elapsed_sec,best_cost,improvement_pct
0.1,6361.0008,
0.2,6310.457,
0.3,6618.7274,
0.4,6351.3814,
0.5,6284.3232,
0.62,6332.2733,
0.72,5861.0497,
0.83,5884.9321,
0.95,5869.7386,
1.07,5820.2066,
1.18,5840.4237,
1.28,5896.48,
1.38,5884.2845,
1.48,5914.434,
1.6,5842.8908,
1.7,5890.6055,
1.8,5696.4286,
1.9,5535.3826,
2.01,5904.8994,
2.11,5431.0666,
2.21,5481.1347,
2.31,5493.1871,
2.41,5476.9968,
2.51,5417.5259,
2.62,5423.5035,
2.73,5118.6262,
2.84,5137.5835,
2.95,5156.1915,
3.05,5157.0894,
3.15,5080.6386,
3.26,5172.1168,
3.36,5225.2882,
3.46,5713.4226,
3.56,5679.2498,
3.66,5396.8893,
3.77,5509.5399,
3.88,5441.6018,
3.98,5335.9455,
4.1,5107.6206,
4.2,5351.9779,
4.3,5275.4762,
4.4,5377.1077,
4.5,5381.3598,
4.6,5452.4572,
4.7,5421.8252,
4.8,5340.7932,
4.9,5318.9162,
5.0,5398.996,
5.11,5179.9329,
5.22,5157.6042,
5.32,5398.6694,
5.42,5165.0382,
5.53,5293.7463,
5.63,5344.3087,
5.74,5311.9683,
5.84,5312.664,
5.94,5403.8707,
6.04,5321.3532,
6.14,5311.4599,
6.24,5138.7146,
6.35,5427.4511,
6.45,5108.4982,
6.56,5194.9109,
6.67,5152.7449,
6.77,5464.4303,
6.88,5237.3302,
6.99,5237.2028,
7.09,5457.722,
7.19,5687.3621,
7.29,5138.9402,
7.39,5178.7811,
7.49,5168.5986,
7.59,5186.4064,
7.69,5190.0224,
7.8,5190.3435,
7.9,5150.4469,
8.0,5151.8963,
8.11,5141.4895,
8.21,5165.1807,
8.31,5182.2693,
8.41,5087.8945,
8.51,5216.7677,
8.61,5391.7197,
8.71,5351.9839,
8.82,5386.1891,
8.92,5496.5759,
9.03,5495.3802,
9.13,5501.6163,
9.25,5340.1214,
9.35,5371.9914,
