elapsed_sec,best_cost,improvement_pct
0.11,6312.4574,
0.21,6369.947,
0.33,6313.2147,
0.43,6322.2796,
0.53,6314.3135,
0.64,6321.7357,
0.74,6249.8669,
0.84,6258.7384,
0.95,6247.1282,
1.05,6252.2411,
1.16,6195.241,
1.26,6258.1488,
1.36,6205.6991,
1.47,6206.51,
1.57,6217.7638,
1.68,6256.4449,
1.78,6233.9412,
1.89,6253.2447,
1.99,6203.8914,
2.09,6207.0478,
2.19,6265.6029,
2.3,6205.2395,
2.4,6206.0504,
2.5,6208.9164,
2.61,6267.3479,
2.71,6201.8053,
2.82,6201.8053,
2.92,6262.5717,
3.02,6193.1725,
3.12,6195.8855,
3.23,6236.8816,
3.33,6248.1182,
3.44,6204.6933,
3.54,6203.8075,
3.65,6195.241,
3.75,6195.1661,
3.86,6239.3427,
3.96,6195.8855,
4.06,6194.1604,
4.17,6193.2746,
4.27,6213.1079,
4.37,6207.9336,
4.47,6207.0478,
4.58,6207.131,
4.68,6207.9003,
4.78,6250.8487,
4.88,6207.3915,
4.99,6207.0561,
5.09,6207.0561,
5.2,6207.3166,
5.3,6208.2024,
5.41,6201.5032,
5.51,6257.2505,
5.62,6205.773,
5.72,6244.8851,
5.82,6212.7365,
5.93,6198.2771,
6.03,6203.1306,
6.14,6213.5374,
6.24,6205.4319,
6.34,6201.5846,
6.44,6199.2161,
6.55,6203.755,
6.65,6204.6064,
6.76,6210.788,
6.86,6202.8692,
6.96,6210.2105,
7.07,6208.2623,
7.17,6204.4385,
7.27,6193.0459,
7.38,6198.6324,
7.48,6189.3928,
7.59,6193.3764,
7.69,6232.5156,
7.79,6196.6751,
7.9,6204.1967,
8.0,6191.4886,
8.1,6143.2621,
8.2,6191.2359,
8.3,6130.9214,
8.41,6121.0232,
8.51,6179.7061,
8.62,6130.9214,
8.72,6131.7323,
8.82,6134.885,
8.93,6200.3252,
9.03,6175.7462,
9.14,6138.686,
9.25,6182.6225,
9.35,6196.1421,
9.45,6140.8662,
9.55,6137.2751,
9.66,6153.2158,
9.76,6144.2566,
9.86,6184.8559,
9.96,6148.542,
10.07,6150.9684,
10.17,6140.8662,
10.27,6195.4696,
10.37,6143.4022,
10.48,6193.3934,
10.58,6141.6771,
10.68,6149.0,
10.78,6153.2158,
10.89,6138.086,
10.99,6142.2115,
11.1,6140.5027,
11.2,6199.07,
11.3,6144.6105,
11.41,6200.1651,
11.51,6151.3441,
11.61,6137.2751,
11.72,6178.4173,
11.82,6140.622,
11.92,6197.2452,
12.03,6138.686,
12.13,6198.1798,
12.23,6134.4582,
12.34,6192.8148,
12.44,6195.5045,
12.54,6134.4096,
12.65,6134.4096,
12.75,6139.4969,
12.85,6140.3948,
12.95,6192.2058,
13.05,6186.7457,
13.16,6136.8974,
13.26,6131.7323,
13.36,6178.0805,
13.47,6141.8591,
13.57,6180.4653,
13.68,6196.0043,
13.79,6150.9165,
13.89,6141.0133,
14.0,6193.0564,
14.1,6138.686,
14.2,6139.8111,
14.31,6140.622,
