elapsed_sec,best_cost,improvement_pct
0.1,7124.0605,
0.2,7109.9407,
0.31,7070.1715,
0.41,7067.389,
0.51,7062.5132,
0.61,7062.5132,
0.73,6887.043,
0.83,6886.7151,
0.93,6886.7151,
1.03,6886.7151,
1.14,6886.1462,
1.24,6886.1462,
1.34,6886.1462,
1.44,6886.1462,
1.54,6886.1462,
1.64,6886.1462,
1.75,6886.1462,
1.85,6886.1462,
1.95,6886.1462,
2.05,6886.1462,
2.16,6886.1462,
2.26,6886.1462,
2.36,6886.1462,
2.46,6886.1462,
2.56,6886.1462,
2.66,6886.1462,
2.76,6886.1462,
2.86,6886.1462,
2.96,6886.1462,
3.06,6886.1462,
3.16,6886.1462,
3.26,6886.1462,
3.36,6886.1462,
3.46,6886.1462,
3.56,6886.1462,
3.66,6886.1462,
3.77,6886.1462,
3.87,6886.1462,
3.97,6886.1462,
4.07,6886.1462,
4.17,6886.1462,
4.27,6886.1462,
4.37,6886.1462,
4.47,6886.1462,
4.57,6886.1462,
4.67,6886.1462,
4.77,6886.1462,
4.87,6886.1462,
4.97,6886.1462,
5.07,6886.1462,
5.17,6886.1462,
5.27,6886.1462,
5.37,6886.1462,
5.47,6886.1462,
5.57,6886.1462,
5.67,6886.1462,
5.77,6886.1462,
5.88,6886.1462,
5.98,6886.1462,
6.08,6886.1462,
6.18,6886.1462,
6.28,6886.1462,
6.38,6886.1462,
6.48,6886.1462,
6.58,6886.1462,
6.68,6886.1462,
6.78,6886.1462,
6.88,6886.1462,
6.98,6886.1462,
7.08,6886.1462,
7.18,6886.1462,
7.28,6886.1462,
7.38,6886.1462,
7.48,6886.1462,
7.58,6886.1462,
7.69,6886.1462,
7.79,6886.1462,
7.89,6886.1462,
7.99,6886.1462,
8.09,6886.1462,
8.19,6886.1462,
8.29,6886.1462,
8.39,6886.1462,
8.49,6886.1462,
8.59,6886.1462,
8.69,6886.1462,
8.79,6886.1462,
8.9,6886.1462,
9.0,6886.1462,
9.1,6886.1462,
9.2,6886.1462,
9.3,6886.1462,
9.4,6886.1462,
9.5,6886.1462,
9.6,6886.1462,
9.7,6886.1462,
9.8,6886.1462,
9.9,6886.1462,
10.01,6886.1462,
10.11,6886.1462,
10.21,6886.1462,
10.31,6886.1462,
10.41,6886.1462,
10.51,6886.1462,
10.61,6886.1462,
10.71,6886.1462,
10.81,6886.1462,
10.91,6886.1462,
11.01,6886.1462,
11.11,6886.1462,
11.21,6886.1462,
11.31,6886.1462,
11.41,6886.1462,
11.51,6886.1462,
11.61,6886.1462,
11.86,6886.1462,
11.96,6886.1462,
12.06,6886.1462,
12.17,6886.1462,
12.27,6886.1462,
12.37,6886.1462,
12.47,6886.1462,
12.57,6886.1462,
12.67,6886.1462,
12.77,6886.1462,
12.87,6886.1462,
12.97,6886.1462,
13.07,6886.1462,
13.17,6886.1462,
13.27,6886.1462,
13.37,6886.1462,
13.47,6886.1462,
13.57,6886.1462,
13.67,6886.1462,
13.77,6886.1462,
13.87,6886.1462,
13.97,6886.1462,
14.07,6886.1462,
14.18,6886.1462,
14.28,6886.1462,
14.38,6886.1462,
14.48,6886.1462,
14.58,6886.1462,
14.68,6886.1462,
14.78,6886.1462,
14.88,6886.1462,
14.98,6886.1462,
15.08,6886.1462,
15.18,6886.1462,
15.28,6886.1462,
15.38,6886.1462,
15.49,6886.1462,
15.59,6886.1462,
15.69,6886.1462,
15.79,6886.1462,
15.89,6886.1462,
15.99,6886.1462,
16.09,6886.1462,
16.19,6886.1462,
16.29,6886.1462,
16.39,6886.1462,
16.49,6886.1462,
16.59,6886.1462,
16.69,6886.1462,
16.79,6886.1462,
16.89,6886.1462,
16.99,6886.1462,
17.09,6886.1462,
17.19,6886.1462,
17.29,6886.1462,
17.39,6886.1462,
17.5,6886.1462,
17.6,6886.1462,
17.7,6886.1462,
17.8,6886.1462,
17.9,6886.1462,
18.0,6886.1462,
18.1,6886.1462,
18.2,6886.1462,
18.3,6886.1462,
18.4,6886.1462,
18.5,6886.1462,
18.6,6886.1462,
18.7,6886.1462,
18.8,6886.1462,
18.9,6886.1462,
19.01,6886.1462,
19.11,6886.1462,
19.21,6886.1462,
19.31,6886.1462,
19.41,6886.1462,
19.51,6886.1462,
19.61,6886.1462,
19.71,6886.1462,
19.81,6886.1462,
19.91,6886.1462,
20.01,6886.1462,
20.11,6886.1462,
20.21,6886.1462,
20.31,6886.1462,
20.41,6886.1462,
20.51,6886.1462,
20.61,6886.1462,
20.71,6886.1462,
20.81,6886.1462,
20.91,6886.1462,
21.01,6886.1462,
21.11,6886.1462,
21.21,6886.1462,
21.31,6886.1462,
21.41,6886.1462,
21.51,6886.1462,
21.61,6886.1462,
21.72,6886.1462,
21.82,6886.1462,
21.92,6886.1462,
22.02,6886.1462,
22.12,6886.1462,
22.22,6886.1462,
22.32,6886.1462,
22.42,6886.1462,
22.52,6886.1462,
22.62,6886.1462,
22.72,6886.1462,
22.82,6886.1462,
22.92,6886.1462,
23.02,6886.1462,
23.12,6886.1462,
23.22,6886.1462,
23.33,6886.1462,
23.43,6886.1462,
23.53,6886.1462,
23.63,6886.1462,
23.73,6886.1462,
23.83,6886.1462,
23.93,6886.1462,
24.03,6886.1462,
24.13,6886.1462,
24.23,6886.1462,
24.33,6886.1462,
24.43,6886.1462,
24.53,6886.1462,
24.63,6886.1462,
24.73,6886.1462,
24.83,6886.1462,
24.93,6886.1462,
25.04,6886.1462,
25.14,6886.1462,
25.24,6886.1462,
25.34,6886.1462,
25.44,6886.1462,
25.54,6886.1462,
25.64,6886.1462,
25.74,6886.1462,
25.84,6886.1462,
25.94,6886.1462,
26.04,6886.1462,
26.14,6886.1462,
26.24,6886.1462,
26.34,6886.1462,
26.44,6886.1462,
26.54,6886.1462,
26.64,6886.1462,
26.74,6886.1462,
26.84,6886.1462,
26.95,6886.1462,
27.05,6886.1462,
27.15,6886.1462,
27.25,6886.1462,
27.35,6886.1462,
27.45,6886.1462,
27.55,6886.1462,
27.65,6886.1462,
27.75,6886.1462,
27.85,6886.1462,
27.95,6886.1462,
28.05,6886.1462,
28.15,6886.1462,
28.25,6886.1462,
28.35,6886.1462,
28.45,6886.1462,
28.55,6886.1462,
28.65,6886.1462,
28.75,6886.1462,
28.85,6886.1462,
28.95,6886.1462,
29.05,6886.1462,
29.16,6886.1462,
29.26,6886.1462,
29.36,6886.1462,
29.46,6886.1462,
29.56,6886.1462,
29.66,6886.1462,
29.76,6886.1462,
29.86,6886.1462,
29.96,6886.1462,
30.06,6886.1462,
30.16,6886.1462,
30.26,6886.1462,
30.36,6886.1462,
30.46,6886.1462,
30.56,6886.1462,
30.66,6886.1462,
30.76,6886.1462,
30.87,6886.1462,
30.97,6886.1462,
31.07,6886.1462,
