elapsed_sec,best_cost,improvement_pct
0.1,7238.6421,
0.2,7118.1108,
0.3,7317.3198,
0.4,6984.0937,
0.51,6958.7709,
0.61,7221.0435,
0.71,6962.0525,
0.81,7224.9919,
0.91,7311.1637,
1.01,6624.7977,
1.12,6533.3573,
1.22,6528.6979,
1.32,6518.3718,
1.42,6554.5302,
1.52,6535.9334,
1.62,6746.7609,
1.72,6519.6512,
1.82,6627.9698,
1.92,6511.149,
2.03,6608.7332,
2.13,6638.7332,
2.23,6477.0831,
2.33,6516.5468,
2.43,6658.5867,
2.53,6913.6938,
2.63,7115.8235,
2.73,6825.9024,
2.83,6635.2757,
2.94,6652.4127,
3.04,6856.0867,
3.14,6881.4137,
3.24,6831.0483,
3.35,6835.3832,
3.45,6538.8863,
3.55,6479.3549,
3.65,6646.2411,
3.75,6688.3262,
3.85,6745.4027,
3.95,6518.4508,
4.05,6502.0451,
4.15,6516.368,
4.25,6782.778,
4.35,6507.3372,
4.46,6680.2195,
4.56,6336.0376,
4.66,6457.7774,
4.76,6517.0116,
4.86,6462.6328,
4.96,6478.7074,
5.06,6467.5293,
5.16,6449.1591,
5.26,6180.9792,
5.36,6456.0808,
5.47,6724.6553,
5.57,6506.0607,
5.67,6502.1793,
5.77,6503.8158,
5.87,6224.9085,
5.97,6205.4331,
6.07,6453.1166,
6.18,6205.4331,
6.28,6219.1199,
6.38,6219.1199,
6.48,6224.9085,
6.58,6210.6294,
6.68,6207.5461,
6.78,6225.4917,
6.88,6217.0069,
6.98,6199.4484,
7.08,6225.4917,
7.18,6207.9332,
7.28,6199.4484,
7.39,6534.3788,
7.49,6540.4659,
7.59,6527.4115,
7.69,6538.5128,
7.79,6537.5146,
7.89,6431.7645,
8.0,6451.7925,
8.1,6537.2273,
8.2,6519.0714,
8.3,6519.8108,
8.4,6545.7007,
8.5,6546.2264,
8.6,6550.1383,
8.7,6486.0015,
8.8,6471.3439,
8.91,6362.6612,
9.01,6359.6366,
9.11,6391.5448,
9.21,6387.9854,
9.31,6389.9774,
9.41,6432.4253,
9.51,6539.2825,
9.61,6518.3298,
9.71,6520.3752,
9.81,6485.9263,
9.91,6524.0544,
10.02,6493.2436,
10.12,6469.7793,
10.22,6575.8819,
10.32,6518.2737,
10.42,6513.7007,
10.52,6490.8578,
10.62,6491.6746,
10.72,6488.9077,
10.82,6473.5846,
10.92,6476.3686,
11.02,6484.4878,
11.12,6481.25,
11.22,6429.7052,
11.32,6465.5518,
11.42,6508.6304,
11.53,6524.8986,
11.63,6525.628,
11.73,6438.668,
11.83,6447.2106,
11.93,6458.9746,
12.03,6477.4075,
12.15,6424.7892,
12.25,6439.2685,
12.35,6426.4558,
12.45,6459.3038,
12.55,6458.101,
12.65,6434.4717,
12.75,6484.1822,
12.86,6433.4046,
12.96,6454.8436,
13.06,6440.6974,
13.16,6440.6974,
13.26,6471.2655,
13.36,6453.3143,
13.46,6448.2813,
13.56,6448.1519,
13.66,6446.9701,
13.77,6453.0837,
13.87,6447.9869,
13.97,6444.9036,
14.07,6434.0188,
14.17,6487.5304,
14.27,6436.7694,
14.37,6446.446,
14.47,6435.2051,
14.57,6454.4861,
14.67,6440.9516,
14.77,6445.7748,
14.87,6465.3943,
14.98,6478.9548,
15.08,6439.5696,
15.18,6474.2346,
15.28,6459.5744,
15.38,6423.7512,
15.48,6429.8706,
15.58,6389.5843,
15.68,6391.95,
15.78,6369.5486,
15.88,6372.4637,
15.99,6373.4235,
16.09,6361.9192,
16.19,6354.3672,
16.29,6383.3004,
16.4,6374.1817,
16.5,6376.1603,
16.6,6379.9098,
16.7,6431.1081,
16.8,6403.5726,
16.9,6398.3893,
17.0,6397.4178,
17.1,6404.0716,
17.2,6411.8507,
17.3,6411.8507,
17.4,6446.6249,
17.51,6408.0513,
17.61,6409.6751,
17.71,6408.6331,
17.81,6408.6043,
17.92,6408.2911,
18.02,6399.5705,
18.12,6405.3605,
18.22,6422.2074,
18.32,6411.7046,
18.43,6432.2175,
18.53,6437.5052,
18.63,6425.2491,
18.73,6416.3805,
18.83,6432.9097,
18.93,6468.1894,
19.04,6416.7643,
19.14,6422.749,
19.24,6448.667,
19.34,6419.037,
19.44,6417.0075,
19.54,6416.2628,
19.64,6427.4438,
19.74,6456.0359,
19.84,6435.257,
19.94,6429.2723,
20.05,6422.16,
20.15,6427.6381,
20.25,6413.6752,
20.35,6418.6505,
20.45,6479.8275,
20.55,6372.9397,
20.65,6220.0901,
20.75,6226.9447,
20.86,6222.2576,
20.96,6226.2054,
21.06,6225.3185,
21.16,6214.0995,
21.26,6203.5387,
21.36,6215.8608,
21.46,6203.4249,
21.56,6205.3557,
21.66,6209.3912,
