elapsed_sec,best_cost,improvement_pct
0.11,7398.1541,
0.22,7229.4224,
0.34,7261.0102,
0.45,7293.3649,
0.55,7285.6338,
0.65,7054.8164,
0.76,7087.5097,
0.88,7091.1103,
0.98,7085.7276,
1.09,7078.4674,
1.2,7234.0077,
1.31,7077.0188,
1.42,7070.5516,
1.53,7258.0349,
1.64,7247.0757,
1.75,7092.9434,
1.85,7076.85,
1.95,7058.6465,
2.06,7042.0116,
2.17,7058.5393,
2.28,7065.7475,
2.39,7094.874,
2.49,7244.3563,
2.6,7073.3279,
2.7,6828.6592,
2.81,6869.5238,
2.92,6866.5461,
3.02,6866.159,
3.12,6885.6531,
3.23,6873.9867,
3.34,6873.5331,
3.44,6707.0992,
3.54,6678.8593,
3.65,6672.67,
3.75,6633.7238,
3.85,6641.1435,
3.96,6627.5624,
4.07,6647.2772,
4.18,6717.0301,
4.28,6614.5278,
4.38,6601.5955,
4.48,6623.6443,
4.59,6620.4195,
4.69,6627.2928,
4.79,6628.3058,
4.9,6635.342,
5.01,6680.1324,
5.11,6650.2351,
5.21,6653.8116,
5.31,6654.3697,
5.42,6627.1662,
5.53,6626.5241,
5.63,6479.238,
5.74,6603.7881,
5.85,6614.5396,
5.95,6607.2599,
6.05,6618.1627,
6.16,6530.325,
6.27,6711.0057,
6.38,6725.9248,
6.48,6485.7101,
6.58,6487.2194,
6.69,6507.271,
6.79,6498.7862,
6.89,6487.8762,
7.0,6658.7125,
7.1,6502.7056,
7.21,6495.3621,
7.31,6291.5544,
7.41,6300.3397,
7.52,6312.2581,
7.62,6388.0294,
7.73,6354.4561,
7.83,6350.8911,
7.93,6319.5932,
8.04,6427.8629,
8.14,6312.2537,
8.25,6318.3188,
8.35,6318.3188,
8.45,6304.1719,
8.56,6301.0826,
8.66,6309.2769,
8.77,6319.6315,
8.87,6323.3199,
8.97,6398.369,
9.07,6311.4352,
9.17,6327.2331,
9.28,6568.2583,
9.39,6317.7929,
9.49,6307.5698,
9.59,6305.6499,
9.7,6313.6616,
9.8,6301.1109,
9.9,6305.4008,
10.01,6318.6087,
10.12,6322.0447,
10.22,6342.9178,
10.33,6538.8814,
10.43,6348.0972,
10.54,6564.6351,
10.65,6320.0411,
10.76,6297.1078,
10.86,6330.5735,
10.97,6536.0455,
11.07,6330.2808,
11.18,6554.2781,
11.29,6317.8255,
11.39,6296.9579,
11.5,6309.1585,
11.6,6316.8925,
11.7,6316.8925,
11.81,6320.7265,
11.92,6507.3658,
12.02,6727.1108,
12.12,6684.85,
12.23,6696.8229,
12.33,6317.5897,
12.44,6332.4471,
12.55,6354.0203,
12.65,6306.5583,
12.76,6651.9866,
12.87,6480.7101,
12.97,6489.5404,
13.07,6481.0103,
13.17,6653.294,
13.28,6719.3418,
13.38,6312.7484,
13.48,6305.8867,
13.59,6315.6806,
13.69,6365.8537,
13.79,6320.5315,
13.9,6372.6945,
14.01,6316.6117,
14.11,6311.0455,
14.21,6311.0455,
14.31,6309.1521,
14.41,6431.0728,
14.52,6340.8011,
14.62,6561.8237,
14.73,6333.3195,
14.83,6387.9994,
14.94,6519.2691,
15.05,6515.1946,
15.15,6505.6352,
15.26,6515.395,
15.36,6515.395,
15.47,6503.2451,
15.57,6739.7008,
15.68,6513.3636,
15.78,6750.4925,
15.89,6490.8777,
15.99,6506.1292,
16.1,6519.4559,
16.2,6328.3352,
16.3,6324.8912,
16.41,6744.6146,
16.52,6499.2709,
16.63,6733.2392,
16.73,6727.1576,
16.83,6482.2997,
16.94,6742.3898,
17.05,6510.4809,
17.16,6515.1117,
17.27,6667.5509,
17.37,6720.607,
17.48,6496.0946,
17.58,6507.9141,
17.69,6500.7216,
17.79,6728.461,
17.89,6743.1323,
18.0,6498.6955,
18.1,6488.4323,
18.21,6721.7009,
18.31,6492.3085,
18.42,6500.2182,
18.52,6762.3859,
18.63,6519.1157,
18.74,6741.3783,
18.84,6736.3876,
18.95,6491.7094,
19.05,6482.7991,
19.15,6492.445,
19.25,6502.499,
19.36,6520.2126,
19.47,6741.9556,
19.57,6494.1657,
19.68,6502.6007,
19.79,6505.6836,
19.89,6748.8046,
19.99,6517.2127,
20.1,6763.8684,
20.21,6525.6772,
20.31,6518.993,
20.41,6506.9432,
20.52,6722.4619,
20.62,6493.0062,
20.72,6492.5137,
20.83,6492.5137,
20.93,6654.0823,
21.03,6719.9732,
21.14,6314.7852,
21.24,6301.582,
21.34,6315.0995,
21.45,6562.8923,
21.55,6307.775,
