elapsed_sec,best_cost,improvement_pct
0.11,7398.1541,
0.24,7430.4303,
0.35,7569.1042,
0.45,7911.6022,
0.55,7713.1217,
0.65,7668.2717,
0.75,7089.9777,
0.86,6941.3504,
0.96,6931.1033,
1.06,7122.3378,
1.16,6998.5693,
1.26,6963.9305,
1.36,6967.7585,
1.46,7121.5173,
1.57,7129.7168,
1.67,7054.8379,
1.77,7106.891,
1.87,6859.4234,
1.97,6890.269,
2.07,6855.2834,
2.17,6851.7087,
2.28,6877.2245,
2.39,6871.3517,
2.49,6872.8785,
2.59,6653.4491,
2.69,6642.8506,
2.8,6655.5136,
2.9,6649.6607,
3.0,6611.7645,
3.1,6607.4627,
3.2,6630.4378,
3.3,6650.0911,
3.4,6660.4057,
3.51,6631.5961,
3.61,6874.517,
3.72,6850.9719,
3.82,6846.4912,
3.92,7030.2884,
4.02,7030.8304,
4.12,7011.8771,
4.22,6955.19,
4.32,6952.2909,
4.42,6857.6201,
4.53,6840.6202,
4.63,6875.3197,
4.73,6824.2591,
4.83,6872.3991,
4.93,6987.6186,
5.04,6865.1965,
5.14,6876.1708,
5.24,6787.4556,
5.34,6811.869,
5.44,6790.6153,
5.54,6914.7365,
5.64,6886.4355,
5.74,6876.3451,
5.84,6889.2774,
5.95,6893.916,
6.05,7033.6091,
6.16,7359.5997,
6.26,7349.3501,
6.36,6889.7124,
6.46,6734.9535,
6.56,6718.0218,
6.67,6714.7638,
6.77,6697.1909,
6.87,6460.7606,
6.97,6472.7692,
7.07,6470.6564,
7.18,6458.377,
7.28,6484.5829,
7.38,6492.7237,
7.48,6493.2058,
7.58,6471.2783,
7.68,6474.2765,
7.78,6486.1028,
7.9,6467.7344,
8.0,6478.2544,
8.1,6469.1055,
8.2,6473.8608,
8.3,6463.0793,
8.41,6465.9609,
8.51,6480.3116,
8.61,6468.6214,
8.71,6459.1486,
8.81,6482.1868,
8.92,6463.8729,
9.02,6465.9125,
9.13,6464.7999,
9.34,6466.4218,
9.44,6712.2593,
9.54,6755.7441,
9.64,6701.3677,
9.74,6734.579,
9.84,6704.8097,
9.94,6766.0705,
10.04,6773.8842,
10.14,7080.826,
10.25,6804.6752,
10.35,6826.0942,
10.45,7055.5102,
10.55,7041.469,
10.65,6986.862,
10.75,7073.6863,
10.85,6760.3539,
10.96,7100.0542,
11.06,7136.2549,
11.16,6907.72,
11.26,6820.6249,
11.36,6854.2546,
11.46,6900.3554,
11.56,6908.9383,
11.66,6881.3259,
11.76,6885.5281,
11.87,7101.3434,
11.97,7136.1051,
12.07,7139.3451,
12.17,7162.942,
12.27,7099.9203,
12.37,6656.7318,
12.48,6924.7709,
12.58,6642.1788,
12.68,6628.3163,
12.78,6623.1183,
12.88,6641.1553,
12.98,6634.6323,
13.08,6635.8416,
13.18,7066.4245,
13.28,7048.7933,
13.39,7065.8963,
13.49,6871.0294,
13.59,6888.0817,
13.69,6912.8611,
13.79,6904.1929,
13.89,6480.1342,
14.0,6454.5838,
14.1,6527.0725,
14.2,6446.6807,
14.3,6446.6807,
14.4,6454.5838,
14.5,6534.9756,
14.6,6530.7002,
14.7,6534.9756,
14.8,6534.9756,
14.9,6542.2749,
15.01,6528.6496,
15.11,6541.7132,
15.21,6534.2789,
15.31,6532.6889,
15.42,6527.351,
15.52,6535.404,
15.62,6528.6535,
15.72,6521.0451,
15.82,6521.0451,
15.93,6543.801,
16.03,6525.2342,
16.13,6538.0218,
16.23,6530.2686,
16.33,6525.0843,
16.43,6532.9874,
16.53,6531.615,
16.63,6529.253,
16.73,6522.189,
16.83,6522.189,
16.94,6539.9923,
17.04,6748.2356,
17.14,6794.865,
17.24,6764.7844,
17.34,6739.1208,
17.44,6779.5313,
18.89,6437.0001,
