elapsed_sec,best_cost,improvement_pct
1.82,34059.9801,
3.77,33799.1802,
5.43,33589.4397,
7.04,33404.6264,
8.69,33225.8609,
10.74,33206.9439,
12.85,33183.2739,
14.53,33168.6123,
16.35,33147.7293,
18.13,33135.5906,
19.9,33123.675,
21.56,33116.7285,
23.17,33107.53,
24.77,33100.1115,
26.4,32987.8303,
28.05,32960.1808,
29.65,32953.6067,
31.44,32942.7269,
33.16,32938.8641,
34.91,32933.7181,
36.74,32929.9807,
38.43,32924.3419,
40.17,32921.0493,
41.87,32918.0496,
43.61,32913.7145,
45.32,32910.8198,
47.0,32908.7323,
48.71,32819.2991,
50.45,32768.3137,
52.17,32763.9543,
53.91,32760.1233,
55.67,32749.7049,
57.46,32746.511,
59.2,32743.9266,
138.22,32743.9266,
