elapsed_sec,best_cost,improvement_pct
0.11,29460.4472,
0.24,29454.581,
0.39,29453.6919,
0.49,29398.4835,
0.65,29398.4835,
0.82,29377.3799,
0.92,29370.3491,
1.04,29370.3491,
1.14,29365.6955,
1.24,29279.3758,
1.34,29102.0749,
1.49,29102.0749,
1.62,29102.0749,
1.72,29102.0749,
1.82,29102.0749,
1.94,29102.0749,
2.04,29102.0749,
2.14,29102.0749,
2.28,29102.0749,
2.39,29102.0749,
2.51,29102.0749,
2.63,29102.0749,
2.73,29102.0749,
2.83,29097.7249,
2.93,29057.3979,
3.04,28919.2596,
3.14,28919.2596,
3.25,28919.2596,
3.36,28919.2596,
3.46,28903.0555,
3.57,28903.0555,
3.67,28903.0555,
3.77,28903.0555,
3.91,28903.0555,
4.02,28899.6667,
4.13,28899.6667,
4.26,28899.6667,
4.42,28899.6667,
4.54,28876.434,
4.64,28876.434,
4.75,28876.434,
4.88,28876.434,
5.02,28876.434,
5.16,28876.434,
5.26,28876.434,
5.36,28876.434,
5.5,28876.434,
5.64,28876.434,
5.75,28876.434,
5.89,28876.434,
5.99,28876.434,
6.12,28876.434,
6.22,28876.434,
6.35,28876.434,
6.46,28876.434,
6.56,28876.434,
6.68,28876.434,
6.78,28876.434,
6.92,28876.434,
7.02,28876.434,
7.14,28876.434,
7.25,28876.434,
7.38,28876.434,
7.48,28876.434,
7.59,28876.434,
7.72,28876.434,
7.82,28876.434,
7.96,28876.434,
8.08,28876.434,
8.21,28876.434,
8.34,28876.434,
8.44,28876.434,
8.56,28876.434,
8.7,28876.434,
8.83,28876.434,
8.95,28876.434,
9.06,28876.434,
9.16,28876.434,
9.29,28876.434,
9.39,28876.434,
9.52,28876.434,
9.64,28876.434,
9.74,28876.434,
9.87,28876.434,
9.97,28876.434,
10.1,28876.434,
10.21,28876.434,
10.35,28876.434,
10.46,28876.434,
10.56,28876.434,
10.71,28876.434,
10.84,28876.434,
10.95,28876.434,
11.09,28876.434,
11.19,28876.434,
11.29,28876.434,
11.39,28876.434,
11.49,28876.434,
11.62,28876.434,
11.72,28876.434,
11.85,28876.434,
11.97,28876.434,
12.09,28876.434,
12.2,28876.434,
12.3,28876.434,
12.4,28876.434,
12.53,28876.434,
12.66,28876.434,
12.78,28876.434,
12.88,28876.434,
13.0,28876.434,
13.1,28876.434,
13.2,28876.434,
13.32,28876.434,
13.46,28876.434,
13.56,28876.434,
13.69,28876.434,
13.82,28876.434,
13.96,28876.434,
14.08,28876.434,
14.22,28876.434,
14.34,28876.434,
14.45,28876.434,
14.6,28876.434,
14.73,28876.434,
14.87,28876.434,
14.97,28876.434,
15.07,28876.434,
15.17,28876.434,
15.84,28876.434,
15.95,28876.434,
16.05,28876.434,
16.19,28876.434,
16.32,28876.434,
16.43,28876.434,
16.53,28876.434,
