elapsed_sec,best_cost,improvement_pct
0.16,29773.3062,
0.32,29787.4713,
0.46,29787.4713,
0.56,29782.8177,
0.67,29790.823,
0.77,29796.1974,
0.94,29796.1974,
1.04,29796.1974,
1.18,29811.2527,
1.35,29811.2527,
1.49,29811.2527,
1.64,29812.2179,
1.82,29778.5766,
1.95,29778.5766,
2.08,29778.5766,
2.19,29785.1954,
2.29,29787.0476,
2.41,29763.4052,
2.52,29732.8856,
2.66,29732.8856,
2.85,29732.8856,
2.95,29732.8856,
3.05,29738.26,
3.15,29738.26,
3.26,29738.26,
3.43,29771.9013,
3.57,29761.7609,
3.72,29761.7609,
3.84,29761.7609,
3.98,29761.7609,
4.13,29761.7609,
4.24,29761.7609,
4.37,29761.7609,
4.51,29761.7609,
4.65,29761.7609,
4.84,29761.7609,
5.0,29710.091,
5.12,29709.1258,
5.23,29710.1524,
5.34,29710.1524,
5.54,29665.1068,
5.64,29634.1562,
5.75,29634.1562,
5.92,29624.7746,
6.02,29621.5031,
6.15,29612.9144,
6.33,29623.1774,
6.46,29623.1774,
6.56,29623.1774,
6.73,29623.1774,
6.83,29623.1774,
6.96,29617.9623,
7.06,29617.9623,
7.17,29617.9623,
7.28,29627.1611,
7.4,29627.1611,
7.5,29627.1611,
7.61,29627.1611,
7.73,29627.1611,
7.86,29627.1611,
7.99,29617.9623,
8.11,29624.8811,
8.21,29624.8811,
8.36,29624.8811,
8.52,29624.8811,
8.62,29624.8811,
8.75,29624.8811,
8.85,29624.8811,
8.96,29613.9287,
9.08,29607.3099,
9.18,29607.3099,
9.37,29607.3099,
9.47,29607.3099,
9.59,29612.6965,
9.74,29612.6965,
9.88,29612.6965,
10.0,29616.9561,
10.12,29616.9561,
10.24,29603.6085,
10.35,29603.6085,
10.45,29603.6085,
10.6,29603.6085,
10.7,29603.6085,
10.84,29603.2835,
10.95,29603.2835,
11.15,29603.2835,
11.29,29603.2835,
11.4,29603.2835,
11.5,29598.2219,
11.65,29598.2219,
11.75,29598.2219,
11.86,29598.2219,
11.96,29598.2219,
12.14,29598.2219,
12.25,29598.2219,
12.36,29598.2219,
12.46,29598.2219,
12.56,29598.2219,
12.71,29598.2219,
12.82,29598.2219,
12.92,29598.2219,
13.07,29598.2219,
13.18,29597.8198,
13.28,29597.8198,
13.39,29585.3859,
13.55,29585.3859,
13.67,29585.3859,
13.77,29585.3859,
13.88,29585.3859,
13.98,29585.3859,
14.08,29585.3859,
14.19,29585.3859,
14.29,29585.3859,
14.41,29585.3859,
14.51,29578.5082,
15.22,29578.5082,
15.36,29578.5082,
15.46,29578.5082,
15.59,29578.5082,
15.73,29578.5082,
15.83,29578.5082,
15.96,29578.5082,
16.08,29578.5082,
16.23,29578.5082,
16.34,29578.5082,
16.48,29578.5082,
16.62,29578.5082,
16.76,29578.5082,
16.89,29578.5082,
17.01,29578.5082,
17.12,29578.5082,
17.27,29578.5082,
17.41,29578.5082,
17.52,29578.5082,
17.66,29578.5082,
17.79,29578.5082,
17.91,29578.5082,
18.03,29578.5082,
18.14,29578.5082,
18.3,29578.5082,
18.44,29578.5082,
18.58,29578.5082,
18.74,29578.5082,
18.87,29578.5082,
19.01,29578.5082,
19.13,29578.5082,
19.23,29578.5082,
19.36,29578.5082,
19.5,29578.5082,
19.6,29578.5082,
19.71,29578.5082,
19.81,29578.5082,
19.92,29578.5082,
20.06,29578.5082,
20.2,29578.5082,
20.3,29578.5082,
20.4,29578.5082,
20.55,29578.5082,
20.66,29578.5082,
20.81,29578.5082,
20.91,29578.5082,
21.04,29578.5082,
21.14,29578.5082,
21.25,29578.5082,
21.38,29578.5082,
21.52,29578.5082,
21.65,29578.5082,
21.82,29578.5082,
21.93,29578.5082,
22.07,29578.5082,
22.18,29578.5082,
22.31,29578.5082,
22.44,29578.5082,
22.55,29578.5082,
22.69,29578.5082,
22.82,29578.5082,
22.96,29578.5082,
23.08,29578.5082,
23.21,29578.5082,
23.35,29578.5082,
23.5,29578.5082,
23.63,29578.5082,
23.8,29578.5082,
23.91,29578.5082,
24.02,29578.5082,
24.12,29578.5082,
24.26,29578.5082,
24.37,29578.5082,
24.48,29578.5082,
24.58,29578.5082,
24.68,29578.5082,
24.78,29578.5082,
24.88,29578.5082,
25.0,29578.5082,
25.15,29557.9992,
25.29,29557.9992,
25.49,29557.9992,
25.59,29557.9992,
25.75,29557.9992,
25.86,29557.9992,
25.97,29557.9992,
26.07,29557.9992,
26.22,29557.9992,
26.33,29557.9992,
26.46,29557.9992,
26.56,29557.9992,
26.72,29542.5819,
26.88,29542.5819,
27.0,29542.5819,
27.13,29542.5819,
27.26,29542.5819,
27.38,29542.5819,
27.49,29542.5819,
27.63,29542.5819,
27.77,29542.5819,
27.87,29542.5819,
27.97,29542.5819,
28.11,29542.5819,
28.25,29542.5819,
28.36,29542.5819,
28.72,31194.0335,
28.84,31194.0335,
29.05,31245.4197,
29.23,31245.4197,
29.38,31257.8536,
29.53,31290.1344,
60.23,29542.5819,
