elapsed_sec,best_cost,improvement_pct
0.1,29789.6509,
0.32,29949.2203,
0.42,30194.0819,
0.52,30644.7484,
0.65,30302.5551,
0.82,30600.2475,
0.96,30656.4071,
1.08,30646.0188,
1.92,30646.0188,
2.03,30726.8135,
2.13,30720.4808,
2.24,30780.0535,
2.36,30780.0535,
2.53,30757.6517,
2.69,30638.8992,
2.79,30633.5248,
2.89,30633.5248,
3.08,30748.0178,
3.21,30748.0178,
3.32,30748.0178,
3.48,30703.1707,
3.58,31193.1821,
3.7,31187.8584,
3.8,31319.8893,
3.92,31334.9469,
4.14,31298.6084,
4.29,31298.6084,
4.39,31334.5818,
4.51,31308.9776,
4.64,31235.9736,
4.8,31238.3637,
4.9,31238.3637,
5.04,31227.1046,
5.15,31203.2213,
5.32,31166.1501,
5.54,31622.3937,
5.7,31605.2893,
5.8,31533.0441,
5.91,31534.2105,
6.01,31534.2105,
6.11,31523.6862,
6.22,31547.3958,
6.37,31258.231,
6.52,30925.0198,
6.63,30925.0198,
6.77,31079.1391,
6.94,31084.9325,
7.07,31110.1145,
7.18,31166.0661,
7.28,31192.482,
7.38,30957.474,
7.59,30930.2773,
7.69,30915.5915,
7.8,30903.9278,
7.93,30962.7466,
8.03,31106.6671,
8.23,31127.3319,
8.33,31127.3319,
8.48,31126.0264,
8.59,31009.2626,
8.74,31009.2626,
8.85,30990.1073,
9.01,31031.2324,
9.12,31192.3126,
9.23,31121.0176,
9.34,31404.6257,
9.44,31369.0712,
9.56,31373.439,
9.72,31357.1476,
9.89,31368.0307,
10.01,31361.6019,
10.11,31405.4499,
10.27,31359.5717,
10.37,31523.1758,
10.48,31523.1758,
10.61,31262.9266,
10.71,31246.0435,
10.87,30888.5554,
11.03,30891.6923,
11.13,30829.8315,
11.41,30829.8315,
11.55,30940.3721,
11.67,30844.0422,
11.81,30842.4589,
11.97,30842.4589,
12.15,30904.3534,
12.36,30841.2824,
12.52,31175.838,
12.62,31167.989,
12.72,31153.4466,
12.88,31167.2399,
13.0,31164.6413,
13.16,31150.3382,
13.28,31159.6766,
13.57,31181.058,
13.67,31092.7288,
13.77,31108.5301,
13.88,31092.7288,
14.08,31109.0524,
14.22,31110.9592,
14.44,31117.3762,
14.66,31143.9389,
14.83,31103.644,
14.98,31114.7653,
15.15,31084.5782,
15.27,31084.5782,
15.37,31084.5782,
15.52,31084.5782,
15.73,31131.5623,
15.83,31010.7651,
15.94,31010.7651,
16.09,31010.213,
16.19,30927.546,
16.3,30927.546,
16.4,30927.546,
16.5,30912.495,
16.6,30919.561,
16.76,30919.561,
16.93,30936.5528,
17.08,30936.5528,
17.19,30614.6567,
17.29,30710.3405,
17.39,30709.8045,
17.56,30721.4601,
17.66,30721.4601,
17.77,30711.8719,
17.97,30795.4581,
18.07,30750.0053,
18.2,30745.3761,
18.38,30697.227,
18.48,30609.5717,
18.58,30603.6227,
18.78,30616.0069,
19.0,30583.6855,
19.15,30583.6855,
19.28,30583.6855,
19.38,30583.6855,
19.53,30716.4236,
19.68,30689.424,
19.84,30995.5561,
19.94,31100.4799,
20.14,31068.918,
20.25,31076.0077,
20.46,31072.0061,
20.56,31131.9584,
20.74,31129.6988,
20.9,31092.196,
21.04,31557.8291,
21.15,31743.257,
21.35,31743.257,
21.58,31743.257,
21.78,31325.1832,
21.89,31237.9524,
22.02,31237.9524,
22.12,31237.9524,
22.25,31221.8373,
22.43,31221.8373,
22.56,31221.8373,
22.67,31101.2256,
22.84,31206.4797,
23.01,31085.7417,
23.12,31088.5768,
23.33,31093.3391,
23.51,31064.0883,
23.61,31070.9293,
23.72,31012.9361,
23.82,31031.713,
23.96,31074.1219,
24.09,31074.1219,
24.26,31074.1219,
24.4,31074.1219,
24.57,31108.7538,
24.69,31136.0269,
24.81,31054.3398,
24.97,31043.3204,
25.13,31024.32,
25.23,31013.2596,
25.36,31013.2596,
25.47,30997.2799,
25.72,30997.2799,
25.9,30969.9037,
26.05,30948.2395,
26.15,30683.9214,
26.3,30683.9214,
26.44,30693.9824,
26.67,30689.8618,
26.79,30689.8618,
26.92,30568.7858,
27.03,30568.7858,
27.15,30564.9913,
27.28,30594.3917,
27.41,30580.6358,
27.52,30580.6358,
27.72,30580.6358,
27.88,30629.1146,
27.98,30649.4182,
28.11,30690.1016,
28.24,30667.0886,
28.34,30616.6554,
28.44,30648.0114,
28.55,30667.2245,
28.77,30679.3253,
28.94,30703.6127,
29.06,30680.6752,
29.18,30680.6752,
29.33,30654.7477,
29.5,30675.9803,
29.69,30675.9803,
29.81,30675.9803,
29.91,30571.9294,
30.06,30543.8817,
30.21,30546.8013,
30.33,30593.7819,
30.47,30549.5409,
30.57,30494.3804,
30.8,30477.9465,
31.0,30477.9465,
31.12,30477.9465,
31.28,30431.7776,
31.38,30465.5151,
31.59,30367.0567,
31.71,30365.8635,
31.86,30365.8635,
31.99,30361.4996,
32.13,30408.8565,
32.42,30532.6795,
32.65,30553.0015,
32.75,30553.0015,
32.94,30576.0407,
33.13,30568.3488,
33.33,30564.124,
33.45,30564.124,
33.6,30530.892,
33.8,30484.8472,
33.97,30537.0319,
60.06,29729.6416,
