elapsed_sec,best_cost,improvement_pct
0.18,29466.4072,
0.33,29432.7659,
0.5,29266.289,
0.64,29256.6837,
0.77,29180.3945,
0.99,29153.5953,
1.16,29147.0948,
1.3,29140.7911,
1.45,29134.3623,
1.59,29129.0533,
1.76,29123.9745,
1.86,28951.9826,
2.04,28948.5938,
2.23,28947.7047,
2.38,28947.2613,
2.48,28901.6344,
2.73,29181.9731,
2.84,29234.9807,
2.94,29232.0908,
3.13,29208.8195,
3.23,29208.8195,
3.35,29198.2983,
3.46,29198.2983,
3.58,29198.2983,
3.68,29204.7271,
3.84,29213.0805,
3.98,29213.0805,
4.08,29217.7326,
4.21,29217.7326,
4.31,29274.3754,
4.45,29212.8961,
4.55,29105.8641,
4.71,29143.5478,
4.81,29206.6068,
4.97,29206.6068,
5.12,29206.6068,
5.28,29214.5316,
5.43,29214.5316,
5.54,29214.5316,
6.22,29337.5947,
6.37,29339.6268,
6.47,29326.494,
6.65,29326.494,
6.75,29326.494,
6.88,29326.494,
7.0,29326.494,
7.15,29575.9909,
7.28,29571.8727,
7.39,29568.077,
7.53,29576.6756,
7.67,29565.149,
7.82,29574.1952,
8.02,29443.088,
8.22,29436.7553,
8.38,29567.8625,
8.49,29578.8149,
8.63,29597.8153,
8.73,29597.8153,
8.86,29597.8153,
8.98,29597.8153,
9.09,29598.5424,
9.22,29471.7061,
9.32,29460.7537,
9.44,29460.7537,
9.59,29460.7537,
9.7,29460.7537,
9.86,29487.2913,
9.96,29833.6408,
10.19,29702.4258,
10.36,29724.5571,
10.46,29672.1456,
10.61,29668.0274,
10.74,29668.0274,
10.89,29663.7565,
11.13,29707.6161,
11.31,29853.0533,
11.44,29993.7443,
11.55,29993.7443,
11.65,29993.7443,
11.78,29993.7443,
11.89,29994.9717,
12.01,30103.6286,
12.12,30103.6286,
12.27,30123.0983,
12.45,30125.1679,
12.57,30118.6843,
12.75,30126.1331,
12.89,30132.2272,
13.06,30132.2272,
13.19,30168.9062,
13.3,30069.9606,
13.41,30076.2385,
13.51,30086.0183,
13.62,30086.0183,
13.79,30081.7921,
13.97,30081.7921,
14.17,30454.0962,
14.27,30454.0962,
14.37,30525.8029,
14.53,30519.2867,
14.72,30512.2316,
14.87,30512.2316,
14.99,30517.5184,
15.17,30517.5184,
15.31,30517.5184,
15.45,30569.9757,
15.55,30569.9757,
15.68,30560.5544,
15.78,30559.6653,
15.91,30563.0541,
16.11,30519.6803,
16.21,30517.2008,
16.44,30817.3633,
16.54,30705.8739,
16.65,30693.8875,
16.78,30732.6305,
16.9,30732.6305,
17.04,30732.6305,
17.2,30732.8869,
17.4,30700.4788,
17.54,30690.3851,
17.7,30704.6549,
17.86,30707.9628,
17.97,30746.2128,
18.1,30746.2128,
18.26,30746.2128,
18.39,30746.2128,
18.53,30763.3579,
18.63,30757.4903,
18.73,30757.4903,
18.9,30757.4903,
19.09,30754.6203,
19.2,30787.0284,
19.37,30727.1246,
19.47,30727.1246,
19.59,30727.1246,
19.69,30721.4801,
19.84,30721.4801,
20.0,30720.812,
20.21,30720.812,
20.36,30720.812,
20.5,30735.2638,
20.66,30665.2499,
20.83,30599.6969,
20.93,30541.0164,
21.04,30526.4275,
21.22,30480.7225,
21.35,30480.3204,
21.56,30535.07,
21.74,30537.5252,
21.87,30484.2372,
22.03,30484.2372,
22.15,30484.2372,
22.32,30484.2372,
22.46,30484.2372,
22.59,30494.9359,
22.74,30494.9359,
22.88,30503.7371,
23.0,30499.4227,
23.16,30543.0873,
23.26,30607.799,
23.44,30639.6156,
23.62,30626.1113,
23.72,30630.5971,
23.96,30576.4446,
24.09,30576.4446,
24.19,30576.4446,
24.35,30556.2698,
24.46,30553.8146,
24.7,30553.8146,
24.86,30554.9494,
24.97,30554.9494,
25.07,30551.486,
25.24,30551.486,
25.34,30551.486,
25.46,30551.8881,
25.63,30574.3999,
25.78,30574.3999,
25.95,30574.3999,
26.05,30579.1327,
26.2,30557.1978,
26.4,30557.1978,
26.51,30561.0428,
26.68,30573.797,
26.81,30573.797,
26.96,30470.8269,
27.06,30452.5212,
54.68,28901.6344,
