elapsed_sec,best_cost,improvement_pct
0.1,3528.5262,
0.2,3528.5262,
0.3,3528.5262,
0.4,3528.5262,
0.5,3528.5262,
0.6,3528.5262,
0.7,3528.5262,
0.8,3528.5262,
0.9,3528.5262,
1.0,3528.5262,
1.1,3528.5262,
1.2,3528.5262,
1.3,3528.5262,
1.4,3528.5262,
1.5,3528.5262,
1.6,3528.5262,
1.7,3528.5262,
1.8,3528.5262,
1.9,3528.5262,
2.0,3528.5262,
2.1,3528.5262,
2.2,3528.5262,
2.3,3528.5262,
2.4,3528.5262,
2.5,3528.5262,
2.6,3528.5262,
2.7,3528.5262,
2.8,3528.5262,
2.9,3528.5262,
3.0,3528.5262,
3.1,3528.5262,
3.2,3528.5262,
3.3,3528.5262,
3.4,3528.5262,
3.5,3528.5262,
3.6,3528.5262,
3.7,3528.5262,
3.8,3528.5262,
3.9,3528.5262,
4.0,3528.5262,
4.1,3528.5262,
4.2,3528.5262,
4.31,3528.5262,
4.41,3528.5262,
4.51,3528.5262,
4.61,3528.5262,
4.71,3528.5262,
4.81,3528.5262,
4.91,3528.5262,
5.01,3528.5262,
5.11,3528.5262,
5.21,3528.5262,
5.31,3528.5262,
5.41,3528.5262,
5.51,3528.5262,
5.61,3528.5262,
5.71,3528.5262,
5.81,3528.5262,
5.91,3528.5262,
6.01,3528.5262,
6.11,3528.5262,
6.21,3528.5262,
6.31,3528.5262,
6.41,3528.5262,
6.51,3528.5262,
6.61,3528.5262,
6.71,3528.5262,
6.81,3528.5262,
6.91,3528.5262,
7.01,3528.5262,
7.11,3528.5262,
7.21,3528.5262,
7.31,3528.5262,
7.41,3528.5262,
7.51,3528.5262,
7.61,3528.5262,
7.71,3528.5262,
7.81,3528.5262,
7.91,3528.5262,
8.01,3528.5262,
8.11,3528.5262,
8.21,3528.5262,
8.31,3528.5262,
8.41,3528.5262,
8.51,3528.5262,
8.61,3528.5262,
8.71,3528.5262,
8.81,3528.5262,
8.91,3528.5262,
