elapsed_sec,best_cost,improvement_pct
42.51,4376.785,
42.61,4066.0528,
42.71,3810.0421,
42.81,4055.1493,
42.91,3853.8899,
43.01,3465.526,
43.11,3973.4665,
43.21,4532.9813,
43.31,3910.2584,
43.41,3921.8283,
43.51,3871.1857,
43.61,4204.8533,
43.71,4230.5485,
43.81,4133.667,
43.91,4028.2692,
44.01,3927.6605,
44.11,3960.3531,
44.21,3895.6075,
44.31,3974.8218,
44.41,3899.4353,
44.51,3900.5461,
44.62,3911.934,
44.72,3898.7225,
44.82,3998.7922,
44.92,3949.1032,
45.02,4495.8363,
45.12,4207.4856,
45.22,3867.9048,
45.32,3934.9583,
45.42,3864.9348,
45.52,3871.1294,
45.62,3883.6374,
45.72,3951.163,
45.83,3972.1089,
45.93,3613.1934,
46.03,3879.2896,
46.13,3857.0437,
46.23,3851.5035,
46.33,3861.1792,
46.43,3854.4374,
46.53,3855.75,
46.63,3941.1397,
46.73,4159.3578,
46.83,3902.2967,
46.93,3973.8014,
47.03,3962.8763,
47.13,3725.1594,
47.23,3719.0233,
47.33,4005.937,
47.43,4019.6251,
47.53,3941.6631,
47.63,4034.733,
47.73,3949.4474,
47.83,4021.8074,
47.93,4002.3593,
48.04,4011.8525,
48.14,3983.7127,
48.24,3966.7132,
48.34,4205.6254,
48.44,3852.9921,
48.54,3868.1513,
48.64,3805.162,
48.74,4128.2804,
48.84,3923.041,
48.94,3878.225,
49.04,3926.5392,
49.15,3937.0924,
49.25,3932.9655,
49.35,3938.2498,
49.45,3938.2997,
49.55,3928.7728,
49.65,3931.4961,
49.75,3925.1752,
49.85,3933.6026,
49.95,3928.8297,
50.05,3924.568,
50.15,3927.8416,
50.25,3942.6998,
50.35,3936.826,
50.45,3931.8763,
50.55,3940.3339,
50.65,3943.2067,
50.75,3924.568,
50.85,3926.9194,
50.95,3946.8705,
51.05,3924.568,
51.15,3949.6594,
51.25,3932.7932,
51.35,3922.8847,
51.45,3935.8405,
51.55,3939.2148,
51.65,3938.2997,
51.75,3938.1284,
51.85,3924.8587,
51.95,3936.128,
52.05,3922.8847,
52.15,3947.8317,
52.25,3925.9134,
52.35,3932.8593,
52.45,3941.2785,
52.55,3936.8017,
52.65,3936.8796,
52.75,3926.5392,
52.85,3925.1183,
52.95,3929.3409,
53.05,3947.3593,
53.15,3929.511,
53.25,3922.8847,
53.35,3942.5814,
53.45,3925.1183,
53.55,3925.8565,
53.65,3939.9907,
53.76,3925.8565,
53.86,3937.2037,
53.96,3925.3062,
54.06,3933.9078,
54.16,3922.1465,
54.26,3922.8847,
54.36,3924.568,
54.46,3946.6162,
54.56,3936.826,
54.66,3925.8565,
54.76,3939.1311,
54.86,3926.9194,
54.96,3922.1465,
55.06,3933.282,
55.16,3925.1183,
55.26,3932.7363,
55.36,3931.9371,
55.46,3949.7209,
55.56,3928.5132,
55.66,3928.5132,
55.76,3933.2861,
55.86,3939.0998,
55.96,3938.5495,
56.06,3928.7728,
56.16,3934.6493,
56.26,3940.9411,
56.36,3924.568,
56.46,3932.4767,
56.56,3930.7579,
56.66,3936.894,
56.76,3936.9065,
56.86,3932.9655,
56.96,3932.6748,
57.06,3925.8565,
57.17,3937.2037,
57.27,3925.1752,
57.37,3929.8912,
57.47,3925.801,
57.57,3925.801,
57.67,3924.8587,
57.77,3933.5457,
57.87,3943.1613,
57.97,3929.2514,
58.07,3922.1465,
58.17,3938.3759,
58.27,3942.6998,
58.37,3928.9607,
58.47,3926.5392,
58.57,3929.5679,
58.67,3925.1752,
58.77,3932.186,
58.87,3939.0998,
58.97,3932.7932,
59.07,3929.511,
59.17,3932.186,
59.27,3922.8847,
59.37,3922.8847,
59.47,3926.9194,
59.57,3925.1183,
59.67,3930.6146,
59.77,3925.9134,
59.87,3925.5969,
59.97,3932.4767,
