elapsed_sec,best_cost,improvement_pct
0.1,3047.7243,
0.2,3047.7243,
0.3,3047.7243,
0.4,3047.7243,
0.5,3047.7243,
0.6,3047.7243,
0.7,3047.7243,
0.8,3047.7243,
0.9,3047.7243,
1.0,3047.7243,
1.1,3047.7243,
1.2,3047.7243,
1.3,3047.7243,
1.4,3047.7243,
1.5,3047.7243,
1.6,3047.7243,
1.7,3047.7243,
1.8,3047.7243,
1.9,3047.7243,
2.0,3047.7243,
2.1,3047.7243,
2.2,3047.7243,
2.3,3047.7243,
2.4,3047.7243,
2.5,3047.7243,
2.6,3047.7243,
2.7,3047.7243,
2.8,3047.7243,
2.9,3047.7243,
3.0,3047.7243,
3.1,3047.7243,
3.2,3047.7243,
3.3,3047.7243,
3.4,3047.7243,
3.5,3047.7243,
3.6,3047.7243,
3.7,3047.7243,
3.8,3047.7243,
3.9,3047.7243,
4.0,3047.7243,
4.1,3047.7243,
4.2,3047.7243,
4.3,3047.7243,
4.4,3047.7243,
4.5,3047.7243,
4.6,3047.7243,
4.7,3047.7243,
4.8,3047.7243,
4.9,3047.7243,
5.0,3047.7243,
5.1,3047.7243,
5.2,3047.7243,
5.3,3047.7243,
5.4,3047.7243,
5.5,3047.7243,
5.6,3047.7243,
5.7,3047.7243,
5.8,3047.7243,
5.9,3047.7243,
6.0,3047.7243,
6.1,3047.7243,
6.2,3047.7243,
6.3,3047.7243,
6.4,3047.7243,
6.5,3047.7243,
6.6,3047.7243,
6.7,3047.7243,
6.8,3047.7243,
6.9,3047.7243,
7.0,3047.7243,
7.1,3047.7243,
7.2,3047.7243,
7.3,3047.7243,
7.4,3047.7243,
7.5,3047.7243,
7.6,3047.7243,
7.7,3047.7243,
7.8,3047.7243,
7.9,3047.7243,
8.0,3047.7243,
8.1,3047.7243,
8.2,3047.7243,
8.3,3047.7243,
8.4,3047.7243,
8.5,3047.7243,
8.6,3047.7243,
8.7,3047.7243,
8.8,3047.7243,
8.9,3047.7243,
9.0,3047.7243,
9.1,3047.7243,
9.2,3047.7243,
9.3,3047.7243,
9.4,3047.7243,
9.5,3047.7243,
9.6,3047.7243,
9.7,3047.7243,
9.8,3047.7243,
9.9,3047.7243,
10.0,3047.7243,
10.1,3047.7243,
10.2,3047.7243,
10.3,3047.7243,
10.4,3047.7243,
10.5,3047.7243,
10.6,3047.7243,
10.7,3047.7243,
10.8,3047.7243,
10.9,3047.7243,
11.0,3047.7243,
11.1,3047.7243,
11.2,3047.7243,
11.3,3047.7243,
11.4,3047.7243,
11.5,3047.7243,
11.6,3047.7243,
11.7,3047.7243,
11.8,3047.7243,
11.9,3047.7243,
12.0,3047.7243,
12.1,3047.7243,
12.2,3047.7243,
12.3,3047.7243,
12.4,3047.7243,
12.5,3047.7243,
12.6,3047.7243,
12.7,3047.7243,
12.8,3047.7243,
12.9,3047.7243,
13.0,3047.7243,
13.1,3047.7243,
13.2,3047.7243,
13.3,3047.7243,
13.4,3047.7243,
13.5,3047.7243,
13.6,3047.7243,
13.7,3047.7243,
13.8,3047.7243,
13.9,3047.7243,
14.0,3047.7243,
