elapsed_sec,best_cost,improvement_pct
0.1,2902.9739,
0.2,2902.9739,
0.3,2902.9739,
0.48,2727.5856,
0.58,2727.5856,
0.77,2849.5275,
0.87,2787.9839,
1.06,2727.5856,
1.16,2727.5856,
1.26,2727.5856,
1.41,3255.3908,
1.51,3255.3908,
1.68,2727.5856,
1.78,2727.5856,
1.88,2727.5856,
2.02,2727.5856,
2.12,2727.5856,
2.31,2745.0924,
2.41,2745.0924,
2.51,2745.0924,
2.61,2784.9175,
2.71,2747.5386,
2.81,2747.5386,
2.93,3235.4378,
3.03,3235.4378,
3.23,2796.9035,
3.33,2792.2185,
3.52,2747.5386,
3.62,2747.5386,
3.81,2789.5735,
3.91,2789.5735,
4.01,2789.5735,
4.14,2727.5856,
4.24,2727.5856,
4.34,2727.5856,
4.46,2747.5386,
4.56,2747.5386,
4.99,2615.2941,
5.09,2615.2941,
5.19,2615.2941,
5.29,2615.2941,
5.4,2611.8201,
5.5,2611.8201,
5.7,2615.2941,
5.8,2615.2941,
5.9,2615.2941,
6.09,2795.6575,
6.19,2795.6575,
6.29,2795.6575,
6.43,2611.8201,
6.53,2611.8201,
6.63,2611.8201,
6.78,2806.3319,
6.88,2792.2185,
7.35,2790.5176,
7.45,2782.3677,
7.55,2782.3677,
7.69,3034.9913,
7.79,3034.9913,
7.89,3034.7636,
8.03,3295.9726,
8.13,3290.3913,
8.23,3290.3913,
8.38,2745.0924,
8.48,2747.5386,
8.68,2917.5449,
8.78,2916.5988,
8.88,2916.5988,
9.02,2840.2843,
9.12,2783.4354,
9.32,2798.5472,
9.42,2792.2185,
9.52,2792.2185,
9.64,2580.1026,
9.74,2580.1026,
9.84,2580.1026,
10.01,2580.1026,
10.11,2580.1026,
10.21,2580.1026,
10.4,2621.4462,
10.5,2621.4462,
10.6,2621.4462,
10.77,2804.6882,
10.87,2792.2185,
11.06,2580.1026,
11.16,2580.1026,
11.26,2580.1026,
11.43,2849.3849,
11.53,2849.3849,
11.63,2849.3849,
12.03,2621.4462,
12.13,2621.4462,
12.23,2621.4462,
12.39,2621.4462,
12.49,2621.4462,
12.59,2621.4462,
12.73,2856.1331,
12.83,2847.2802,
12.93,2847.2802,
13.06,2621.4462,
13.16,2621.4462,
13.27,2621.4462,
13.44,3296.8139,
13.54,3296.8139,
13.69,2819.5133,
13.79,2782.3677,
13.89,2782.3677,
14.05,2834.7243,
14.15,2834.7243,
14.25,2834.7243,
14.7,2757.2564,
14.8,2747.5386,
14.9,2747.5386,
15.02,2749.7774,
15.12,2747.5386,
15.28,2580.1026,
15.38,2580.1026,
15.48,2580.1026,
15.68,3052.2364,
15.78,3052.2364,
15.88,3052.2364,
16.03,2903.2504,
16.13,2900.2413,
16.23,2900.2413,
16.33,2900.2413,
16.45,3069.6139,
16.55,3061.8625,
16.65,3061.8625,
16.77,2727.5856,
16.87,2727.5856,
17.04,3294.8975,
17.14,3290.2125,
17.33,2782.3677,
17.43,2782.3677,
17.53,2782.3677,
17.68,2747.5386,
17.78,2747.5386,
17.94,2783.4354,
18.04,2783.4354,
18.14,2783.4354,
18.27,2799.5328,
18.37,2799.5328,
18.47,2799.5328,
18.59,2756.4191,
18.69,2747.5386,
18.85,2749.7774,
18.95,2745.0924,
19.05,2745.0924,
19.18,2937.0756,
19.28,2914.7408,
19.38,2914.7408,
19.74,2843.7583,
19.84,2747.5386,
20.03,2747.5386,
20.13,2747.5386,
20.31,2933.7981,
20.41,2930.7137,
20.52,2930.7137,
20.68,2783.4354,
20.78,2783.4354,
20.88,2783.4354,
21.0,2747.5386,
21.1,2747.5386,
21.26,2615.2941,
21.36,2615.2941,
21.46,2615.2941,
21.65,2909.9447,
21.75,2876.0844,
21.85,2876.0844,
21.98,2747.5386,
22.08,2747.5386,
22.25,2922.8038,
22.35,2921.8577,
22.45,2921.8577,
22.62,2753.9729,
22.72,2745.0924,
22.82,2745.0924,
22.95,2791.5276,
23.05,2782.3677,
23.15,2782.3677,
23.26,2747.5386,
23.36,2747.5386,
23.46,2747.5386,
23.58,2621.4462,
23.68,2621.4462,
23.78,2621.4462,
23.98,3061.8625,
24.08,3061.8625,
24.28,2629.1976,
24.38,2629.1976,
24.48,2629.1976,
24.62,2749.7774,
24.72,2745.0924,
24.89,2747.5386,
24.99,2747.5386,
25.17,2846.0535,
25.27,2846.0535,
25.46,2843.7583,
25.56,2747.5386,
25.67,2747.5386,
25.79,2727.5856,
25.89,2727.5856,
26.07,3061.8625,
26.17,3061.8625,
26.27,3061.8625,
26.41,2747.5386,
26.51,2747.5386,
26.67,2796.4959,
26.77,2796.4959,
26.87,2796.4959,
26.98,2783.4354,
27.08,2783.4354,
27.18,2783.4354,
27.29,2847.2802,
27.39,2847.2802,
27.49,2847.2802,
27.6,2818.6269,
27.7,2818.6269,
27.9,2747.5386,
28.0,2747.5386,
28.43,2782.8662,
28.53,2747.5386,
28.72,2615.2941,
28.82,2615.2941,
28.92,2615.2941,
29.36,2615.2941,
29.46,2615.2941,
29.56,2615.2941,
29.73,2747.5386,
29.83,2747.5386,
30.0,2783.4354,
30.11,2783.4354,
30.21,2783.4354,
30.35,2819.5133,
30.46,2782.3677,
30.56,2782.3677,
30.69,2783.4354,
30.79,2783.4354,
30.89,2783.4354,
31.01,2800.7752,
31.11,2580.1026,
31.21,2580.1026,
31.37,2784.9175,
31.47,2747.5386,
31.65,2849.5275,
31.75,2849.5275,
31.85,2849.5275,
31.98,2747.5386,
32.08,2747.5386,
32.24,2747.5386,
32.34,2747.5386,
32.75,3290.2125,
32.85,3290.2125,
32.95,3290.2125,
33.61,3292.8462,
33.71,3292.8462,
33.81,3290.2125,
33.91,2833.4457,
34.01,2783.4354,
34.11,2783.4354,
34.47,2784.3218,
34.57,2782.3677,
34.68,2782.3677,
34.82,2615.2941,
34.92,2615.2941,
35.02,2615.2941,
35.16,2821.7527,
35.26,2819.7014,
35.36,2819.7014,
35.48,2788.1204,
35.58,2783.4354,
35.68,2783.4354,
35.81,2790.0352,
35.91,2745.0924,
36.01,2745.0924,
36.11,2792.2185,
36.21,2792.2185,
36.4,3052.2364,
36.5,3052.2364,
36.6,3052.2364,
37.02,2840.2843,
37.12,2783.4354,
37.22,2783.4354,
37.36,2792.0732,
37.46,2782.3677,
37.56,2782.3677,
37.69,2780.2582,
