elapsed_sec,best_cost,improvement_pct
0.1,2880.6987,
0.2,2829.6905,
0.3,2857.0572,
0.4,3002.3627,
0.51,2982.0165,
0.61,2916.9634,
0.71,2812.5283,
0.82,2797.135,
0.92,2906.0164,
1.02,2822.0219,
1.12,2833.9441,
1.22,2795.2592,
1.32,2621.4462,
1.42,3429.9712,
1.52,2899.4858,
1.62,2847.7001,
1.72,2846.7721,
1.82,2800.7752,
1.92,3038.0342,
2.02,2809.9626,
2.12,2765.3171,
2.22,2852.0848,
2.32,2760.2795,
2.42,3050.5296,
2.52,2856.5138,
2.62,2845.0897,
2.72,2822.7329,
2.82,2872.7575,
2.92,2908.3203,
3.02,2944.0047,
3.12,2937.124,
3.22,2809.76,
3.32,3164.0505,
3.42,2897.826,
3.52,2926.9042,
3.62,2861.9354,
3.72,2799.279,
3.82,2637.16,
3.92,3181.5411,
4.02,2870.4329,
4.12,2860.111,
4.22,2847.2029,
4.32,2629.1976,
4.42,2918.6988,
4.52,2960.5279,
4.62,2908.821,
4.72,2868.7061,
4.82,2747.5386,
4.92,2621.4462,
5.02,2749.7774,
5.12,2866.9687,
5.22,2817.2133,
5.32,3142.8216,
5.42,2915.2706,
5.52,3150.4636,
5.62,2826.7191,
5.72,2799.5328,
5.82,2621.4462,
5.92,2808.9227,
6.03,2907.3333,
6.13,2983.6437,
6.23,2852.8178,
6.33,2847.9889,
6.43,2827.2024,
6.53,2881.245,
6.63,2755.0815,
6.73,3125.2317,
6.83,2918.7861,
6.93,2903.7885,
7.03,2868.0015,
7.13,3075.2173,
7.23,2810.807,
7.33,2621.4462,
7.43,2580.1026,
7.53,2945.5952,
7.63,2837.7078,
7.73,2910.9494,
7.83,2857.7067,
7.93,2862.4672,
8.03,2844.7448,
8.13,2621.4462,
8.23,2808.4617,
8.33,2629.1976,
8.43,2804.1315,
8.53,2883.236,
8.63,2832.4927,
8.73,2799.279,
8.83,2611.8201,
8.93,2828.5819,
9.03,2611.8201,
9.13,2823.5666,
9.23,2919.3238,
9.33,2861.4575,
9.43,2833.389,
9.53,3078.6511,
9.63,2830.9252,
9.73,2621.4462,
9.83,2855.6526,
9.93,2912.6942,
10.03,2885.8229,
10.13,2830.7781,
10.23,2878.1668,
10.33,2889.6194,
10.43,2899.4049,
10.53,2856.9979,
10.63,2865.621,
10.73,2807.9029,
10.83,2611.8201,
10.93,2867.6055,
11.03,2759.4952,
11.13,2823.7907,
11.23,2831.7597,
11.33,2757.2564,
11.43,2928.2211,
11.53,2611.8201,
11.63,2938.7435,
11.73,2615.2941,
11.83,2841.9749,
11.94,2854.7369,
12.04,2837.9489,
12.14,2950.7604,
12.24,2799.5328,
12.34,3159.794,
12.44,2799.279,
12.54,2611.8201,
12.64,2855.9731,
12.74,2830.9252,
12.84,2889.5951,
12.94,2865.6896,
13.04,2824.998,
13.14,2847.2029,
13.24,2621.4462,
13.34,2757.5277,
13.44,2866.7149,
13.54,2783.7322,
13.64,2908.2863,
13.74,2888.8957,
13.84,2747.5386,
13.94,2775.9933,
14.04,2853.4951,
14.14,2800.8726,
14.24,2637.16,
14.34,2792.2072,
14.44,2784.3218,
14.54,2817.2133,
14.64,2878.1668,
14.74,2611.8201,
14.84,2883.4667,
14.94,2803.2844,
15.04,2615.2941,
15.14,2580.1026,
15.24,2838.7831,
15.34,2809.6047,
15.44,2798.1851,
15.54,2629.1976,
15.64,2611.8201,
15.74,2920.743,
15.84,2883.4075,
15.94,2621.4462,
16.04,2841.7288,
16.14,2829.9865,
16.24,2837.7078,
16.34,2805.2827,
16.44,2795.6515,
16.54,2637.16,
16.65,2580.1026,
16.75,2580.1026,
16.85,2810.807,
16.95,2833.8949,
17.05,2889.1471,
17.15,2615.2941,
17.25,2611.8201,
17.35,2792.5237,
17.45,2806.8348,
17.55,2812.5283,
17.65,2806.8348,
17.75,2754.8102,
17.85,2861.5604,
17.95,2621.4462,
18.05,2639.9299,
18.15,2874.4843,
18.25,2629.1976,
18.35,2629.1976,
18.45,2804.6882,
18.55,2864.7247,
18.65,2857.7067,
18.75,2756.4191,
18.85,2611.8201,
18.95,2824.7918,
19.05,2798.1851,
19.15,2819.7014,
19.25,2807.7108,
19.35,2840.2593,
19.45,2853.4951,
19.55,2621.4462,
19.65,2837.1226,
19.75,2832.3848,
19.85,2615.2941,
19.95,2615.2941,
20.05,2629.1976,
20.15,2621.4462,
20.25,2615.2941,
20.35,2621.4462,
20.45,2854.4198,
20.55,2799.3551,
20.65,2869.9887,
20.75,2639.9299,
20.85,2832.2751,
20.95,2615.2941,
21.05,2615.2941,
21.15,2580.1026,
21.25,2611.8201,
21.35,2842.2642,
21.45,2621.4462,
21.55,2621.4462,
21.65,2874.4425,
21.75,2798.9157,
21.85,2819.0704,
21.95,2611.8201,
22.05,2615.2941,
22.15,2615.2941,
22.25,2838.4759,
22.35,2637.16,
22.45,2615.2941,
22.55,2860.0199,
22.65,2818.4555,
22.75,2580.1026,
22.85,2580.1026,
22.95,2580.1026,
23.05,2787.0527,
23.15,2615.2941,
23.25,2923.9516,
23.35,2808.1742,
23.45,2827.7154,
23.55,2639.9299,
23.65,2799.5812,
23.75,2615.2941,
23.85,2615.2941,
23.95,2864.9603,
24.05,2757.5277,
24.15,2911.4738,
24.25,2611.8201,
24.35,2629.1976,
24.45,2615.2941,
24.55,2621.4462,
24.65,2621.4462,
24.75,2615.2941,
24.86,2615.2941,
24.96,2615.2941,
25.06,2615.2941,
25.16,2615.2941,
25.26,2621.4462,
25.36,2629.1976,
25.46,2621.4462,
25.56,2629.1976,
25.66,2637.16,
25.76,2629.1976,
25.86,2629.1976,
25.96,2629.1976,
26.06,2621.4462,
26.16,2621.4462,
26.26,2637.16,
26.36,2833.9441,
26.46,2802.1774,
26.56,2580.1026,
26.66,2580.1026,
26.76,2580.1026,
26.86,2580.1026,
26.96,2757.5277,
27.06,2822.2281,
27.16,2615.2941,
27.26,2615.2941,
27.36,2621.4462,
27.46,2629.1976,
27.56,2896.9804,
27.66,2629.1976,
27.76,2639.9299,
27.86,2621.4462,
27.96,2637.16,
28.06,2580.1026,
28.16,2580.1026,
28.26,2580.1026,
28.36,2580.1026,
28.46,2580.1026,
28.56,2580.1026,
28.66,2580.1026,
28.76,2580.1026,
28.86,2580.1026,
28.96,2580.1026,
29.06,2621.4462,
29.16,2621.4462,
29.26,2621.4462,
29.36,2621.4462,
29.46,2835.6565,
29.56,2621.4462,
29.66,2621.4462,
29.76,2621.4462,
29.86,2621.4462,
29.96,2611.8201,
30.06,2611.8201,
30.16,2611.8201,
30.26,2611.8201,
30.36,2611.8201,
30.46,2615.2941,
30.56,2615.2941,
30.66,2615.2941,
30.76,2615.2941,
30.86,2615.2941,
30.96,2615.2941,
31.06,2615.2941,
31.16,2637.16,
31.26,2621.4462,
31.36,2637.16,
31.46,2621.4462,
31.56,2615.2941,
31.66,2615.2941,
31.76,2615.2941,
31.86,2615.2941,
31.96,2783.7322,
32.06,2615.2941,
32.16,2621.4462,
32.26,2629.1976,
32.36,2621.4462,
32.46,2639.9299,
32.56,2629.1976,
32.66,2621.4462,
32.76,2629.1976,
32.86,2621.4462,
32.96,2629.1976,
33.06,2621.4462,
33.16,2621.4462,
33.26,2621.4462,
33.36,2621.4462,
33.46,2621.4462,
33.56,2621.4462,
33.66,2629.1976,
33.76,2621.4462,
33.86,2621.4462,
33.96,2621.4462,
34.06,2621.4462,
34.17,2629.1976,
34.27,2621.4462,
34.37,2621.4462,
34.47,2580.1026,
34.57,2580.1026,
34.67,2580.1026,
34.77,2580.1026,
34.87,2580.1026,
34.97,2580.1026,
35.07,2580.1026,
35.17,2580.1026,
35.27,2580.1026,
35.37,2580.1026,
35.47,2580.1026,
35.57,2580.1026,
35.67,2580.1026,
35.77,2580.1026,
35.87,2580.1026,
35.97,2580.1026,
36.07,2580.1026,
36.17,2580.1026,
36.27,2580.1026,
36.37,2580.1026,
36.47,2580.1026,
36.57,2580.1026,
36.67,2580.1026,
36.77,2580.1026,
36.87,2580.1026,
36.97,2580.1026,
37.07,2580.1026,
