elapsed_sec,best_cost,improvement_pct
0.1,2881.245,
0.2,2821.7293,
0.3,3096.363,
0.4,2920.6106,
0.5,2935.4501,
0.6,2824.9636,
0.7,2799.5812,
0.8,2861.4641,
0.9,2913.2193,
1.0,2837.0048,
1.1,2822.7329,
1.21,2639.9299,
1.31,2973.0738,
1.41,2824.998,
1.51,2580.1026,
1.61,2798.9157,
1.71,3132.8677,
1.81,2629.1976,
1.91,2860.9547,
2.01,2763.934,
2.11,2792.584,
2.21,2831.3791,
2.31,2875.5043,
2.41,2864.3003,
2.51,2907.8816,
2.61,2832.0378,
2.71,2822.649,
2.81,2852.3596,
2.91,2848.731,
3.01,2843.0718,
3.11,2961.7302,
3.21,2829.0595,
3.31,2637.16,
3.41,2846.0708,
3.51,2796.4959,
3.61,2815.0803,
3.71,3097.4952,
3.81,2940.1718,
3.91,2867.5448,
4.01,3034.7714,
4.11,2927.8005,
4.21,2783.7322,
4.31,2950.6321,
4.41,2868.288,
4.51,2829.799,
4.61,2829.9026,
4.71,2846.8038,
4.81,2872.1418,
4.91,2894.2648,
5.01,2834.9088,
5.11,2785.0014,
5.21,2857.519,
5.31,2829.9387,
5.41,2868.8174,
5.51,2834.523,
5.61,3154.2688,
5.71,2938.5908,
5.81,2877.4729,
5.91,2941.5068,
6.01,2826.7191,
6.11,2867.0126,
6.21,2846.7721,
6.31,2798.1851,
6.41,2943.6,
6.51,3181.2759,
6.61,2867.5448,
6.71,2961.4927,
6.81,3022.6145,
6.91,2621.4462,
7.01,2944.0047,
7.11,2790.5176,
7.21,2844.6266,
7.31,2629.1976,
7.41,2843.7583,
7.51,2931.6493,
7.61,2906.9639,
7.71,2857.3682,
7.81,3159.2783,
7.91,2860.3646,
8.01,2964.8402,
8.11,2865.2704,
8.21,2825.7091,
8.31,2795.9463,
8.41,2621.4462,
8.51,2850.8232,
8.62,2881.7679,
8.72,2833.8785,
8.82,2830.3155,
8.92,2611.8201,
9.02,2790.0352,
9.12,2951.2583,
9.22,2580.1026,
9.32,2809.299,
9.42,2828.0359,
9.52,2865.6896,
9.62,2913.4813,
9.72,2862.3482,
9.82,2611.8201,
9.92,2748.5407,
10.02,2611.8201,
10.12,2950.7895,
10.22,2615.2941,
10.32,2842.1624,
10.42,2789.9503,
10.52,2853.5316,
10.62,2905.3497,
10.72,2828.7882,
10.82,2789.9503,
10.92,2807.9029,
11.02,2792.5237,
11.12,2877.495,
11.22,2885.4993,
11.32,2851.8879,
11.42,2580.1026,
11.52,2829.9026,
11.62,3182.2237,
11.72,2840.2593,
11.82,2809.5703,
11.92,2833.4457,
12.02,2819.5133,
12.12,2830.4337,
12.22,2913.1209,
12.32,2813.3722,
12.42,2849.9676,
12.52,2897.433,
12.62,2615.2941,
12.72,2873.6322,
12.82,2986.5732,
12.92,2864.6398,
13.02,2789.113,
13.12,2923.0534,
13.22,2824.7918,
13.32,2795.6575,
13.42,2818.6269,
13.52,2825.7091,
13.62,2819.6337,
13.72,2812.5283,
13.82,2760.2795,
13.92,2837.9489,
14.02,3087.6746,
14.12,2870.6711,
14.22,2856.5138,
14.32,2828.0359,
14.42,2798.0815,
14.52,2920.6341,
14.62,2950.6321,
14.72,2874.4425,
14.82,2796.9035,
14.92,2904.0204,
15.02,2862.6385,
15.12,2847.6684,
15.22,2877.1959,
15.32,2877.5556,
15.42,2835.0019,
15.52,2872.4379,
15.62,2823.7907,
15.72,2852.3596,
15.82,2868.0142,
15.92,2833.389,
16.02,2975.4931,
16.12,2831.4041,
16.22,2879.5163,
16.32,2830.3463,
16.42,2831.3788,
16.52,2797.0597,
16.62,2785.2701,
16.72,2789.0068,
16.82,2629.1976,
16.92,2935.116,
17.02,2930.0623,
17.12,2615.2941,
17.22,2760.515,
17.32,2897.4041,
17.42,2835.6565,
17.52,2797.1933,
17.62,2873.3713,
17.72,2851.4571,
17.82,2830.849,
17.93,2824.998,
18.03,2805.0143,
18.13,2874.0709,
18.23,2727.5856,
18.33,2807.7108,
18.43,2621.4462,
18.53,2888.3952,
18.63,2611.8201,
18.73,2832.4927,
18.83,2629.1976,
18.93,2629.1976,
19.03,2864.6398,
19.13,2757.5277,
19.23,2629.1976,
19.33,2629.1976,
19.43,2784.3218,
19.53,2757.2564,
19.63,2984.9444,
19.73,3000.1165,
19.83,2580.1026,
19.93,2796.1876,
20.03,2849.2465,
20.13,2806.2032,
20.23,2848.4092,
20.33,2615.2941,
20.43,2580.1026,
20.53,2889.3385,
20.63,2783.7322,
20.73,2854.7369,
20.83,2815.0803,
20.93,2637.16,
21.03,2580.1026,
21.13,2621.4462,
21.23,2727.5856,
21.33,2580.1026,
21.43,2901.5701,
21.54,2852.3596,
21.64,2749.7774,
21.74,2629.1976,
21.84,2870.3446,
21.94,2921.5069,
22.04,2611.8201,
22.14,2807.9029,
22.24,2629.1976,
22.34,2846.7721,
22.44,2611.8201,
22.54,2751.6345,
22.64,2851.8879,
22.74,2788.1204,
22.84,2823.7907,
22.94,2923.4205,
23.04,2783.7322,
23.14,2893.8495,
23.24,2835.6565,
23.34,2807.7108,
23.44,2823.8871,
23.54,2580.1026,
23.64,2857.519,
23.74,2580.1026,
23.84,2854.5954,
23.94,2637.16,
24.04,2621.4462,
24.14,2580.1026,
24.24,2580.1026,
24.34,2874.4425,
24.44,2849.2737,
24.54,2860.3646,
24.64,2804.6882,
24.74,2830.6953,
24.84,2611.8201,
24.94,2611.8201,
25.04,2611.8201,
25.14,2580.1026,
25.24,2864.9111,
25.34,2800.0243,
25.44,2637.16,
25.54,2751.6345,
25.64,2822.5174,
25.74,2621.4462,
25.84,2580.1026,
25.94,2611.8201,
26.04,2611.8201,
26.14,2615.2941,
26.24,2637.16,
26.34,2621.4462,
26.44,2629.1976,
26.54,2800.0422,
26.64,2790.5176,
26.74,2822.0219,
26.84,2621.4462,
26.94,2611.8201,
27.04,2770.7953,
27.14,2756.4191,
27.24,2615.2941,
27.34,2621.4462,
27.44,2834.523,
27.54,2861.9746,
27.64,3095.598,
27.74,2621.4462,
27.84,2580.1026,
27.94,2580.1026,
28.04,2835.0019,
28.14,2838.9589,
28.24,2839.5287,
28.34,2789.0068,
28.44,2935.5785,
28.54,2621.4462,
28.64,2825.842,
28.74,2615.2941,
28.84,2629.1976,
28.94,2875.5409,
29.04,2919.0552,
29.14,2860.6592,
29.24,2859.7131,
29.34,2621.4462,
29.44,2611.8201,
29.54,2927.8005,
29.64,2621.4462,
29.74,2580.1026,
29.84,2580.1026,
29.94,2580.1026,
30.04,2580.1026,
30.14,2810.807,
30.24,2580.1026,
30.34,2580.1026,
30.44,2942.1206,
30.54,2580.1026,
30.65,2580.1026,
30.75,2580.1026,
30.85,2580.1026,
30.95,2611.8201,
31.05,2639.9299,
31.15,2900.3579,
31.25,2862.6734,
31.35,2878.4354,
31.45,2929.0184,
31.55,2611.8201,
31.65,2831.1086,
31.75,2580.1026,
31.85,2621.4462,
31.95,2611.8201,
32.05,2611.8201,
32.15,2621.4462,
32.25,2637.16,
32.35,2580.1026,
32.45,2615.2941,
32.55,2611.8201,
32.65,2860.6592,
32.75,2870.4232,
32.85,2580.1026,
32.95,2580.1026,
33.05,2580.1026,
33.15,2580.1026,
33.25,2580.1026,
33.35,2580.1026,
33.45,2580.1026,
33.55,2580.1026,
33.65,2580.1026,
33.75,2580.1026,
33.85,2580.1026,
33.95,2621.4462,
34.05,2846.7721,
34.15,2621.4462,
34.25,2615.2941,
34.35,2799.279,
34.45,2849.9676,
34.55,2780.2325,
34.65,2842.1624,
34.75,2856.0635,
34.85,2629.1976,
34.95,2621.4462,
35.05,2629.1976,
35.15,2621.4462,
35.25,2639.9299,
35.35,2621.4462,
35.45,2621.4462,
35.55,2621.4462,
35.65,2822.2281,
35.75,2745.0924,
35.85,2621.4462,
35.95,2859.6909,
36.05,2621.4462,
36.15,2580.1026,
36.25,2580.1026,
36.35,2580.1026,
36.45,2580.1026,
36.55,2580.1026,
36.65,2637.16,
36.75,2621.4462,
36.85,2621.4462,
36.95,2621.4462,
37.05,2637.16,
37.15,2621.4462,
37.25,2785.0014,
37.35,2629.1976,
37.45,2621.4462,
37.55,2755.0815,
37.65,2611.8201,
