elapsed_sec,best_cost,improvement_pct
0.1,1954.8565,
0.2,1950.2859,
0.3,1949.4004,
0.4,1949.4004,
0.51,1941.5449,
0.61,1939.9499,
0.78,1947.5117,
0.88,1944.5955,
0.98,1944.5955,
1.18,1940.8354,
1.28,1948.3972,
1.38,1944.5955,
1.48,1944.5955,
1.61,1943.1588,
1.71,1941.5449,
1.81,1939.9499,
1.96,1939.9499,
2.06,1939.9499,
2.23,1315.1358,
2.33,1315.1358,
2.43,1315.1358,
2.53,1315.1358,
2.67,1315.1358,
2.77,1315.1358,
2.87,1315.1358,
2.97,1315.1358,
3.14,1315.9131,
3.24,1308.7539,
3.34,1308.7539,
3.44,1308.7539,
3.64,1315.6397,
3.74,1308.7539,
3.84,1308.7539,
3.94,1308.7539,
4.04,1308.7539,
4.2,1313.882,
4.3,1319.4771,
4.4,1308.7539,
4.5,1308.7539,
4.6,1308.7539,
4.75,1313.6086,
4.85,1308.7539,
4.95,1308.7539,
5.05,1308.7539,
5.16,1308.7539,
5.35,1324.1362,
5.45,1317.1669,
5.55,1315.1358,
5.65,1315.1358,
5.79,1317.1669,
5.89,1315.1358,
5.99,1315.1358,
6.14,1317.1669,
6.24,1315.1358,
6.34,1315.1358,
6.49,1319.0081,
6.59,1315.1358,
6.69,1315.1358,
7.11,1941.2523,
7.21,1940.3668,
7.31,1940.3668,
7.43,1310.785,
7.53,1308.7539,
7.63,1308.7539,
7.81,2089.7878,
7.91,2089.7878,
8.07,1940.3668,
8.17,1940.3668,
8.36,1317.1669,
8.46,1315.1358,
8.56,1315.1358,
8.72,1940.3668,
8.82,1940.3668,
9.27,1941.981,
9.37,1939.9499,
9.56,1308.7539,
9.66,1308.7539,
9.76,1308.7539,
9.96,1941.2523,
10.06,1940.3668,
10.56,1315.1358,
10.66,1315.1358,
10.76,1315.1358,
10.89,1939.9499,
10.99,1939.9499,
11.45,1940.3668,
11.55,1940.3668,
11.65,1940.3668,
11.76,1315.1358,
11.86,1315.1358,
11.96,1315.1358,
12.66,1322.0216,
12.76,1315.1358,
12.86,1315.1358,
13.03,1310.785,
13.13,1308.7539,
13.23,1308.7539,
13.69,1940.3668,
13.79,1940.3668,
13.89,1940.3668,
14.28,1315.1358,
14.38,1315.1358,
14.48,1315.1358,
14.64,1313.6086,
14.74,1308.7539,
14.84,1308.7539,
14.94,1308.7539,
15.06,1315.1358,
15.16,1315.1358,
15.26,1315.1358,
15.37,1946.107,
15.47,1940.3668,
15.64,1950.4909,
15.74,1947.5743,
15.93,1315.1358,
16.03,1315.1358,
16.13,1315.1358,
16.31,1317.1669,
16.41,1315.1358,
16.51,1315.1358,
16.65,1315.1358,
16.75,1315.1358,
16.85,1315.1358,
16.99,1308.7539,
17.09,1308.7539,
17.19,1308.7539,
17.37,1950.1929,
17.47,1950.1929,
17.66,1315.1358,
17.76,1315.1358,
17.86,1315.1358,
18.03,1941.2523,
18.13,1940.3668,
18.32,1940.8354,
18.42,1939.9499,
18.52,1939.9499,
18.63,1940.3668,
18.73,1940.3668,
18.91,1317.1669,
19.01,1315.1358,
19.11,1315.1358,
19.26,1941.9618,
19.36,1940.3668,
19.83,1319.0081,
19.93,1315.1358,
20.03,1315.1358,
20.5,1322.295,
20.6,1315.1358,
20.7,1315.1358,
20.86,1315.1358,
20.96,1315.1358,
21.06,1315.1358,
21.22,1318.6154,
21.32,1308.7539,
21.42,1308.7539,
22.17,1940.3668,
22.27,1940.3668,
22.37,1940.3668,
22.48,1315.1358,
22.58,1315.1358,
22.68,1315.1358,
22.85,1940.3668,
22.95,1940.3668,
23.11,1315.1358,
23.21,1315.1358,
23.31,1315.1358,
23.44,1310.785,
23.54,1308.7539,
23.64,1308.7539,
23.83,1318.1844,
23.93,1308.7539,
24.03,1308.7539,
24.21,1317.1669,
24.31,1315.1358,
24.41,1315.1358,
24.54,1941.981,
24.64,1939.9499,
24.83,1940.3668,
24.93,1940.3668,
25.1,1320.2639,
25.2,1315.1358,
25.3,1315.1358,
25.46,1945.5224,
25.56,1945.5224,
25.73,1313.882,
25.83,1308.7539,
25.93,1308.7539,
26.03,1308.7539,
26.15,1324.1362,
26.25,1315.1358,
26.35,1315.1358,
26.52,1940.3668,
26.62,1940.3668,
27.1,1313.6086,
27.2,1308.7539,
27.3,1308.7539,
27.4,1308.7539,
27.52,1315.1358,
27.62,1315.1358,
27.72,1315.1358,
28.1,1310.785,
28.2,1308.7539,
28.3,1308.7539,
28.4,1308.7539,
28.8,1315.9131,
28.9,1308.7539,
29.0,1308.7539,
29.1,1308.7539,
29.22,1950.2859,
29.32,1949.4004,
29.5,1319.9905,
29.6,1315.1358,
29.7,1315.1358,
29.85,1319.0081,
29.95,1315.1358,
30.05,1315.1358,
30.19,1315.1358,
30.29,1315.1358,
30.39,1315.1358,
30.55,1317.1669,
30.65,1315.1358,
30.75,1315.1358,
30.89,1310.785,
30.99,1308.7539,
31.09,1308.7539,
31.19,1308.7539,
31.3,1944.5955,
31.4,1944.5955,
31.56,1319.9905,
31.66,1315.1358,
31.76,1315.1358,
31.93,1323.8628,
32.03,1315.1358,
32.13,1315.1358,
32.29,1315.1358,
32.39,1315.1358,
32.49,1315.1358,
32.65,1941.2523,
32.75,1940.3668,
32.93,1313.6086,
33.03,1308.7539,
33.13,1308.7539,
33.23,1308.7539,
33.34,1945.2215,
33.44,1940.3668,
33.54,1940.3668,
33.66,1315.1358,
33.76,1315.1358,
33.86,1315.1358,
33.99,1313.882,
34.09,1308.7539,
34.19,1308.7539,
34.29,1308.7539,
34.39,1315.1358,
34.49,1315.1358,
34.59,1315.1358,
34.75,1313.6086,
34.85,1308.7539,
34.95,1308.7539,
35.14,1940.3668,
35.24,1940.3668,
35.42,1940.3668,
35.52,1940.3668,
35.99,1952.224,
36.09,1950.1929,
36.19,1950.1929,
36.31,1317.1669,
36.41,1315.1358,
36.51,1315.1358,
36.67,1315.6397,
36.77,1308.7539,
36.87,1308.7539,
36.97,1308.7539,
37.34,1322.0216,
37.44,1315.1358,
37.54,1315.1358,
38.0,1325.8939,
38.1,1315.1358,
38.2,1315.1358,
38.66,1317.1669,
38.76,1315.1358,
38.86,1315.1358,
39.01,1315.1358,
39.11,1315.1358,
39.21,1315.1358,
39.38,1308.7539,
39.48,1308.7539,
39.58,1308.7539,
39.75,1315.1358,
39.85,1315.1358,
39.95,1315.1358,
40.38,1945.2215,
40.48,1940.3668,
40.67,1320.2639,
40.77,1315.1358,
40.87,1315.1358,
41.01,1947.0899,
41.11,1940.3668,
41.21,1940.3668,
41.31,1940.3668,
41.41,1940.3668,
41.51,1940.3668,
41.63,1317.1669,
41.73,1315.1358,
41.83,1315.1358,
41.99,1315.1358,
42.09,1315.1358,
42.19,1315.1358,
42.32,1315.1358,
42.42,1315.1358,
42.52,1315.1358,
42.66,1315.1358,
42.76,1315.1358,
42.86,1315.1358,
43.0,1315.1358,
43.11,1315.1358,
43.21,1315.1358,
43.37,1315.1358,
43.47,1315.1358,
43.57,1315.1358,
43.73,1328.8696,
43.83,1315.1358,
43.93,1315.1358,
44.06,1319.9905,
44.16,1315.1358,
44.26,1315.1358,
44.67,1327.0284,
44.77,1315.1358,
44.87,1315.1358,
45.04,1940.3668,
45.14,1940.3668,
45.31,1941.9618,
45.41,1940.3668,
45.51,1940.3668,
45.62,1941.2523,
45.72,1940.3668,
45.82,1940.3668,
45.93,1308.7539,
46.03,1308.7539,
46.13,1308.7539,
46.33,1315.1358,
46.43,1315.1358,
46.53,1315.1358,
46.94,1315.1358,
47.04,1315.1358,
47.14,1315.1358,
47.25,1315.9131,
47.35,1308.7539,
47.45,1308.7539,
47.55,1308.7539,
47.67,1319.9905,
47.77,1315.1358,
47.87,1315.1358,
48.04,1940.3668,
48.14,1940.3668,
48.32,1308.7539,
48.42,1308.7539,
48.52,1308.7539,
48.62,1308.7539,
48.74,1315.1358,
48.84,1315.1358,
48.94,1315.1358,
49.08,1322.5352,
49.18,1315.1358,
49.28,1315.1358,
49.68,1944.0443,
49.78,1939.9499,
49.88,1939.9499,
49.99,1941.2523,
50.09,1940.3668,
50.2,1940.3668,
