elapsed_sec,best_cost,improvement_pct
0.11,15321.6084,
0.21,15460.3582,
0.32,15562.8627,
0.44,15745.8387,
0.54,15750.7439,
0.67,15702.7632,
0.8,15780.4325,
0.91,15818.6214,
1.01,15559.5089,
1.14,15572.888,
1.26,15435.9724,
1.36,15353.9559,
1.46,15615.9552,
1.56,15316.6193,
1.66,15418.7781,
1.78,15457.444,
1.88,15448.2623,
1.99,15467.5391,
2.09,15314.3275,
2.21,15371.2407,
2.31,15369.9579,
2.41,15366.2563,
2.52,15369.3412,
2.64,15152.8887,
2.75,15219.1257,
2.85,15216.4608,
2.96,15216.4608,
3.06,15038.5987,
3.17,14989.5956,
3.27,15000.9854,
3.37,14977.4113,
3.49,14910.1373,
3.59,14890.5291,
3.69,15143.6268,
3.79,15162.5174,
3.9,15185.9703,
4.03,15258.5525,
4.13,15588.9492,
4.23,15330.2671,
4.35,15222.8972,
4.45,15164.7004,
4.57,15054.3924,
4.67,15166.1831,
4.8,15446.8003,
4.91,15155.6311,
5.01,15083.8875,
5.14,14686.9083,
5.25,14750.8824,
5.37,14693.9844,
5.48,14548.3496,
5.58,14579.5385,
5.68,14589.016,
5.79,14554.6904,
5.89,14559.9266,
6.01,14552.5324,
6.11,14553.1086,
6.21,14565.3732,
6.31,14564.797,
6.43,14765.518,
6.54,14625.9127,
6.64,14621.8702,
6.75,14588.6414,
6.85,14588.6414,
6.95,14580.9784,
7.05,14516.8543,
7.15,14370.6215,
7.27,14370.6215,
7.37,14372.29,
7.47,14386.2069,
7.57,14687.9399,
7.68,15029.4712,
7.8,14995.2587,
7.9,15057.5366,
8.02,14679.5563,
8.13,14623.0156,
8.24,14653.7509,
8.34,14598.7677,
8.45,13891.9598,
8.56,13854.992,
8.7,13912.4623,
8.82,13892.3014,
8.93,13926.2014,
9.03,13930.6269,
9.13,14035.9084,
9.23,14046.4512,
9.33,14046.4512,
9.45,14054.217,
9.56,14146.4221,
9.66,14168.3272,
9.78,14171.5435,
9.9,14141.2083,
10.0,14144.3313,
10.11,14187.3319,
10.22,14194.8453,
10.32,14233.0596,
10.43,14189.0517,
10.56,14183.4991,
10.66,14201.5407,
10.76,14229.272,
10.86,14155.1244,
10.96,14102.3699,
11.07,13914.1531,
11.18,13914.1531,
11.28,14177.4143,
11.4,14193.9695,
11.5,14193.1681,
11.6,14207.2431,
11.71,14283.7442,
11.81,14107.695,
11.93,14189.0978,
12.05,14196.352,
12.15,13963.082,
12.27,13952.1179,
12.37,13970.4581,
12.48,14025.4816,
12.59,14050.408,
12.7,14100.6496,
12.81,14060.9721,
12.91,13999.6994,
13.02,14064.0093,
13.13,14061.9085,
13.23,13795.5277,
13.34,13822.6864,
13.45,13827.1849,
13.55,13822.175,
13.66,13846.8705,
13.77,13832.1321,
13.88,13803.2496,
13.98,13891.8069,
14.09,13883.3502,
14.19,13847.8272,
14.3,13836.1909,
14.4,13838.3187,
14.5,13786.3523,
14.66,13820.6719,
14.76,13826.0379,
14.87,13790.9684,
14.97,13883.429,
15.09,13845.0563,
15.2,13845.0563,
16.22,13840.832,
16.34,13821.3762,
16.45,13798.3195,
16.56,13798.3195,
16.66,13866.6943,
16.77,13825.1009,
