elapsed_sec,best_cost,improvement_pct
31.77,6864.2406,
31.87,6909.0533,
32.02,6909.8821,
32.12,6901.0342,
32.24,6991.797,
32.4,6991.797,
32.53,7128.9682,
32.63,7375.1343,
32.73,7381.0295,
32.83,7372.8688,
32.93,7375.0085,
33.04,7480.8209,
33.16,7480.8209,
33.28,7488.7423,
33.38,7488.7423,
33.5,7450.7576,
33.6,7458.4098,
33.7,7452.2824,
33.8,7450.8146,
33.93,7450.8146,
34.03,7449.0487,
34.14,7213.8695,
34.25,7227.8474,
34.37,7224.4038,
34.47,7227.5973,
34.59,6987.5121,
34.74,6968.6184,
34.86,6986.9308,
35.01,6978.818,
35.11,6974.9926,
35.22,6946.4139,
35.33,6993.1074,
35.43,6985.8771,
35.53,6973.2692,
35.68,6968.8379,
35.78,6971.2309,
35.88,6966.9294,
35.98,6966.9294,
36.11,6936.6691,
36.21,6947.0214,
36.31,6953.9483,
36.44,6953.9483,
36.54,6951.0829,
36.65,6967.1959,
36.77,6967.1959,
36.87,6967.1959,
36.98,6956.4575,
37.08,6960.2986,
37.21,7037.6629,
37.35,7043.5428,
37.45,7037.7,
37.57,7032.619,
37.69,7022.4714,
37.82,7007.6204,
37.92,6992.2456,
38.03,6997.3956,
38.16,7025.3465,
38.26,7029.4281,
38.37,7001.0286,
38.48,6996.4972,
38.61,6997.3906,
38.71,6985.3465,
38.82,6985.3465,
38.92,6985.3465,
39.02,6985.9557,
39.13,6985.9557,
39.24,7010.8462,
39.35,7016.9929,
39.45,7016.9929,
39.59,7000.089,
39.72,7021.0819,
39.82,7038.9113,
39.93,7027.4586,
40.05,7039.6033,
40.16,7025.3362,
40.27,7017.4684,
40.37,6998.4066,
40.47,6998.4066,
40.59,6995.8873,
40.69,6996.7906,
40.79,6996.7906,
40.92,6997.1723,
41.02,7008.7629,
41.15,7009.5101,
41.26,6993.8907,
41.36,6995.4692,
41.49,6991.0188,
41.59,6991.0188,
41.7,6999.3824,
41.81,6989.4532,
41.91,6982.8573,
42.01,6982.8573,
42.11,6989.4485,
42.21,6983.2631,
42.31,6998.0427,
42.42,7002.6705,
42.52,7003.0658,
42.63,7006.4334,
42.74,7002.1803,
42.84,6992.6939,
42.98,6994.2903,
43.09,7008.4849,
43.21,7027.8663,
43.31,7026.5984,
43.41,6892.8959,
43.52,6641.435,
43.65,6641.435,
43.76,6645.8684,
43.86,6645.8684,
43.97,6647.166,
44.07,6654.5623,
44.17,6648.0607,
44.27,6652.7462,
44.38,6652.7462,
44.49,6658.589,
44.6,6649.8298,
44.71,6649.8298,
44.81,6649.8298,
44.91,6647.5474,
45.01,6633.0169,
45.11,6629.7344,
45.21,6632.0168,
45.32,6633.0169,
45.43,6633.0169,
45.55,6633.0169,
45.66,6626.6194,
45.76,6643.6191,
45.88,6643.978,
45.98,6643.978,
46.09,6643.978,
46.22,6643.978,
46.33,6640.3731,
46.43,6649.3227,
46.54,6649.3227,
46.66,6649.3227,
46.76,6649.5733,
46.86,6649.5733,
47.0,6656.2275,
47.12,6657.4304,
47.24,6668.1458,
47.34,6657.6357,
47.44,6657.6357,
47.54,6664.1653,
47.64,6664.6003,
47.75,6629.4065,
47.88,6662.7793,
47.99,6659.0615,
48.1,6662.4999,
48.23,6657.1308,
48.33,6651.0839,
48.43,6651.0839,
48.55,6654.2083,
48.65,6653.8494,
48.77,6653.8494,
48.89,6651.3105,
48.99,6651.3105,
49.1,6653.9486,
49.2,6653.9486,
49.3,6654.0554,
49.41,6650.0949,
49.52,6650.0949,
49.65,6650.5827,
49.75,6608.8504,
49.86,6622.9849,
49.97,6622.0904,
50.07,6615.4974,
50.19,6612.4634,
50.3,6614.8776,
50.41,6614.8776,
50.52,6614.8776,
50.63,6614.3426,
50.74,6614.3426,
50.88,6614.3426,
50.98,6611.5695,
51.14,6611.5695,
51.24,6611.5695,
51.36,6612.2011,
51.47,6601.8119,
51.57,6601.8119,
51.68,6601.8119,
51.8,6612.2385,
51.9,6600.0697,
52.0,6600.0697,
52.15,6600.0697,
52.25,6600.0697,
52.41,6595.9319,
52.52,6595.9319,
52.62,6600.0647,
52.72,6600.0647,
52.82,6600.0647,
52.92,6595.9319,
53.03,6595.9319,
53.15,6596.2944,
53.25,6596.2944,
53.35,6596.2944,
53.48,6596.2944,
53.65,6596.2944,
53.76,6596.2944,
53.86,6599.91,
53.97,6599.91,
54.07,6595.4502,
54.17,6605.6181,
54.27,6605.6181,
54.38,6606.2204,
54.48,6606.2204,
54.58,6616.8806,
54.69,6616.8806,
54.79,6616.8806,
54.89,6617.9013,
55.02,6617.9013,
55.13,6616.8806,
55.23,6617.9013,
55.33,6616.8806,
55.62,6616.8806,
55.76,6616.8806,
55.88,6616.3165,
55.98,6615.4239,
56.09,6615.4239,
56.2,6615.4239,
56.32,6611.9821,
56.42,6611.3798,
56.53,6608.0029,
56.63,6608.0029,
56.73,6608.3559,
56.84,6603.8763,
56.94,6611.527,
57.06,6611.527,
57.17,6589.165,
57.27,6580.3594,
57.42,6580.3594,
57.52,6572.6788,
57.63,6572.6788,
57.73,6572.4245,
57.84,6572.4245,
57.95,6572.4245,
58.06,6576.9041,
58.16,6576.0548,
58.28,6576.0548,
58.38,6576.0548,
58.49,6577.0029,
58.59,6577.0029,
58.74,6572.5395,
58.85,6572.5395,
58.97,6571.5458,
59.11,6571.5458,
59.23,6571.5458,
59.33,6571.5458,
59.43,6571.5458,
59.57,6571.5458,
59.7,6571.5458,
59.8,6571.5458,
59.9,6571.5458,
