elapsed_sec,best_cost,improvement_pct
0.13,7043.0172,
0.24,7056.3757,
0.37,7056.3757,
0.48,7064.2268,
0.6,7058.8921,
0.7,7068.1426,
0.8,7170.9373,
0.9,7171.5095,
1.0,7179.1415,
1.15,7172.9002,
1.25,7180.8378,
1.35,7184.6393,
1.46,7180.6505,
1.57,7180.6505,
1.67,7168.2657,
1.87,7168.2657,
1.98,7165.413,
2.09,7165.413,
2.19,6928.0505,
2.29,6929.9322,
2.39,6924.9886,
2.54,6971.9776,
2.65,6979.6298,
2.77,6975.9839,
2.87,6987.3855,
2.98,6965.7903,
3.1,6962.2324,
3.21,6960.392,
3.31,7003.6411,
3.42,6999.3368,
3.58,6999.3368,
3.68,7003.4302,
3.83,7003.4302,
3.94,7009.298,
4.04,7000.7541,
4.15,7003.4627,
4.26,6993.2081,
4.37,7007.7784,
4.48,6985.4615,
4.59,6985.4615,
4.69,6998.0499,
4.79,6998.5081,
4.89,7011.0507,
5.02,7009.1693,
5.16,7008.7304,
5.27,6998.3159,
5.37,6974.5606,
5.5,6970.5665,
5.6,6971.4506,
5.81,6987.3373,
5.92,6992.5166,
6.02,6992.2488,
6.21,6990.2962,
6.35,6986.2081,
6.46,6947.8176,
6.57,6947.8176,
6.68,6945.3719,
6.82,6945.3719,
6.92,6945.3719,
7.03,6952.0667,
7.21,6949.3581,
7.31,6962.4055,
7.41,6962.4055,
7.56,6962.4055,
7.66,6959.8923,
7.78,6953.8685,
7.92,6948.0728,
8.03,6952.6042,
8.15,6839.6741,
8.25,6839.6741,
8.36,6629.3393,
8.47,6634.9041,
8.58,6629.3393,
8.69,6616.2641,
8.79,6586.2298,
8.89,6587.3948,
9.01,6587.3948,
9.12,6576.0889,
9.27,6576.0889,
9.39,6576.0889,
9.49,6572.6833,
9.59,6572.6833,
9.69,6575.94,
9.8,6563.8659,
9.9,6563.8659,
10.01,6563.8659,
10.12,6563.8659,
10.26,6563.8659,
10.37,6563.8659,
10.5,6563.8659,
10.61,6563.8659,
10.72,6563.8659,
10.82,6563.8659,
10.92,6565.244,
11.03,6558.8134,
11.14,6558.8134,
11.24,6558.8134,
11.35,6558.8134,
11.46,6558.8134,
11.63,6558.8134,
11.77,6558.8134,
11.88,6558.8134,
12.01,6558.8134,
12.11,6558.8134,
12.29,6558.8134,
12.39,6558.8134,
12.5,6558.8134,
12.6,6558.8134,
12.71,6558.8134,
12.81,6558.8134,
12.98,6558.8134,
13.16,6558.8134,
13.28,6558.8134,
13.4,6558.8134,
13.5,6558.8134,
13.6,6558.8134,
13.71,6558.8134,
13.82,6558.8134,
13.92,6558.8134,
14.02,6558.8134,
14.12,6558.8134,
14.23,6558.8134,
14.34,6558.8134,
14.44,6558.8134,
14.59,6558.8134,
14.71,6558.8134,
14.81,6558.8134,
14.96,6558.8134,
15.14,6558.8134,
15.24,6558.8134,
15.35,6558.8134,
15.46,6558.8134,
15.57,6558.8134,
15.68,6558.8134,
15.8,6558.8134,
15.96,6558.8134,
16.06,6558.8134,
16.16,6558.8134,
16.27,6558.8134,
16.37,6558.8134,
16.48,6558.8134,
16.58,6558.8134,
16.69,6558.8134,
16.79,6558.8134,
16.91,6558.8134,
17.03,6558.8134,
17.15,6558.8134,
17.25,6558.8134,
17.36,6558.8134,
17.5,6558.8134,
17.6,6558.8134,
17.71,6558.8134,
17.81,6558.8134,
17.93,6558.8134,
18.05,6558.8134,
18.16,6558.8134,
18.28,6558.8134,
18.39,6558.8134,
18.5,6558.8134,
18.62,6558.8134,
18.73,6558.8134,
18.83,6558.8134,
18.95,6558.8134,
19.07,6558.8134,
19.17,6558.8134,
19.28,6558.8134,
19.38,6558.8134,
19.48,6558.8134,
19.6,6558.8134,
19.7,6558.8134,
19.83,6558.8134,
20.0,6558.8134,
20.12,6558.8134,
20.22,6558.8134,
20.32,6558.8134,
20.42,6558.8134,
20.57,6558.8134,
20.67,6558.8134,
20.78,6558.8134,
20.89,6558.8134,
20.99,6558.8134,
21.11,6558.8134,
21.21,6558.8134,
21.32,6558.8134,
21.45,6558.8134,
21.56,6558.8134,
21.67,6558.8134,
21.77,6558.8134,
21.87,6558.8134,
21.99,6558.8134,
22.1,6558.8134,
22.24,6558.8134,
22.35,6558.8134,
22.45,6558.8134,
22.62,6558.8134,
22.72,6558.8134,
22.84,6558.8134,
22.94,6558.8134,
23.04,6558.8134,
23.15,6558.8134,
23.26,6558.8134,
23.37,6558.8134,
23.48,6558.8134,
23.58,6558.8134,
23.68,6558.8134,
23.97,6884.9579,
24.07,6964.5894,
24.17,7035.3585,
24.27,7052.4058,
24.37,7050.5246,
24.47,7146.0647,
24.59,7103.5051,
24.72,7104.8719,
24.83,6623.5709,
24.93,6623.5709,
25.04,6622.6673,
25.15,6630.0942,
25.27,6630.0942,
25.37,6630.0942,
25.49,6630.0942,
25.6,6758.8249,
25.77,6783.7058,
25.93,6772.151,
26.05,6768.4737,
26.15,6758.8468,
26.25,6762.3137,
26.35,6682.9099,
26.46,6680.111,
26.56,6675.483,
26.66,6665.6866,
26.78,6671.8701,
26.89,6671.8701,
26.99,6678.4741,
27.11,6686.1141,
27.27,6677.8187,
27.37,6690.4718,
27.48,6701.0287,
27.61,6712.7125,
27.71,6712.7125,
27.83,6699.7156,
27.93,6691.6715,
28.03,6678.2729,
28.16,6678.2729,
28.27,6681.7702,
28.39,6669.9898,
28.49,6669.9898,
28.62,6669.9898,
28.73,6660.3225,
28.84,6664.6884,
28.94,6655.0059,
29.11,6657.1858,
29.25,6655.0059,
29.36,6657.6194,
29.47,6657.939,
29.59,6661.6249,
29.69,6644.8922,
29.86,6645.0563,
29.99,6645.0563,
30.14,6640.9809,
30.25,6640.9809,
30.36,6640.9809,
30.46,6635.5401,
30.56,6635.5401,
30.68,6527.9681,
30.78,6527.9681,
30.9,6527.9681,
31.0,6527.9681,
31.1,6531.2033,
31.2,6527.9681,
31.3,6527.9681,
31.41,6518.2206,
31.56,6519.2823,
31.66,6522.6065,
31.8,6523.7992,
31.95,6522.6065,
32.12,6522.6065,
32.25,6520.8106,
32.35,6522.2476,
32.45,6518.4677,
32.56,6518.4677,
32.66,6520.6476,
32.78,6520.4835,
32.88,6520.4835,
32.99,6520.4835,
33.09,6518.3036,
33.2,6518.3036,
33.31,6518.3036,
33.41,6518.3036,
33.51,6509.8569,
33.62,6509.8569,
33.72,6509.8569,
33.83,6509.8569,
33.95,6509.8569,
34.07,6509.8569,
34.18,6509.8569,
34.28,6510.8712,
34.38,6510.8712,
34.49,6510.8712,
34.61,6510.8712,
34.71,6510.8712,
34.81,6488.2438,
34.92,6488.2438,
35.04,6488.2438,
35.15,6488.2438,
35.27,6488.2438,
35.4,6488.2438,
