elapsed_sec,best_cost,improvement_pct
0.16,6833.4574,
0.33,7169.799,
0.45,6823.2341,
0.58,6823.2341,
0.72,6876.5219,
0.82,7020.2959,
0.92,6985.4436,
1.06,6985.4436,
1.19,6985.4436,
1.32,6985.4436,
1.42,6958.1761,
1.54,6954.622,
1.66,7078.1834,
1.76,7067.7694,
1.86,7380.207,
1.99,7081.1969,
2.11,7083.0657,
2.26,7080.0543,
2.37,7078.9401,
2.47,7046.4662,
2.57,7046.4662,
2.73,7041.6134,
2.84,7041.6134,
2.94,7056.1338,
3.09,7063.1481,
3.2,7063.1481,
3.3,6999.2318,
3.4,6999.6864,
3.51,7051.9274,
3.62,6976.7833,
3.72,6973.1028,
3.82,7004.845,
3.92,7027.0048,
4.03,7027.0048,
4.21,7033.8416,
4.42,7046.8014,
4.57,7043.1983,
4.67,7042.3599,
4.77,7042.3599,
4.88,7563.7026,
4.99,7556.5918,
5.09,7539.2147,
5.24,7532.7341,
5.35,7893.7617,
5.45,7434.6961,
5.55,7217.6046,
5.66,7208.4692,
5.76,7210.6074,
5.86,7184.002,
5.98,7177.3374,
6.08,7177.3374,
6.18,7190.952,
6.37,7187.4539,
6.59,7190.3244,
6.75,7196.2594,
6.86,7196.2594,
6.96,7165.955,
7.08,7165.955,
7.18,7279.1207,
7.28,7263.8517,
7.5,7281.0839,
7.61,7285.6153,
7.71,7288.5981,
7.85,7288.6873,
7.96,7206.6956,
8.06,7205.742,
8.18,7259.7953,
8.29,7255.2141,
8.42,7255.2141,
8.53,7250.0248,
8.63,7245.1103,
8.84,7246.6656,
8.94,7246.6656,
9.04,7242.1889,
9.14,6989.8462,
9.26,6992.2301,
9.36,6992.9064,
9.47,6961.3991,
9.57,6969.6136,
9.73,6967.6398,
9.85,6990.8042,
9.98,6990.8042,
10.16,6983.5662,
10.26,6985.3292,
10.38,7007.3051,
10.49,7025.0967,
10.62,6910.3532,
10.72,7103.1368,
10.84,7083.5793,
10.95,7083.5793,
11.07,7083.5793,
11.22,7083.5793,
11.33,7083.5793,
11.44,7092.3949,
11.57,7061.6244,
11.67,7055.8165,
11.84,7115.8872,
11.94,7121.3178,
12.1,6609.2888,
12.21,6614.5124,
12.32,6613.0058,
12.44,6611.879,
12.56,6608.6875,
12.66,6922.5315,
12.76,6685.4236,
12.87,6701.3103,
12.98,6710.5755,
13.11,7072.0047,
13.22,6969.325,
13.32,6968.2703,
13.42,6959.7082,
13.53,6952.6954,
13.63,6943.7529,
13.79,6682.8729,
13.9,6686.5978,
14.02,6923.9936,
14.12,6923.9936,
14.25,6923.9936,
14.35,6934.9588,
14.45,6925.0066,
14.55,6926.7202,
14.65,6952.0017,
14.77,6696.0379,
14.87,6644.5794,
14.98,6679.7336,
15.09,6673.3113,
15.2,6672.6981,
15.3,6666.7489,
15.43,6672.5949,
15.54,6675.3819,
15.65,6693.0137,
15.75,6674.1937,
15.94,6665.2896,
16.05,6668.1533,
16.24,6668.1533,
16.34,6672.8819,
16.44,6673.4157,
16.55,6672.7685,
16.66,6680.4572,
16.76,6665.4143,
16.89,6665.4143,
17.0,6580.6322,
17.1,6580.6322,
17.2,6602.7308,
17.31,6597.8981,
17.41,6837.4126,
17.51,7103.3172,
17.61,7091.0821,
17.74,6878.8249,
17.86,6873.3408,
17.98,6873.3408,
18.08,6880.9977,
18.26,6895.6644,
18.38,6866.6511,
18.48,6867.6666,
18.6,6867.6666,
18.71,6888.7034,
18.81,6895.1257,
18.91,6887.6516,
19.01,6884.3175,
19.16,6880.676,
19.33,6897.1723,
19.43,6874.6145,
19.55,6874.6145,
19.66,7233.9974,
19.81,7238.3465,
19.93,7204.5258,
20.05,7197.9246,
20.16,7064.6081,
20.28,7105.9779,
20.38,7100.4372,
20.53,7106.723,
20.63,7151.8746,
20.76,7221.0986,
20.86,7197.9189,
20.99,7201.2653,
21.1,6893.7136,
21.22,6967.9188,
21.33,6959.0018,
21.43,6984.3327,
21.54,6957.5156,
21.66,6959.4883,
21.76,6798.2372,
21.86,6799.5197,
22.01,6799.8916,
22.11,7013.6784,
22.23,7021.8195,
22.37,7015.1392,
22.49,7055.8601,
22.6,7054.6501,
22.7,7032.0482,
22.83,6870.4002,
22.93,6822.6331,
23.04,6903.5838,
23.14,6914.9211,
23.24,6849.3513,
23.34,6837.3936,
23.45,6818.772,
23.56,6826.4072,
23.67,6829.8836,
23.82,6795.3607,
23.92,6780.5733,
24.03,6913.0584,
24.13,6914.2136,
24.23,6906.9756,
24.34,6915.4144,
24.44,6911.3318,
24.54,6906.6973,
24.69,6912.9136,
24.8,6912.9136,
24.91,6928.3788,
25.03,6945.8253,
25.14,6945.8253,
25.25,6949.5079,
25.35,6947.3767,
25.46,6902.4129,
25.56,6641.5793,
25.67,6652.8362,
25.79,6648.7523,
25.91,6377.6873,
26.04,6396.8516,
26.16,6435.3191,
26.26,6435.3191,
26.36,6415.4747,
26.47,6416.8143,
26.57,6380.2334,
26.72,6382.749,
26.86,6380.7788,
26.96,6396.0905,
27.07,6392.0743,
27.18,6392.0743,
27.28,6392.0743,
27.39,6405.0431,
27.49,6400.4623,
27.61,6422.323,
27.72,6419.8238,
27.82,6472.3349,
27.97,6468.6566,
28.08,6453.7895,
28.19,6455.6574,
28.3,6460.2666,
28.41,6460.2666,
28.58,6458.9053,
28.7,6458.9053,
28.81,6458.9053,
28.96,6447.6073,
29.07,6399.0909,
29.22,6672.2228,
29.33,6664.8473,
29.54,6664.8473,
29.66,6672.6359,
29.77,6662.6628,
29.89,6668.3184,
29.99,6668.3184,
30.11,6664.6658,
30.21,6639.5261,
30.33,6655.3194,
30.46,6675.6116,
30.57,6672.626,
30.68,6666.5287,
30.79,6658.1687,
30.95,6662.8438,
31.06,6650.027,
31.18,6651.6616,
31.28,6676.4824,
31.4,6643.5489,
31.52,6642.6984,
31.63,6631.7689,
31.73,6631.7689,
31.86,6662.1464,
31.96,6640.2036,
32.07,6644.137,
32.18,6613.725,
32.3,6654.1451,
32.42,6660.9998,
32.52,6609.9057,
32.63,6609.9057,
32.73,6609.9057,
32.85,6622.3655,
32.95,6609.2334,
33.05,6602.3787,
33.15,6600.259,
33.26,6604.9833,
33.36,6627.9172,
33.47,6616.9143,
33.59,6542.5616,
33.69,6556.8877,
33.8,6559.4631,
33.91,6561.2276,
34.01,6520.807,
34.12,6507.5865,
34.25,6454.9785,
34.35,6454.9785,
34.47,6521.5279,
34.58,6521.6562,
34.71,6556.7162,
34.82,6547.2873,
34.93,6547.2873,
35.04,6553.4635,
35.15,6583.7628,
35.25,6561.9113,
35.35,6546.993,
35.54,6550.2386,
35.66,6560.2331,
35.77,6555.0525,
35.87,6553.2774,
35.98,6546.5314,
36.12,6546.4417,
36.27,6549.9089,
36.37,6533.2462,
36.47,6539.754,
36.57,6539.754,
36.68,6556.5524,
36.8,6541.3303,
36.9,6557.8632,
37.01,6550.6801,
37.11,6602.9092,
37.22,6378.1361,
37.37,6383.1996,
37.47,6436.6583,
37.58,6444.3123,
37.68,6432.9275,
37.79,6429.7533,
38.03,6341.3794,
38.15,6333.0205,
38.57,6353.2071,
38.67,6381.1024,
38.77,6388.783,
38.88,6388.783,
38.98,6376.859,
39.1,6585.6089,
39.24,6586.0782,
39.34,7033.2609,
39.45,7024.9576,
39.56,6604.1626,
39.71,6408.4803,
39.82,6408.4803,
39.94,6364.8148,
40.11,6371.4626,
40.21,6693.1393,
40.31,6690.5274,
40.45,6351.3809,
40.55,6351.3809,
40.66,6358.2721,
40.77,6344.7083,
40.88,6344.7083,
41.02,6344.7083,
41.12,6356.576,
41.24,6358.9839,
41.38,6358.9839,
41.5,6361.2014,
41.6,6357.7979,
41.74,6357.1722,
41.88,6362.9592,
41.98,6368.2913,
42.09,6368.4444,
42.2,6627.7985,
42.33,6667.2716,
42.49,6667.2716,
42.61,6656.9463,
42.73,6425.1454,
42.83,6423.9431,
42.93,6439.8532,
43.04,6420.8539,
43.14,6420.8539,
43.25,6420.8539,
43.35,6413.5793,
43.49,6413.5793,
43.6,6413.5793,
43.71,6413.5793,
43.82,6422.2642,
43.93,6423.9748,
44.03,6465.8325,
44.13,6425.0406,
44.26,6416.088,
44.37,6384.418,
44.47,6361.3992,
44.58,6746.7192,
44.69,6344.2996,
44.85,6344.2996,
44.95,6417.9794,
45.05,6397.2294,
45.2,6398.9812,
45.3,6350.576,
45.41,6391.5659,
45.53,6426.8477,
45.69,6423.2431,
45.8,6427.7769,
45.91,6418.9839,
46.01,6433.4205,
46.12,6434.9402,
46.22,6422.3613,
46.35,6422.3613,
46.45,6422.2512,
46.56,6422.3613,
46.66,6654.7829,
46.78,6682.8856,
46.88,6684.6467,
46.99,6680.7006,
47.15,6682.6657,
47.25,6820.828,
47.36,6824.2329,
47.46,6590.9993,
47.57,6873.932,
47.68,6873.932,
47.78,6574.2533,
47.89,6574.2533,
48.03,6788.4079,
48.14,6674.2444,
48.24,6647.1703,
48.34,6644.6554,
48.46,6644.6554,
48.58,6699.7513,
48.7,6698.6976,
48.82,6691.7878,
48.92,6691.7878,
49.02,6691.7878,
49.15,6696.6314,
49.26,6695.7983,
49.36,6682.6037,
49.46,6682.6037,
49.56,6682.6037,
49.67,6676.7052,
49.77,6417.3107,
49.87,6417.3107,
49.97,6469.5595,
50.09,6520.6096,
60.05,6329.9416,
