elapsed_sec,best_cost,improvement_pct
0.1,9236.6921,
0.21,9231.6419,
0.31,9231.6419,
0.41,9231.6419,
0.51,9231.6419,
0.61,9231.6419,
0.71,9231.6419,
0.81,9231.6419,
0.91,9231.6419,
1.02,9231.6419,
1.12,9231.6419,
1.22,9231.6419,
1.32,9231.6419,
1.42,9231.6419,
1.53,9231.6419,
1.63,9231.6419,
1.73,9231.6419,
1.83,9231.6419,
1.94,9231.6419,
2.04,9231.6419,
2.14,9231.6419,
2.25,9231.6419,
2.35,9231.6419,
2.46,9231.6419,
2.56,9231.6419,
2.66,9231.6419,
2.76,9231.6419,
2.86,9231.6419,
2.97,9231.6419,
3.07,9231.6419,
3.17,9231.6419,
3.27,9231.6419,
3.37,9231.6419,
3.47,9231.6419,
3.57,9231.6419,
3.68,9231.6419,
3.78,9231.6419,
3.88,9231.6419,
3.98,9231.6419,
4.08,9231.6419,
4.18,9231.6419,
4.28,9231.6419,
4.38,9231.6419,
4.48,9231.6419,
4.59,9231.6419,
4.69,9231.6419,
4.79,9231.6419,
4.89,9231.6419,
5.0,9231.6419,
5.1,9231.6419,
5.2,9231.6419,
5.3,9231.6419,
5.4,9231.6419,
5.5,9231.6419,
5.61,9231.6419,
5.71,9231.6419,
5.81,9231.6419,
5.91,9231.6419,
6.01,9231.6419,
6.11,9231.6419,
6.21,9231.6419,
6.31,9231.6419,
6.42,9231.6419,
6.52,9231.6419,
6.62,9231.6419,
6.72,9231.6419,
6.82,9231.6419,
6.92,9231.6419,
7.02,9231.6419,
7.13,9231.6419,
7.23,9231.6419,
7.33,9231.6419,
7.43,9231.6419,
7.54,9231.6419,
7.64,9231.6419,
7.74,9231.6419,
7.84,9231.6419,
7.94,9231.6419,
8.04,9231.6419,
8.14,9231.6419,
8.25,9231.6419,
8.35,9231.6419,
8.45,9231.6419,
8.55,9231.6419,
8.65,9231.6419,
8.75,9231.6419,
8.85,9231.6419,
8.95,9231.6419,
9.06,9231.6419,
9.16,9231.6419,
9.26,9231.6419,
9.36,9231.6419,
9.46,9231.6419,
9.56,9231.6419,
9.67,9231.6419,
9.77,9231.6419,
