elapsed_sec,best_cost,improvement_pct
0.12,9261.283,
0.23,9282.1242,
0.33,9213.9027,
0.46,9034.1267,
0.57,9019.9239,
0.69,9029.0134,
0.82,9051.6926,
0.95,9107.7437,
1.09,9170.5229,
1.2,9351.4944,
1.31,9222.6354,
1.41,9231.7249,
1.51,9222.6354,
1.63,9190.8667,
1.74,9183.4563,
1.84,9126.0956,
1.95,9067.0335,
2.05,9079.1812,
2.17,9068.5133,
2.27,9100.282,
2.41,9268.0268,
2.54,9115.3983,
2.66,9192.4547,
2.78,9178.1473,
2.9,9186.471,
3.01,9186.3883,
3.14,9164.1442,
3.24,9151.4643,
3.37,9108.6941,
3.5,9108.1763,
3.62,9108.1094,
3.72,9108.3468,
3.83,9107.3995,
3.94,9105.1718,
4.05,9102.5159,
4.16,9128.5566,
4.28,9124.5809,
4.39,9101.7276,
4.49,9102.6749,
4.61,9086.4356,
4.73,9092.7248,
4.84,9087.7932,
4.94,9103.2179,
5.06,9087.7932,
5.16,9130.3911,
5.32,9107.4729,
5.44,9106.6113,
5.57,9112.9005,
5.69,9144.1751,
5.82,9112.9005,
5.93,9132.5064,
6.05,9127.1528,
6.18,9104.2346,
6.31,9095.1737,
6.42,9101.4629,
6.53,9098.807,
6.65,9110.0489,
6.77,9129.6548,
6.88,9119.0135,
7.0,9141.9317,
7.11,9124.9381,
7.23,9111.139,
7.34,9125.6144,
7.46,9099.8971,
7.59,9108.089,
7.71,9092.4588,
7.81,9103.182,
7.93,9109.8909,
8.04,9107.413,
8.15,9139.3218,
8.26,9107.413,
8.39,9159.0922,
8.5,9165.242,
8.61,9180.951,
8.73,9163.218,
8.85,9174.5299,
8.96,9184.1175,
9.07,9151.394,
9.17,9143.2021,
9.27,9143.6427,
9.37,9180.1298,
9.49,9133.251,
9.59,9146.5816,
9.7,9149.8982,
9.82,9144.3504,
9.95,9146.6346,
10.07,9144.5663,
10.17,9150.1968,
10.28,9159.2863,
10.39,9155.7446,
10.49,9150.1968,
10.62,9134.7203,
10.73,9140.2681,
10.84,9125.006,
10.95,9125.6647,
11.05,9125.2449,
11.16,9121.7032,
11.27,9116.1554,
11.39,9124.6025,
11.52,9089.6461,
11.64,9089.2697,
11.75,9089.2028,
11.87,9103.2239,
12.0,9099.6822,
12.11,9094.1344,
12.23,9085.2344,
12.34,9090.7822,
12.47,9094.5094,
12.58,9082.9369,
12.68,9083.0851,
12.8,9092.1746,
12.9,9083.152,
13.01,9098.0769,
13.13,9092.596,
13.27,9103.0789,
13.37,9104.5366,
13.5,9111.0203,
13.62,9127.4768,
13.74,9129.0519,
13.85,9126.574,
13.95,9141.9987,
14.06,9126.574,
14.19,9167.2737,
14.31,9065.6037,
14.43,9105.1136,
14.54,9100.9432,
14.64,9112.8801,
14.77,9096.8926,
14.89,9096.8926,
15.02,9057.7899,
15.12,9061.726,
15.24,9075.5885,
15.34,9065.413,
15.47,9087.6552,
15.61,9114.1875,
15.72,9139.7957,
15.83,9181.8678,
15.94,9182.4118,
16.05,9192.7035,
16.18,9229.2906,
16.29,9213.1465,
16.39,9190.2283,
16.52,9225.7105,
16.65,9184.7292,
16.76,9185.9858,
16.86,9201.4105,
16.98,9179.642,
17.1,9179.642,
17.2,9159.5477,
17.33,9110.4328,
17.43,9115.7907,
17.56,9121.7153,
17.68,9103.7408,
17.78,9103.5703,
17.91,9112.5929,
18.04,9076.1251,
18.15,9063.4551,
18.28,9063.4551,
18.38,9057.1659,
18.49,9057.2328,
18.6,9060.4932,
18.71,9053.8209,
18.83,9057.9426,
18.96,9055.4863,
19.09,9055.4863,
19.23,9055.4863,
19.34,9055.4863,
19.45,9053.4156,
19.56,9054.9409,
19.67,9061.6132,
19.78,9067.9024,
19.92,9073.7682,
20.04,9073.7682,
20.16,9072.749,
20.28,9071.2237,
20.39,9084.7179,
20.5,9045.3564,
20.62,9054.9905,
20.73,9045.4972,
20.84,9052.1939,
20.98,9052.1939,
21.09,9039.9602,
21.19,9051.6149,
21.32,9064.2897,
21.44,9064.2897,
21.57,9057.4522,
21.7,9084.3811,
21.83,9060.8715,
21.97,9048.7165,
22.09,9055.9987,
22.19,9048.7165,
22.3,9049.6638,
22.41,9048.7165,
22.52,9054.8956,
22.63,9057.1233,
22.76,9098.6914,
22.87,9089.6019,
22.97,9092.1251,
23.08,9101.1477,
23.18,9093.4433,
23.32,9093.4433,
23.42,9084.5433,
23.54,9099.9628,
23.64,9088.4839,
23.75,9087.8972,
23.86,9095.2463,
23.97,9110.6086,
24.08,9096.9867,
24.18,9116.2512,
24.28,9070.6993,
24.4,9038.7585,
24.51,9038.6916,
24.62,9041.2148,
24.73,9050.2374,
24.83,9065.6621,
24.94,9061.1548,
25.04,9084.073,
25.14,9052.1322,
25.26,9088.9845,
25.37,9093.8773,
25.48,9109.2396,
25.58,9095.6177,
25.71,9119.0799,
25.84,9083.0174,
25.95,9082.9505,
26.08,9090.4124,
26.18,9105.7747,
26.29,9092.1528,
26.4,9089.3811,
26.51,9080.2916,
26.64,9106.9548,
26.77,9074.5322,
26.9,9119.9228,
27.0,9106.3009,
27.11,9105.5299,
27.24,9105.5299,
27.36,9178.2385,
27.49,9073.6882,
27.6,9080.9704,
27.7,9051.8282,
27.82,9044.1306,
27.93,9051.9444,
28.04,9051.4004,
28.17,9051.4004,
28.28,9055.4127,
28.38,9053.0608,
28.51,9064.0434,
28.62,9055.5171,
28.73,9086.4037,
28.83,9066.9113,
28.96,9053.2894,
29.08,9045.585,
29.18,9043.1287,
29.29,9051.655,
29.4,9043.1287,
29.51,9074.0153,
29.61,9060.2933,
29.72,9046.6714,
29.83,9047.1912,
29.94,9054.8956,
30.05,9057.3519,
30.17,9057.3519,
30.3,9057.3519,
30.41,9059.5796,
30.52,9090.8542,
30.62,9059.5796,
30.75,9058.4159,
30.86,9046.479,
30.99,9057.8961,
31.09,9049.5856,
31.19,9053.7405,
31.29,9051.4004,
31.4,9054.3047,
31.51,9047.0225,
31.62,9069.9407,
31.73,9047.0225,
31.84,9082.6392,
31.95,9082.6392,
32.08,9094.2939,
32.19,9096.5935,
32.31,9105.7474,
32.44,9105.7474,
32.55,9097.6769,
32.66,9095.4658,
32.79,9098.4661,
32.9,9094.3444,
33.0,9101.6266,
33.1,9094.3444,
33.21,9097.9293,
33.31,9100.1404,
33.43,9107.9542,
33.54,9095.6274,
33.67,9087.5154,
33.8,9087.5154,
33.92,9103.1544,
34.05,9103.1544,
34.15,9126.0726,
34.28,9095.6457,
34.42,9103.3433,
34.55,9093.4346,
34.65,9105.5896,
34.77,9113.294,
34.88,9128.7187,
34.99,9113.294,
35.1,9115.5051,
35.21,9079.613,
35.34,9074.1547,
35.45,9076.8348,
35.55,9066.1535,
35.69,9065.1252,
35.8,9055.6319,
35.91,9056.1759,
36.01,9066.2008,
36.12,9058.387,
36.24,9066.8088,
36.35,9072.4558,
36.48,9072.4558,
36.59,9072.4558,
36.69,9079.6094,
36.8,9068.2854,
36.91,9068.2854,
37.01,9064.2424,
37.12,9054.6051,
37.22,9069.9993,
37.35,9078.1418,
37.45,9062.7171,
37.55,9055.8796,
37.68,9062.1782,
37.79,9076.4591,
37.89,9055.1772,
38.02,9071.2554,
38.13,9057.6335,
38.25,9057.6335,
38.38,9057.6335,
38.51,9061.6966,
38.63,9063.9078,
38.74,9062.3825,
38.85,9059.9262,
38.95,9081.2081,
39.07,9059.9262,
39.17,9060.8735,
39.3,9056.5025,
39.42,9065.31,
39.53,9058.0278,
39.64,9073.4525,
39.75,9058.0278,
39.88,9061.4314,
40.0,9058.005,
40.11,9052.358,
40.22,9060.8843,
40.35,9067.7827,
40.45,9052.358,
40.57,9083.6326,
40.69,9052.358,
40.79,9057.2927,
40.91,9054.8364,
41.02,9058.9581,
41.13,9061.31,
41.25,9059.0989,
41.38,9059.0989,
41.49,9074.9319,
41.61,9061.31,
41.72,9065.0145,
41.82,9057.7323,
41.93,9044.1306,
42.03,9051.8282,
42.17,9044.1306,
42.28,9044.3758,
42.42,9046.5869,
42.54,9058.9721,
42.65,9051.6899,
42.77,9049.338,
42.88,9070.6199,
42.98,9049.338,
43.1,9049.338,
43.21,9047.1103,
43.33,9047.1103,
43.45,9044.654,
43.57,9053.1803,
43.67,9064.4106,
43.78,9043.1287,
43.89,9056.7506,
44.0,9043.1287,
44.11,9050.4109,
44.21,9043.1287,
44.31,9046.6714,
44.42,9049.1277,
44.53,9056.8321,
44.64,9070.454,
44.74,9056.8321,
44.88,9056.8321,
45.02,9069.8109,
45.13,9069.8109,
45.25,9066.0403,
45.38,9057.4049,
45.49,9057.4049,
45.62,9057.5457,
45.74,9067.6619,
45.84,9058.1686,
45.94,9066.378,
46.07,9068.5448,
46.2,9074.3529,
46.32,9058.3791,
46.43,9052.0596,
46.57,9067.6956,
46.67,9069.8936,
46.79,9039.007,
46.9,9041.4633,
47.0,9053.2894,
47.11,9054.2367,
47.21,9053.2894,
47.31,9076.2076,
47.42,9090.8285,
47.52,9122.1031,
47.63,9090.8285,
47.74,9079.0024,
47.84,9076.5461,
47.96,9084.3481,
48.07,9077.0659,
48.17,9065.9877,
48.29,9058.4942,
48.39,9060.8131,
48.51,9078.4658,
48.64,9049.6475,
48.74,9058.1738,
48.85,9074.7934,
48.96,9051.8752,
49.07,9064.3342,
49.21,9065.8595,
49.33,9065.8595,
49.46,9066.0003,
49.59,9065.7551,
49.7,9057.5457,
49.81,9067.5706,
49.93,9054.1098,
50.05,9069.5345,
50.15,9054.1098,
50.28,9058.5954,
50.42,9058.938,
50.53,9070.8749,
50.66,9062.5644,
50.76,9055.7524,
50.87,9053.5413,
51.0,9053.5413,
51.1,9056.2964,
51.2,9065.9951,
51.33,9065.9951,
51.43,9060.3481,
51.53,9060.3481,
51.64,9067.5259,
51.74,9057.6172,
51.85,9051.8719,
51.95,9060.9614,
52.09,9039.7169,
52.2,9045.3639,
52.31,9045.3639,
52.42,9094.5611,
52.54,9105.7851,
52.65,9102.7224,
52.76,9102.6555,
52.86,9114.8105,
52.96,9113.2852,
53.07,9144.1718,
53.18,9113.2852,
53.29,9114.7035,
53.42,9160.7661,
53.54,9158.6467,
53.66,9148.948,
53.77,9144.8263,
53.87,9175.7129,
53.98,9144.8263,
54.1,9135.9263,
54.2,9173.2372,
54.3,9181.545,
54.41,9184.7361,
54.51,9144.2617,
54.64,9165.5436,
54.74,9144.2617,
54.85,9183.1088,
54.98,9140.8987,
55.09,9190.029,
55.19,9133.519,
55.33,9105.2875,
55.43,9121.8087,
55.55,9100.5268,
55.66,9109.4268,
55.77,9112.8321,
55.88,9162.0293,
56.0,9118.6544,
56.11,9152.8549,
56.24,9157.2132,
56.36,9134.3619,
56.48,9144.8689,
56.6,9144.8689,
56.7,9139.2219,
56.83,9117.2138,
60.0,9019.9239,
