elapsed_sec,best_cost,improvement_pct
31.82,7094.8071,
31.92,7288.2469,
32.02,7195.4116,
32.12,7312.6767,
32.22,7409.169,
32.32,7186.2435,
32.42,7216.5606,
32.52,7281.3364,
32.62,7090.7505,
32.72,7414.6662,
32.82,7250.1573,
32.93,7080.8931,
33.03,7322.4024,
33.13,7255.8862,
33.23,7221.5627,
33.33,7477.0689,
33.43,7746.7583,
33.53,7640.5206,
33.63,7798.1419,
33.73,7626.3952,
33.83,6970.3497,
33.93,6826.4258,
34.03,6824.3648,
34.14,6879.1594,
34.24,6631.94,
34.34,6624.1781,
34.44,6626.766,
34.54,6611.0843,
34.64,6900.995,
34.74,6871.6907,
34.84,6865.939,
34.94,6845.4676,
35.04,6861.5784,
35.14,6831.4531,
35.24,6808.0523,
35.34,6812.0115,
35.44,6784.0591,
35.54,6794.8699,
35.65,6876.6851,
35.75,6855.1821,
35.85,6846.2604,
35.95,6848.2846,
36.05,6744.4855,
36.15,6799.6135,
36.25,7090.501,
36.35,7085.0466,
36.45,7041.9321,
36.56,7108.7232,
36.66,7095.7873,
36.76,6903.8903,
36.86,6928.2872,
36.96,6800.2087,
37.06,6814.988,
37.16,6791.0019,
37.27,6763.7893,
37.37,6743.266,
37.47,6943.4646,
37.57,6844.9666,
37.67,6827.8916,
37.77,6852.8503,
37.87,6886.0127,
37.98,6907.8614,
38.08,6866.0571,
38.18,6903.1717,
38.28,6789.2398,
38.38,6832.1984,
38.49,6855.8594,
38.59,6881.0373,
38.69,6843.2996,
38.79,6953.9149,
38.89,6943.5827,
38.99,6960.0742,
39.09,6863.5745,
39.19,6872.3868,
39.29,6899.4226,
39.39,6799.3128,
39.49,6783.1099,
39.6,6790.2894,
39.7,6856.9043,
39.8,6813.0687,
39.9,6895.1611,
40.0,6911.0457,
40.1,7093.497,
40.2,7074.0934,
40.3,6944.3012,
40.41,6966.8542,
40.51,6924.6058,
40.61,6929.3679,
40.71,6997.8847,
40.81,6962.4015,
40.91,6962.8137,
41.02,6772.6044,
41.12,6814.9777,
41.22,6785.9111,
41.32,6791.9143,
41.42,6803.9848,
41.52,6748.8933,
41.62,6763.019,
41.72,6792.0421,
41.82,6782.1501,
41.92,6800.3945,
42.02,6746.1293,
42.12,6754.5601,
42.22,6740.8874,
42.32,6787.5103,
42.43,6757.6662,
42.53,6819.7518,
42.63,6823.9892,
