elapsed_sec,best_cost,improvement_pct
0.11,7200.3342,
0.21,7161.0711,
0.31,7161.0711,
0.41,7190.0235,
0.52,7176.5136,
0.62,7196.9261,
0.72,7195.5201,
0.83,7189.3658,
0.93,7211.5101,
1.03,7196.1876,
1.13,7196.1876,
1.24,7196.718,
1.34,7156.2952,
1.45,7102.0987,
1.56,6944.665,
1.67,6954.0033,
1.78,6967.3954,
1.88,6968.0999,
1.98,6960.8464,
2.08,6969.1657,
2.18,6973.003,
2.29,6957.0769,
2.39,6939.7873,
2.5,6956.4845,
2.61,7014.2627,
2.72,7008.7105,
2.82,7006.9594,
2.93,7151.0872,
3.03,6990.264,
3.14,6850.4908,
3.24,6879.5125,
3.34,6893.9594,
3.45,6885.3821,
3.55,6913.0687,
3.65,6856.3604,
3.77,6879.5125,
3.88,6868.4706,
3.99,6906.003,
4.1,6847.7889,
4.21,6847.7889,
4.31,6903.9778,
4.42,6865.5546,
4.52,6919.4073,
4.63,6887.6626,
4.74,6893.9085,
4.85,6899.0912,
4.96,6905.3994,
5.07,6886.974,
5.18,6891.1971,
5.28,6863.925,
5.39,6852.0114,
5.49,6859.5887,
5.59,6850.3399,
5.69,6852.0114,
5.8,6850.3399,
5.9,6850.3399,
6.01,6886.6472,
6.11,6859.5887,
6.22,6886.6472,
6.32,6863.925,
6.43,6847.7562,
6.53,6857.005,
6.64,6884.0635,
6.75,6847.7562,
6.85,6863.925,
6.97,6850.3399,
7.07,6850.3399,
7.18,6857.005,
7.3,6861.3413,
7.41,6849.4277,
7.51,6847.7562,
7.61,6847.7562,
7.72,6884.0635,
7.83,6847.7562,
7.95,6857.005,
8.06,6847.7562,
8.17,6876.7779,
8.27,6884.0635,
8.37,6844.3712,
8.47,6835.1224,
8.58,6848.7075,
8.68,6847.7562,
8.79,6849.4277,
8.89,6849.4277,
9.0,6865.736,
9.11,6849.4277,
9.22,6884.0635,
9.33,6884.0635,
9.44,6849.4277,
9.54,6847.7562,
9.64,6849.4277,
9.75,6857.005,
9.85,6847.7562,
9.96,6884.0635,
10.07,6847.7562,
10.17,6849.4277,
10.28,6847.7562,
10.39,6847.7562,
10.5,6849.4277,
10.6,6857.005,
10.7,6879.3616,
10.8,6871.0811,
10.91,6841.7875,
11.01,6861.5604,
11.13,6834.2102,
11.24,6846.1238,
11.34,6850.3399,
11.45,6886.6472,
11.55,6877.5685,
11.65,6850.3399,
11.76,6859.5887,
11.87,6850.3399,
11.97,6852.0114,
12.08,6850.3399,
12.18,6850.3399,
12.29,6852.0114,
12.4,6863.925,
12.5,6850.3399,
12.61,6852.0114,
12.71,6859.5887,
12.82,6852.0114,
12.93,6859.5887,
13.03,6859.5887,
13.14,6852.0114,
13.25,6859.5887,
13.36,6850.3399,
13.46,6852.0114,
13.57,6850.3399,
13.67,6850.3399,
13.77,6852.0114,
13.88,6859.5887,
13.98,6852.0114,
14.08,6859.5887,
14.2,6859.5887,
14.31,6852.0114,
14.41,6859.5887,
14.51,6850.3399,
14.62,6852.0114,
14.73,6847.7562,
14.83,6847.7562,
14.94,6849.4277,
15.04,6863.925,
15.15,6886.6472,
15.25,6886.6472,
15.35,6841.7875,
15.46,6834.2102,
15.56,6841.7875,
15.67,6841.7875,
15.77,6847.7562,
15.87,6847.7562,
15.97,6884.0635,
16.08,6857.005,
16.18,6861.3413,
16.29,6876.7779,
16.39,6861.3413,
