elapsed_sec,best_cost,improvement_pct
0.1,9954.8765,
0.2,9954.8765,
0.31,9954.8765,
0.41,9954.8765,
0.51,9954.8765,
0.61,9954.8765,
0.71,9954.8765,
0.81,9954.8765,
0.91,9954.8765,
1.01,9954.8765,
1.11,9954.8765,
1.21,9954.8765,
1.31,9954.8765,
1.41,9954.8765,
1.51,9954.8765,
1.61,9954.8765,
1.71,9954.8765,
1.81,9954.8765,
1.92,9954.8765,
2.02,9954.8765,
2.12,9954.8765,
2.22,9954.8765,
2.32,9954.8765,
2.42,9954.8765,
2.52,9954.8765,
2.62,9954.8765,
2.72,9954.8765,
2.82,9954.8765,
2.92,9954.8765,
3.02,9954.8765,
3.12,9954.8765,
3.22,9954.8765,
3.32,9954.8765,
3.42,9954.8765,
3.52,9954.8765,
3.62,9954.8765,
3.72,9954.8765,
3.82,9954.8765,
3.92,9954.8765,
4.02,9954.8765,
4.12,9954.8765,
4.22,9954.8765,
4.32,9954.8765,
4.42,9954.8765,
4.52,9954.8765,
4.62,9954.8765,
4.72,9954.8765,
4.82,9954.8765,
4.93,9954.8765,
5.03,9954.8765,
5.13,9954.8765,
5.23,9954.8765,
5.33,9954.8765,
5.43,9954.8765,
5.53,9954.8765,
5.63,9954.8765,
5.73,9954.8765,
5.83,9954.8765,
5.93,9954.8765,
6.03,9954.8765,
6.13,9954.8765,
6.23,9954.8765,
6.33,9954.8765,
6.43,9954.8765,
6.53,9954.8765,
6.63,9954.8765,
6.73,9954.8765,
6.83,9954.8765,
6.93,9954.8765,
7.04,9954.8765,
7.14,9954.8765,
7.24,9954.8765,
7.34,9954.8765,
7.44,9954.8765,
7.54,9954.8765,
7.64,9954.8765,
7.74,9954.8765,
7.84,9954.8765,
7.94,9954.8765,
8.04,9954.8765,
8.14,9954.8765,
8.25,9954.8765,
8.35,9954.8765,
8.45,9954.8765,
8.55,9954.8765,
8.65,9954.8765,
8.75,9954.8765,
8.85,9954.8765,
8.95,9954.8765,
9.05,9954.8765,
9.15,9954.8765,
9.25,9954.8765,
9.35,9954.8765,
9.45,9954.8765,
9.55,9954.8765,
9.65,9954.8765,
9.75,9954.8765,
9.85,9954.8765,
9.95,9954.8765,
10.05,9954.8765,
10.15,9954.8765,
10.25,9954.8765,
10.35,9954.8765,
10.46,9954.8765,
10.56,9954.8765,
10.66,9954.8765,
10.76,9954.8765,
10.86,9954.8765,
10.96,9954.8765,
11.06,9954.8765,
11.16,9954.8765,
11.26,9954.8765,
11.36,9954.8765,
11.46,9954.8765,
11.56,9954.8765,
11.66,9954.8765,
11.76,9954.8765,
11.86,9954.8765,
11.96,9954.8765,
12.06,9954.8765,
12.16,9954.8765,
12.26,9954.8765,
12.36,9954.8765,
12.47,9954.8765,
12.57,9954.8765,
12.67,9954.8765,
12.77,9954.8765,
12.87,9954.8765,
12.97,9954.8765,
13.07,9954.8765,
13.17,9954.8765,
13.27,9954.8765,
13.37,9954.8765,
13.47,9954.8765,
13.57,9954.8765,
13.67,9954.8765,
13.77,9954.8765,
13.87,9954.8765,
13.98,9954.8765,
14.08,9954.8765,
14.18,9954.8765,
14.28,9954.8765,
14.38,9954.8765,
14.48,9954.8765,
14.58,9954.8765,
14.68,9954.8765,
14.78,9954.8765,
14.88,9954.8765,
14.98,9954.8765,
15.08,9954.8765,
15.18,9954.8765,
15.28,9954.8765,
15.38,9954.8765,
15.48,9954.8765,
15.58,9954.8765,
15.68,9954.8765,
15.78,9954.8765,
15.88,9954.8765,
15.98,9954.8765,
16.08,9954.8765,
16.18,9954.8765,
16.28,9954.8765,
16.39,9954.8765,
16.49,9954.8765,
16.59,9954.8765,
16.69,9954.8765,
16.79,9954.8765,
16.89,9954.8765,
16.99,9954.8765,
17.09,9954.8765,
17.19,9954.8765,
17.29,9954.8765,
17.39,9954.8765,
17.49,9954.8765,
17.59,9954.8765,
17.69,9954.8765,
17.79,9954.8765,
17.89,9954.8765,
17.99,9954.8765,
18.1,9954.8765,
18.2,9954.8765,
18.3,9954.8765,
18.4,9954.8765,
18.5,9954.8765,
18.6,9954.8765,
18.7,9954.8765,
18.8,9954.8765,
18.9,9954.8765,
19.0,9954.8765,
19.1,9954.8765,
19.2,9954.8765,
19.3,9954.8765,
19.41,9954.8765,
19.51,9954.8765,
19.61,9954.8765,
19.71,9954.8765,
19.81,9954.8765,
19.91,9954.8765,
20.01,9954.8765,
20.11,9954.8765,
20.21,9954.8765,
20.31,9954.8765,
20.41,9954.8765,
20.51,9954.8765,
20.62,9954.8765,
20.72,9954.8765,
20.82,9954.8765,
20.92,9954.8765,
21.02,9954.8765,
21.12,9954.8765,
21.22,9954.8765,
21.32,9954.8765,
21.42,9954.8765,
21.52,9954.8765,
21.62,9954.8765,
21.72,9954.8765,
21.83,9954.8765,
21.93,9954.8765,
22.03,9954.8765,
22.13,9954.8765,
22.23,9954.8765,
22.33,9954.8765,
22.43,9954.8765,
22.53,9954.8765,
22.63,9954.8765,
22.73,9954.8765,
22.83,9954.8765,
22.94,9954.8765,
23.04,9954.8765,
23.14,9954.8765,
23.24,9954.8765,
23.34,9954.8765,
23.44,9954.8765,
23.54,9954.8765,
23.64,9954.8765,
23.74,9954.8765,
23.84,9954.8765,
23.94,9954.8765,
24.04,9954.8765,
24.14,9954.8765,
24.24,9954.8765,
24.34,9954.8765,
24.45,9954.8765,
24.55,9954.8765,
24.65,9954.8765,
24.75,9954.8765,
24.85,9954.8765,
24.95,9954.8765,
