elapsed_sec,best_cost,improvement_pct
0.1,9564.5224,
0.2,9569.204,
0.3,9454.503,
0.4,9467.9797,
0.5,9151.2044,
0.6,9137.6284,
0.71,9137.9765,
0.81,9137.9765,
0.91,9137.6284,
1.01,9126.7184,
1.11,9126.7184,
1.21,9126.7184,
1.31,9126.7184,
1.41,9126.7184,
1.51,9126.7184,
1.65,8900.9487,
1.75,9031.7505,
1.85,8926.495,
1.95,8924.4828,
2.05,8913.8731,
2.15,8825.4692,
2.25,8824.6445,
2.35,8824.9926,
2.53,8824.6445,
2.63,8821.0967,
2.73,8813.779,
2.83,8813.779,
2.93,8813.779,
3.03,8624.7829,
3.13,8624.7829,
3.23,8624.7829,
3.42,8900.0029,
3.52,8661.6433,
3.62,8662.8556,
3.72,8676.3091,
3.82,8635.2481,
3.93,8629.5816,
4.03,8629.282,
4.13,8616.9857,
4.23,8616.9857,
4.33,8607.9751,
4.43,8607.9751,
4.53,8607.9751,
4.63,8607.9751,
4.73,8607.9751,
4.83,8607.9751,
4.97,9267.6481,
5.07,9231.7968,
5.17,9188.7028,
5.27,8704.4566,
5.37,8713.1478,
5.47,8698.6796,
5.57,8698.6796,
5.67,8694.6792,
5.77,8686.8489,
5.87,8681.4195,
5.97,8681.4195,
6.07,8681.4195,
6.17,8681.4195,
6.28,8680.1701,
6.38,8680.1701,
6.48,8680.1701,
6.58,8680.1701,
6.73,9247.6407,
6.84,9090.5206,
6.94,9087.9534,
7.04,9107.748,
7.14,9078.9072,
7.24,9065.4777,
7.34,9056.4718,
7.44,9009.8773,
7.54,9009.6353,
7.64,8976.2283,
7.74,8976.2283,
7.84,8976.2283,
7.94,8976.2283,
8.04,8976.2283,
8.14,8976.2283,
8.24,8976.2283,
8.34,8976.2283,
8.49,8795.3577,
8.59,8737.9425,
8.69,8789.8851,
8.79,8739.6035,
8.89,8683.4764,
8.99,8680.7458,
9.09,8680.9878,
9.19,8680.7458,
9.29,8680.9878,
9.4,8680.7458,
9.5,8680.7458,
9.6,8680.7458,
9.7,8680.7458,
9.8,8680.7458,
9.9,8680.7458,
10.0,8680.7458,
10.15,9159.2235,
10.25,9194.8117,
10.35,9119.3062,
10.45,9078.7429,
10.55,9081.4262,
10.65,9066.4466,
10.75,9043.1899,
10.85,9043.1899,
10.95,9043.1899,
11.05,9043.1899,
11.15,9043.1899,
11.25,9043.1899,
11.35,9043.1899,
11.46,9043.1899,
11.56,9043.1899,
11.66,9043.1899,
11.79,9136.9108,
11.89,8990.5363,
11.99,9010.6457,
12.09,8857.7682,
12.19,8850.8094,
12.29,8850.7266,
12.39,8848.4991,
12.49,8792.423,
12.59,8792.423,
12.7,8792.423,
12.8,8792.0749,
12.9,8792.0749,
13.0,8780.4338,
13.1,8780.4338,
13.2,8780.4338,
13.3,8780.4338,
13.48,10850.6693,
13.58,10338.3947,
13.68,10278.7418,
13.78,10201.942,
13.88,10160.9612,
13.98,10070.6944,
14.08,10073.0358,
14.18,10064.6982,
14.29,10063.9357,
14.39,10062.6845,
14.49,10018.7535,
14.59,10018.7535,
14.69,10018.7535,
14.79,9791.5167,
14.89,9791.5167,
14.99,9791.5167,
15.18,9665.7529,
15.28,9204.6188,
15.38,9107.1891,
15.48,8603.3603,
15.59,8596.6392,
15.69,8595.3898,
15.79,8595.3898,
15.89,8595.3898,
15.99,8595.3898,
16.09,8595.7379,
16.19,8595.3898,
16.29,8595.3898,
16.39,8595.3898,
16.49,8595.3898,
16.59,8595.3898,
16.77,9741.6019,
16.87,9311.5808,
16.97,9335.2045,
17.07,9298.2567,
17.17,9283.0816,
17.27,9237.025,
17.37,9218.6283,
17.48,9217.4299,
17.58,9212.0005,
17.68,9212.0005,
17.78,9212.0005,
17.88,9212.0005,
17.99,9187.9041,
18.09,9187.9041,
18.19,9187.9041,
18.29,9187.9041,
18.47,9229.7652,
18.57,8694.9125,
18.67,8598.8491,
18.77,8638.4989,
18.87,8597.5053,
18.97,8606.4193,
19.07,8597.9988,
19.17,8597.9988,
19.27,8597.6507,
19.37,8597.6507,
19.47,8597.6507,
19.57,8597.6507,
19.67,8597.6507,
19.77,8597.6507,
19.88,8597.6507,
19.98,8597.6507,
20.08,8597.6507,
20.25,8713.0586,
20.35,8673.4741,
20.45,8706.0368,
20.55,8661.1473,
20.65,8662.3457,
20.75,8662.3967,
20.85,8661.1473,
20.95,8661.4954,
21.05,8661.1473,
21.15,8661.1473,
21.26,8661.1473,
21.36,8661.1473,
21.46,8661.1473,
21.56,8661.1473,
21.66,8661.1473,
21.76,8661.1473,
21.92,10081.1477,
22.03,9893.5921,
22.13,9660.9032,
22.23,9653.6505,
22.33,9646.4312,
22.43,9617.376,
22.53,9615.4143,
22.63,9613.324,
22.73,9611.981,
22.83,9601.053,
22.93,9601.053,
23.03,9601.053,
23.13,9601.053,
23.23,9601.053,
23.33,9597.4769,
23.43,9597.4769,
23.57,9514.6184,
23.67,9625.5852,
23.77,9361.8064,
23.87,9065.3014,
23.97,9061.9756,
24.07,9061.9756,
24.17,9041.5947,
24.27,8981.231,
24.37,8973.9706,
24.47,8971.1559,
24.57,8971.1559,
24.67,8971.1559,
24.77,8971.1559,
24.87,8971.1559,
24.97,8967.2067,
25.07,8967.2067,
25.19,9214.7109,
25.29,9209.1316,
25.39,9166.2654,
25.49,9151.1674,
25.59,9159.3616,
25.69,9152.4855,
25.79,9137.2001,
25.89,9137.2001,
25.99,9136.852,
26.09,9136.852,
26.19,9136.852,
26.29,9136.852,
26.4,9136.852,
26.5,9136.852,
26.6,9136.852,
26.8,10321.2773,
26.91,9797.9679,
27.01,9745.6026,
27.11,9738.9864,
27.21,9708.9036,
27.31,9177.5227,
27.41,9167.5697,
27.51,9167.5697,
27.61,9167.5697,
27.71,9167.5697,
27.81,9153.5861,
27.91,9153.5861,
28.01,9153.5861,
28.11,9153.5861,
28.21,9153.5861,
28.32,9153.5861,
28.47,10485.805,
28.57,9702.8068,
28.67,9517.5449,
28.77,9480.5118,
28.88,9455.2424,
28.98,9440.7824,
29.08,9427.6319,
29.18,9427.6319,
29.28,9427.6319,
29.38,9427.6319,
29.48,9427.6319,
29.58,9427.6319,
29.68,9427.6319,
29.78,9427.6319,
29.88,9412.6278,
29.99,9151.55,
30.09,9160.8201,
30.19,9184.3611,
30.3,9188.2586,
30.4,9110.2716,
30.5,9106.6984,
30.6,9103.5081,
30.7,9103.5081,
30.8,9062.3734,
30.9,9062.3734,
31.0,9055.4345,
31.1,9055.4345,
31.2,9055.4345,
31.3,9055.4345,
31.4,9055.4345,
31.5,9055.4345,
31.7,9975.0061,
31.8,9334.9282,
31.9,9265.525,
32.0,9236.4972,
32.1,9227.0465,
32.2,9209.2655,
32.3,9202.3925,
32.4,9202.7406,
32.5,9202.3925,
32.6,9202.3925,
32.7,9202.3925,
32.8,9202.3925,
32.9,9202.3925,
33.0,9202.3925,
