elapsed_sec,best_cost,improvement_pct
0.1,10008.775,
0.2,10008.775,
0.31,10008.775,
0.41,10008.775,
0.51,10008.775,
0.61,10006.1006,
0.72,10006.1006,
0.82,10006.1006,
0.92,10006.1006,
1.02,10006.1006,
1.12,10006.1006,
1.22,10001.1872,
1.32,10001.1872,
1.42,10001.1872,
1.52,10001.1872,
1.63,10001.1872,
1.73,10001.1872,
1.83,10001.1872,
1.93,10001.1872,
2.03,10001.1872,
2.13,10001.1872,
2.23,10001.1872,
2.33,10001.1872,
2.43,10001.1872,
2.53,10001.1872,
2.63,10001.1872,
2.73,10001.1872,
2.83,10001.1872,
2.93,10001.1872,
3.03,10001.1872,
3.13,10001.1872,
3.23,10001.1872,
3.33,10001.1872,
3.43,10001.1872,
3.53,10001.1872,
3.64,10001.1872,
3.74,10001.1872,
3.84,10001.1872,
3.94,10001.1872,
4.04,10001.1872,
4.14,10001.1872,
4.25,10001.1872,
4.35,10001.1872,
4.45,10001.1872,
4.55,10001.1872,
4.65,10001.1872,
4.76,10001.1872,
4.86,10001.1872,
4.96,10001.1872,
5.06,10001.1872,
5.16,10001.1872,
5.26,10001.1872,
5.36,10001.1872,
5.46,10001.1872,
5.75,10001.1872,
5.85,10001.1872,
5.95,10001.1872,
6.05,10001.1872,
6.16,10001.1872,
6.26,10001.1872,
6.36,10001.1872,
6.46,10001.1872,
6.56,10001.1872,
6.66,10001.1872,
6.76,10001.1872,
6.87,10001.1872,
6.97,10001.1872,
7.07,10001.1872,
7.17,10001.1872,
7.27,10001.1872,
7.37,10001.1872,
7.47,10001.1872,
7.57,10001.1872,
7.67,10001.1872,
7.78,10001.1872,
7.88,10001.1872,
7.98,10001.1872,
8.08,10001.1872,
8.18,10001.1872,
8.28,10001.1872,
8.38,10001.1872,
8.48,10001.1872,
8.58,10001.1872,
8.68,10001.1872,
8.78,10001.1872,
8.88,10001.1872,
8.98,10001.1872,
9.08,10001.1872,
9.18,10001.1872,
9.28,10001.1872,
9.38,10001.1872,
9.48,10001.1872,
9.58,10001.1872,
9.69,10001.1872,
9.79,10001.1872,
9.89,10001.1872,
9.99,10001.1872,
10.09,10001.1872,
10.19,10001.1872,
10.29,10001.1872,
10.39,10001.1872,
10.49,10001.1872,
10.6,10001.1872,
10.7,10001.1872,
10.8,10001.1872,
10.9,10001.1872,
11.07,10001.1872,
11.17,10001.1872,
11.27,10001.1872,
11.37,10001.1872,
11.47,10001.1872,
11.57,10001.1872,
11.67,10001.1872,
11.77,10001.1872,
11.87,10001.1872,
11.98,10001.1872,
12.08,10001.1872,
12.18,10001.1872,
12.28,10001.1872,
12.38,10001.1872,
12.48,10001.1872,
12.59,10001.1872,
12.69,10001.1872,
12.79,10001.1872,
12.89,10001.1872,
12.99,10001.1872,
13.09,10001.1872,
13.19,10001.1872,
13.29,10001.1872,
13.39,10001.1872,
13.5,10001.1872,
13.6,10001.1872,
13.7,10001.1872,
13.8,10001.1872,
13.9,10001.1872,
14.0,10001.1872,
14.1,10001.1872,
14.2,10001.1872,
14.3,10001.1872,
14.41,10001.1872,
14.51,10001.1872,
14.61,10001.1872,
14.72,10001.1872,
14.82,10001.1872,
14.92,10001.1872,
15.02,10001.1872,
15.12,10001.1872,
15.22,10001.1872,
15.32,10001.1872,
15.42,10001.1872,
15.52,10001.1872,
15.62,10001.1872,
15.72,10001.1872,
15.83,10001.1872,
15.93,10001.1872,
16.17,10001.1872,
16.27,10001.1872,
16.37,10001.1872,
16.47,10001.1872,
16.57,10001.1872,
16.67,10001.1872,
16.78,10001.1872,
16.88,10001.1872,
16.98,10001.1872,
17.08,10001.1872,
17.18,10001.1872,
17.28,10001.1872,
17.38,10001.1872,
17.48,10001.1872,
17.58,10001.1872,
17.69,10001.1872,
17.79,10001.1872,
17.89,10001.1872,
17.99,10001.1872,
18.09,10001.1872,
18.19,10001.1872,
18.29,10001.1872,
18.39,10001.1872,
18.49,10001.1872,
18.59,10001.1872,
18.69,10001.1872,
18.79,10001.1872,
18.89,10001.1872,
18.99,10001.1872,
19.09,10001.1872,
19.19,10001.1872,
19.3,10001.1872,
19.4,10001.1872,
19.5,10001.1872,
19.6,10001.1872,
19.7,10001.1872,
19.8,10001.1872,
19.9,10001.1872,
20.01,10001.1872,
20.11,10001.1872,
20.21,10001.1872,
20.31,10001.1872,
20.41,10001.1872,
20.51,10001.1872,
20.61,10001.1872,
20.71,10001.1872,
20.81,10001.1872,
20.91,10001.1872,
21.1,10001.1872,
21.2,10001.1872,
21.3,10001.1872,
21.4,10001.1872,
21.5,10001.1872,
21.6,10001.1872,
21.71,10001.1872,
21.81,10001.1872,
21.91,10001.1872,
22.01,10001.1872,
22.11,10001.1872,
22.21,10001.1872,
22.32,10001.1872,
22.42,10001.1872,
22.52,10001.1872,
22.62,10001.1872,
22.72,10001.1872,
22.82,10001.1872,
22.92,10001.1872,
23.02,10001.1872,
23.12,10001.1872,
23.22,10001.1872,
23.33,10001.1872,
23.43,10001.1872,
23.53,10001.1872,
23.63,10001.1872,
23.73,10001.1872,
23.83,10001.1872,
23.93,10001.1872,
24.03,10001.1872,
24.13,10001.1872,
24.23,10001.1872,
24.33,10001.1872,
24.43,10001.1872,
24.53,10001.1872,
24.64,10001.1872,
24.74,10001.1872,
24.84,10001.1872,
24.94,10001.1872,
25.04,10001.1872,
25.14,10001.1872,
25.24,10001.1872,
25.34,10001.1872,
25.44,10001.1872,
25.54,10001.1872,
25.64,10001.1872,
25.85,10001.1872,
25.95,10001.1872,
26.05,10001.1872,
26.15,10001.1872,
26.25,10001.1872,
26.36,10001.1872,
26.46,10001.1872,
26.56,10001.1872,
26.66,10001.1872,
26.76,10001.1872,
26.86,10001.1872,
26.96,10001.1872,
27.07,10001.1872,
27.17,10001.1872,
27.27,10001.1872,
27.37,10001.1872,
27.47,10001.1872,
27.57,10001.1872,
27.67,10001.1872,
27.77,10001.1872,
27.88,10001.1872,
27.98,10001.1872,
28.08,10001.1872,
28.18,10001.1872,
28.28,10001.1872,
28.38,10001.1872,
28.48,10001.1872,
28.58,10001.1872,
28.68,10001.1872,
28.78,10001.1872,
28.88,10001.1872,
28.98,10001.1872,
29.08,10001.1872,
29.18,10001.1872,
29.28,10001.1872,
29.38,10001.1872,
29.48,10001.1872,
29.58,10001.1872,
29.68,10001.1872,
29.79,10001.1872,
29.89,10001.1872,
29.99,10001.1872,
30.09,10001.1872,
30.19,10001.1872,
30.29,10001.1872,
30.39,10001.1872,
30.49,10001.1872,
30.6,10001.1872,
30.74,10001.1872,
30.84,10001.1872,
30.94,10001.1872,
31.04,10001.1872,
31.15,10001.1872,
31.25,10001.1872,
31.35,10001.1872,
31.45,10001.1872,
31.55,10001.1872,
31.65,10001.1872,
31.75,10001.1872,
31.85,10001.1872,
31.95,10001.1872,
32.05,10001.1872,
32.15,10001.1872,
32.25,10001.1872,
32.36,10001.1872,
32.46,10001.1872,
32.56,10001.1872,
32.66,10001.1872,
32.76,10001.1872,
32.86,10001.1872,
32.96,10001.1872,
33.06,10001.1872,
33.16,10001.1872,
33.26,10001.1872,
33.36,10001.1872,
33.46,10001.1872,
33.56,10001.1872,
33.66,10001.1872,
33.76,10001.1872,
33.86,10001.1872,
33.96,10001.1872,
34.07,10001.1872,
34.17,10001.1872,
34.27,10001.1872,
34.37,10001.1872,
34.47,10001.1872,
34.57,10001.1872,
34.67,10001.1872,
34.77,10001.1872,
34.87,10001.1872,
34.97,10001.1872,
35.07,10001.1872,
35.17,10001.1872,
35.27,10001.1872,
35.38,10001.1872,
35.48,10001.1872,
35.58,10001.1872,
35.74,10001.1872,
35.84,10001.1872,
35.94,10001.1872,
36.04,10001.1872,
36.14,10001.1872,
36.24,10001.1872,
36.34,10001.1872,
36.45,10001.1872,
36.55,10001.1872,
36.65,10001.1872,
36.75,10001.1872,
36.85,10001.1872,
36.95,10001.1872,
37.05,10001.1872,
37.15,10001.1872,
37.25,10001.1872,
37.35,10001.1872,
37.45,10001.1872,
37.55,10001.1872,
37.65,10001.1872,
37.76,10001.1872,
37.86,10001.1872,
37.96,10001.1872,
38.06,10001.1872,
38.16,10001.1872,
38.26,10001.1872,
38.36,10001.1872,
38.46,10001.1872,
38.56,10001.1872,
38.67,10001.1872,
38.77,10001.1872,
38.87,10001.1872,
38.97,10001.1872,
39.07,10001.1872,
39.17,10001.1872,
39.27,10001.1872,
39.37,10001.1872,
39.47,10001.1872,
39.57,10001.1872,
39.67,10001.1872,
39.77,10001.1872,
39.88,10001.1872,
39.98,10001.1872,
40.08,10001.1872,
40.18,10001.1872,
40.28,10001.1872,
40.38,10001.1872,
40.55,10001.1872,
40.65,10001.1872,
40.75,10001.1872,
40.86,10001.1872,
40.96,10001.1872,
41.06,10001.1872,
41.16,10001.1872,
41.26,10001.1872,
41.36,10001.1872,
41.46,10001.1872,
41.56,10001.1872,
41.66,10001.1872,
41.77,10001.1872,
41.87,10001.1872,
41.97,10001.1872,
42.07,10001.1872,
42.17,10001.1872,
42.27,10001.1872,
42.37,10001.1872,
42.47,10001.1872,
42.57,10001.1872,
42.67,10001.1872,
42.77,10001.1872,
42.87,10001.1872,
42.97,10001.1872,
43.07,10001.1872,
43.17,10001.1872,
43.28,10001.1872,
43.38,10001.1872,
43.48,10001.1872,
43.58,10001.1872,
43.68,10001.1872,
43.78,10001.1872,
43.88,10001.1872,
43.98,10001.1872,
44.08,10001.1872,
44.18,10001.1872,
44.28,10001.1872,
44.38,10001.1872,
44.48,10001.1872,
44.58,10001.1872,
44.69,10001.1872,
44.79,10001.1872,
44.89,10001.1872,
44.99,10001.1872,
45.09,10001.1872,
45.19,10001.1872,
45.39,10001.1872,
45.49,10001.1872,
45.59,10001.1872,
45.69,10001.1872,
45.79,10001.1872,
45.89,10001.1872,
45.99,10001.1872,
46.09,10001.1872,
46.19,10001.1872,
46.29,10001.1872,
46.4,10001.1872,
46.5,10001.1872,
46.6,10001.1872,
46.7,10001.1872,
46.8,10001.1872,
46.9,10001.1872,
47.01,10001.1872,
47.11,10001.1872,
47.21,10001.1872,
47.31,10001.1872,
47.42,10001.1872,
47.52,10001.1872,
47.62,10001.1872,
47.72,10001.1872,
47.82,10001.1872,
47.92,10001.1872,
48.02,10001.1872,
48.12,10001.1872,
48.22,10001.1872,
48.33,10001.1872,
48.43,10001.1872,
48.53,10001.1872,
48.63,10001.1872,
48.73,10001.1872,
48.83,10001.1872,
48.93,10001.1872,
49.03,10001.1872,
49.13,10001.1872,
49.23,10001.1872,
49.33,10001.1872,
49.43,10001.1872,
49.53,10001.1872,
49.63,10001.1872,
49.73,10001.1872,
49.83,10001.1872,
49.94,10001.1872,
50.13,10001.1872,
50.23,10001.1872,
50.33,10001.1872,
50.43,10001.1872,
50.54,10001.1872,
50.64,10001.1872,
50.74,10001.1872,
50.84,10001.1872,
50.94,10001.1872,
51.04,10001.1872,
51.14,10001.1872,
51.24,10001.1872,
51.34,10001.1872,
51.44,10001.1872,
51.54,10001.1872,
51.64,10001.1872,
51.75,10001.1872,
51.85,10001.1872,
51.95,10001.1872,
52.05,10001.1872,
52.15,10001.1872,
52.25,10001.1872,
52.35,10001.1872,
52.45,10001.1872,
52.55,10001.1872,
52.65,10001.1872,
52.75,10001.1872,
52.86,10001.1872,
52.96,10001.1872,
53.06,10001.1872,
53.16,10001.1872,
53.26,10001.1872,
53.36,10001.1872,
53.46,10001.1872,
53.56,10001.1872,
53.66,10001.1872,
53.76,10001.1872,
53.86,10001.1872,
53.96,10001.1872,
54.06,10001.1872,
54.16,10001.1872,
54.26,10001.1872,
54.36,10001.1872,
54.47,10001.1872,
54.57,10001.1872,
54.67,10001.1872,
54.77,10001.1872,
54.87,10001.1872,
55.05,10001.1872,
55.15,10001.1872,
55.25,10001.1872,
55.35,10001.1872,
55.45,10001.1872,
55.55,10001.1872,
55.66,10001.1872,
55.76,10001.1872,
55.86,10001.1872,
55.96,10001.1872,
56.06,10001.1872,
56.16,10001.1872,
56.26,10001.1872,
56.36,10001.1872,
56.46,10001.1872,
56.57,10001.1872,
56.67,10001.1872,
56.77,10001.1872,
56.87,10001.1872,
56.97,10001.1872,
57.07,10001.1872,
57.17,10001.1872,
57.28,10001.1872,
57.38,10001.1872,
57.48,10001.1872,
57.58,10001.1872,
57.68,10001.1872,
57.78,10001.1872,
57.88,10001.1872,
57.98,10001.1872,
58.08,10001.1872,
60.01,10001.1872,
