elapsed_sec,best_cost,improvement_pct
0.15,10152.8641,
0.26,10146.8861,
0.37,10146.8861,
0.47,10146.8861,
0.58,10177.0806,
0.69,10125.6063,
0.8,10118.1758,
0.91,10024.5782,
1.02,9917.774,
1.13,9989.5284,
1.24,10035.7855,
1.34,9988.0655,
1.44,10173.6849,
1.56,10168.3014,
1.67,9980.2518,
1.79,9979.5973,
1.9,9986.2454,
2.0,9959.1563,
2.1,9968.8351,
2.2,9947.5667,
2.3,9947.5667,
2.4,9919.8988,
2.52,9889.5674,
2.64,9881.5186,
2.75,9891.9438,
2.86,9905.9318,
2.97,9897.9799,
3.07,9878.6086,
3.18,9901.2398,
3.29,9895.081,
3.39,9903.0276,
3.5,9871.7953,
3.61,9898.025,
3.72,9898.6795,
3.83,9890.0731,
3.93,9890.0731,
4.04,9904.8467,
4.15,9903.7266,
4.26,9903.7266,
4.37,9901.5382,
4.48,9903.4706,
4.58,10002.7925,
4.7,9839.8142,
4.8,9834.2831,
4.9,9867.9671,
5.01,9907.8245,
5.11,9838.7823,
5.22,9702.0268,
5.32,9913.1584,
5.42,9916.2354,
5.53,9930.8012,
5.63,9931.0675,
5.74,9907.4304,
5.84,9910.5074,
5.95,9884.2071,
6.05,9707.2773,
6.16,9699.7287,
6.26,9699.7287,
6.36,9699.7287,
6.48,9701.5551,
6.58,9701.5551,
6.69,9701.5551,
6.79,9701.5551,
6.9,9705.3187,
7.01,9705.3187,
7.11,9705.3187,
7.22,9705.3187,
7.33,9881.0818,
7.43,9701.5551,
7.54,9701.5551,
7.64,9701.5551,
7.74,9701.5551,
7.85,9701.5551,
7.95,9700.3832,
8.05,9700.3832,
8.17,9898.9573,
8.27,9901.4676,
8.37,9699.7287,
8.47,9884.2357,
8.57,9702.0268,
8.67,9702.0268,
8.78,9919.6626,
8.88,9887.6462,
8.99,9702.6813,
9.1,9702.6813,
9.21,9702.0268,
9.32,9907.459,
9.42,9699.7287,
9.52,9899.8042,
9.63,9898.9573,
9.73,9901.4676,
9.83,9699.7287,
9.93,9884.2357,
10.04,9910.2118,
10.16,9905.2855,
10.26,9919.8513,
10.36,9702.6813,
10.46,9702.6813,
10.56,9702.6813,
10.67,9702.6813,
10.78,9707.2773,
10.88,9898.3028,
10.99,9900.8131,
11.1,9700.3832,
11.21,9700.3832,
11.31,9700.3832,
11.41,9700.3832,
11.51,9700.3832,
11.62,9707.2773,
11.72,9902.2085,
11.82,9905.2855,
11.93,9919.8513,
12.03,9702.6813,
12.13,9702.6813,
12.23,9702.6813,
12.35,9879.6397,
12.45,9702.0268,
12.55,9910.2118,
12.66,9699.7287,
12.76,9699.7287,
12.87,9700.3832,
12.98,9700.3832,
13.08,9700.3832,
13.18,9700.3832,
13.29,9707.2773,
13.4,9904.9613,
13.51,9702.0268,
13.62,9903.7657,
13.72,9887.6462,
13.84,9702.6813,
13.94,9702.6813,
14.05,9707.2773,
14.15,9856.9643,
14.26,9874.1655,
14.37,9883.4059,
14.48,9890.7255,
14.58,9699.7287,
14.69,9899.8042,
14.8,9907.2649,
14.91,9700.3832,
15.02,9898.3028,
15.12,9701.5551,
15.23,9701.5551,
15.33,9701.5551,
15.43,9701.5551,
15.53,9701.5551,
15.64,9701.5551,
15.76,9699.7287,
