elapsed_sec,best_cost,improvement_pct
0.12,10919.9494,
0.23,10795.2297,
0.33,10928.4004,
0.43,11148.9161,
0.53,11018.1398,
0.63,10851.3049,
0.73,10866.4448,
0.83,10930.8556,
0.93,10971.4365,
1.04,10668.3111,
1.14,10708.1502,
1.25,10925.007,
1.35,10879.9881,
1.45,10962.8066,
1.55,11101.0215,
1.65,10854.9336,
1.75,10941.6412,
1.85,11134.4339,
1.96,11295.5455,
2.06,11388.8086,
2.16,11080.7985,
2.26,11323.4813,
2.37,11550.3467,
2.47,10895.5375,
2.57,10610.5556,
2.67,10614.9921,
2.77,10675.8451,
2.87,10645.1571,
2.97,10430.9694,
3.08,10650.8058,
3.18,10454.1899,
3.28,10364.4636,
3.38,10509.6249,
3.48,10452.9935,
3.59,10357.3728,
3.69,10383.1758,
3.79,10465.1395,
3.89,10487.9144,
4.0,10463.6152,
4.1,10368.868,
4.2,10420.1938,
4.3,10410.6997,
4.4,10468.0669,
4.5,10514.3632,
4.6,10504.7233,
4.7,10616.9417,
4.8,10623.5293,
4.9,10888.8607,
5.01,10281.0605,
5.11,10301.4932,
5.21,10319.916,
5.43,10319.916,
5.53,10322.4719,
5.63,10450.3931,
5.74,10440.4944,
5.84,10400.0382,
5.94,10478.4185,
6.05,10504.6668,
6.15,10493.2158,
6.25,10455.7271,
6.35,10367.538,
6.45,10328.1481,
6.56,10314.8392,
6.66,10226.6036,
6.76,10242.2766,
6.86,10252.0718,
6.96,10241.6698,
7.06,10249.5548,
7.16,10359.4595,
7.26,10287.4729,
7.36,10281.851,
7.58,10413.2021,
7.68,10684.6128,
7.79,10893.0877,
7.89,10734.9159,
7.99,10822.9128,
8.09,10896.1103,
8.2,10900.0205,
8.3,10933.9705,
8.4,10921.5496,
8.5,10932.2158,
8.6,10600.0297,
8.7,10583.8248,
8.81,10750.4348,
8.91,10633.1214,
9.01,10620.2371,
9.11,10696.3461,
9.21,10818.4922,
9.32,10681.8535,
9.42,10708.0899,
9.52,10660.2062,
9.62,11011.5954,
9.73,11004.9073,
9.83,10575.0254,
9.93,10381.6485,
10.03,10375.9359,
10.13,10369.8808,
10.24,10375.3381,
10.34,10365.6036,
10.44,10417.8984,
10.54,10406.8925,
10.65,10274.7648,
10.76,10296.7523,
10.86,10555.3434,
10.96,10515.653,
11.07,10403.9085,
11.17,10446.7908,
11.27,9955.1244,
11.37,10066.6382,
11.47,9904.2158,
11.58,10036.6251,
11.68,10093.0639,
11.78,9992.0316,
11.88,9889.4697,
11.99,9854.5443,
12.1,9866.2334,
12.2,9863.848,
12.3,9904.0172,
12.4,9895.884,
12.5,9866.0025,
12.6,9820.7674,
12.7,9787.5196,
12.8,9789.0509,
12.9,9800.5405,
13.01,9848.4143,
13.11,9841.1091,
13.21,9828.5981,
13.32,9824.9261,
13.42,9824.9261,
13.52,9839.8088,
13.62,9828.9957,
13.73,9826.8605,
13.83,9820.2707,
13.93,9803.4569,
14.03,9873.1691,
14.13,9940.3951,
14.23,9979.1433,
14.33,9939.7868,
14.43,9959.5193,
14.53,9958.1985,
14.63,9858.7938,
14.74,9856.9735,
14.84,9846.1899,
14.94,9877.8053,
15.04,9952.6501,
15.14,9896.3872,
15.24,9896.3872,
15.34,9951.16,
15.44,10006.5062,
15.54,9957.9169,
15.64,9979.642,
15.79,9979.642,
16.07,9773.0784,
